Location,4/1/20,4/2/20,delta
"Jefferson, Alabama, US",310,339,9.35
"Madison, Alabama, US",121,132,9.09
"Shelby, Alabama, US",101,113,11.88
"Lee, Alabama, US",93,103,10.75
"Mobile, Alabama, US",61,72,18.03
"Chambers, Alabama, US",51,75,47.06
"Montgomery, Alabama, US",36,47,30.56
"Tuscaloosa, Alabama, US",32,39,21.88
"Walker, Alabama, US",29,34,17.24
"Baldwin, Alabama, US",26,29,11.54
"St. Clair, Alabama, US",25,28,12.00
"Limestone, Alabama, US",19,23,21.05
"Morgan, Alabama, US",19,23,21.05
"Elmore, Alabama, US",15,18,20.00
"Lauderdale, Alabama, US",14,14,0.00
"Chilton, Alabama, US",13,14,7.69
"Marion, Alabama, US",13,13,0.00
"Tallapoosa, Alabama, US",13,17,30.77
"Calhoun, Alabama, US",11,12,9.09
"Etowah, Alabama, US",11,15,36.36
"Houston, Alabama, US",11,11,0.00
"Autauga, Alabama, US",10,12,20.00
"Jackson, Alabama, US",10,14,40.00
"Cullman, Alabama, US",9,9,0.00
"Talladega, Alabama, US",9,9,0.00
"Blount, Alabama, US",7,9,28.57
"Cleburne, Alabama, US",6,6,0.00
"DeKalb, Alabama, US",6,8,33.33
"Pike, Alabama, US",6,6,0.00
"Choctaw, Alabama, US",5,5,0.00
"Franklin, Alabama, US",5,6,20.00
"Lawrence, Alabama, US",5,5,0.00
"Marshall, Alabama, US",5,7,40.00
"Pickens, Alabama, US",5,9,80.00
"Randolph, Alabama, US",5,7,40.00
"Colbert, Alabama, US",4,5,25.00
"Marengo, Alabama, US",4,6,50.00
"Monroe, Alabama, US",4,4,0.00
"Bibb, Alabama, US",3,4,33.33
"Clay, Alabama, US",3,7,133.33
"Coosa, Alabama, US",3,5,66.67
"Covington, Alabama, US",3,3,0.00
"Dallas, Alabama, US",3,4,33.33
"Macon, Alabama, US",3,5,66.67
"Russell, Alabama, US",3,4,33.33
"Washington, Alabama, US",3,3,0.00
"Wilcox, Alabama, US",3,5,66.67
"Bullock, Alabama, US",2,2,0.00
"Clarke, Alabama, US",2,2,0.00
"Greene, Alabama, US",2,3,50.00
"Sumter, Alabama, US",2,6,200.00
"Winston, Alabama, US",2,2,0.00
"Butler, Alabama, US",1,1,0.00
"Cherokee, Alabama, US",1,3,200.00
"Coffee, Alabama, US",1,4,300.00
"Crenshaw, Alabama, US",1,1,0.00
"Dale, Alabama, US",1,1,0.00
"Fayette, Alabama, US",1,1,0.00
"Hale, Alabama, US",1,3,200.00
"Lamar, Alabama, US",1,1,0.00
"Lowndes, Alabama, US",1,2,100.00
"Barbour, Alabama, US",0,0,0.00
"Conecuh, Alabama, US",0,0,0.00
"Escambia, Alabama, US",0,1,0.00
"Geneva, Alabama, US",0,0,0.00
"Henry, Alabama, US",0,0,0.00
"Out of AL, Alabama, US",0,0,0.00
"Perry, Alabama, US",0,0,0.00
