Location,4/2/20,4/3/20,delta
"Jefferson, Alabama, US",339,375,10.62
"Madison, Alabama, US",132,138,4.55
"Shelby, Alabama, US",113,131,15.93
"Lee, Alabama, US",103,107,3.88
"Chambers, Alabama, US",75,87,16.00
"Mobile, Alabama, US",72,107,48.61
"Montgomery, Alabama, US",47,58,23.40
"Tuscaloosa, Alabama, US",39,41,5.13
"Walker, Alabama, US",34,47,38.24
"Baldwin, Alabama, US",29,31,6.90
"St. Clair, Alabama, US",28,32,14.29
"Limestone, Alabama, US",23,27,17.39
"Morgan, Alabama, US",23,24,4.35
"Elmore, Alabama, US",18,19,5.56
"Tallapoosa, Alabama, US",17,21,23.53
"Etowah, Alabama, US",15,21,40.00
"Chilton, Alabama, US",14,15,7.14
"Jackson, Alabama, US",14,14,0.00
"Lauderdale, Alabama, US",14,15,7.14
"Marion, Alabama, US",13,18,38.46
"Autauga, Alabama, US",12,12,0.00
"Calhoun, Alabama, US",12,22,83.33
"Houston, Alabama, US",11,14,27.27
"Blount, Alabama, US",9,11,22.22
"Cullman, Alabama, US",9,15,66.67
"Pickens, Alabama, US",9,11,22.22
"Talladega, Alabama, US",9,13,44.44
"DeKalb, Alabama, US",8,10,25.00
"Clay, Alabama, US",7,8,14.29
"Marshall, Alabama, US",7,16,128.57
"Randolph, Alabama, US",7,9,28.57
"Cleburne, Alabama, US",6,7,16.67
"Franklin, Alabama, US",6,7,16.67
"Marengo, Alabama, US",6,7,16.67
"Pike, Alabama, US",6,9,50.00
"Sumter, Alabama, US",6,6,0.00
"Choctaw, Alabama, US",5,5,0.00
"Colbert, Alabama, US",5,5,0.00
"Coosa, Alabama, US",5,5,0.00
"Lawrence, Alabama, US",5,6,20.00
"Macon, Alabama, US",5,6,20.00
"Wilcox, Alabama, US",5,6,20.00
"Bibb, Alabama, US",4,4,0.00
"Coffee, Alabama, US",4,7,75.00
"Dallas, Alabama, US",4,7,75.00
"Monroe, Alabama, US",4,6,50.00
"Russell, Alabama, US",4,5,25.00
"Cherokee, Alabama, US",3,4,33.33
"Covington, Alabama, US",3,4,33.33
"Greene, Alabama, US",3,3,0.00
"Hale, Alabama, US",3,3,0.00
"Washington, Alabama, US",3,5,66.67
"Bullock, Alabama, US",2,2,0.00
"Clarke, Alabama, US",2,3,50.00
"Lowndes, Alabama, US",2,2,0.00
"Winston, Alabama, US",2,3,50.00
"Butler, Alabama, US",1,1,0.00
"Crenshaw, Alabama, US",1,1,0.00
"Dale, Alabama, US",1,1,0.00
"Escambia, Alabama, US",1,1,0.00
"Fayette, Alabama, US",1,1,0.00
"Lamar, Alabama, US",1,1,0.00
"Barbour, Alabama, US",0,2,0.00
"Conecuh, Alabama, US",0,0,0.00
"Geneva, Alabama, US",0,0,0.00
"Henry, Alabama, US",0,2,0.00
"Out of AL, Alabama, US",0,0,0.00
"Perry, Alabama, US",0,0,0.00
