"Jefferson, Alabama, US",70466,70629,0.23
"Mobile, Alabama, US",35810,35894,0.23
"Madison, Alabama, US",32203,32255,0.16
"Tuscaloosa, Alabama, US",23961,23996,0.15
"Montgomery, Alabama, US",22417,22462,0.20
"Shelby, Alabama, US",21773,21820,0.22
"Baldwin, Alabama, US",19635,19670,0.18
"Lee, Alabama, US",14883,14900,0.11
"Morgan, Alabama, US",13571,13599,0.21
"Etowah, Alabama, US",13118,13143,0.19
"Calhoun, Alabama, US",13090,13175,0.65
"Marshall, Alabama, US",11212,11226,0.12
"Houston, Alabama, US",10036,10048,0.12
"Limestone, Alabama, US",9321,9335,0.15
"Elmore, Alabama, US",9313,9337,0.26
"Cullman, Alabama, US",8864,8869,0.06
"St. Clair, Alabama, US",8771,8783,0.14
"Lauderdale, Alabama, US",8570,8581,0.13
"DeKalb, Alabama, US",8419,8429,0.12
"Talladega, Alabama, US",7450,7481,0.42
"Walker, Alabama, US",6492,6504,0.18
"Jackson, Alabama, US",6466,6477,0.17
"Autauga, Alabama, US",6172,6203,0.50
"Blount, Alabama, US",6072,6086,0.23
"Colbert, Alabama, US",5978,5978,0.00
"Coffee, Alabama, US",5229,5230,0.02
"Dale, Alabama, US",4614,4621,0.15
"Russell, Alabama, US",4014,4018,0.10
"Franklin, Alabama, US",3976,3978,0.05
"Covington, Alabama, US",3948,3956,0.20
"Chilton, Alabama, US",3831,3842,0.29
"Escambia, Alabama, US",3766,3771,0.13
"Tallapoosa, Alabama, US",3559,3572,0.37
"Clarke, Alabama, US",3427,3429,0.06
"Dallas, Alabama, US",3396,3397,0.03
"Chambers, Alabama, US",3393,3392,-0.03
"Pike, Alabama, US",2927,2930,0.10
"Lawrence, Alabama, US",2812,2813,0.04
"Marion, Alabama, US",2807,2808,0.04
"Winston, Alabama, US",2456,2461,0.20
"Bibb, Alabama, US",2437,2442,0.21
"Marengo, Alabama, US",2385,2333,-2.18
"Geneva, Alabama, US",2384,2386,0.08
"Pickens, Alabama, US",2235,2239,0.18
"Barbour, Alabama, US",2095,2099,0.19
"Hale, Alabama, US",2084,2088,0.19
"Fayette, Alabama, US",1993,1997,0.20
"Butler, Alabama, US",1951,1951,0.00
"Henry, Alabama, US",1823,1820,-0.16
"Cherokee, Alabama, US",1763,1764,0.06
"Monroe, Alabama, US",1656,1659,0.18
"Randolph, Alabama, US",1627,1631,0.25
"Washington, Alabama, US",1562,1566,0.26
"Crenshaw, Alabama, US",1433,1435,0.14
"Clay, Alabama, US",1432,1433,0.07
"Macon, Alabama, US",1405,1409,0.28
"Cleburne, Alabama, US",1365,1368,0.22
"Lamar, Alabama, US",1316,1317,0.08
"Lowndes, Alabama, US",1301,1306,0.38
"Wilcox, Alabama, US",1208,1208,0.00
"Bullock, Alabama, US",1165,1163,-0.17
"Conecuh, Alabama, US",1065,1065,0.00
"Perry, Alabama, US",1053,1053,0.00
"Sumter, Alabama, US",982,984,0.20
"Coosa, Alabama, US",868,878,1.15
"Greene, Alabama, US",867,870,0.35
"Choctaw, Alabama, US",547,548,0.18
"Out of AL, Alabama, US",0,0,0.00
