"Anchorage, Alaska, US",397,407,2.52
"Kenai Peninsula,Alaska,US",130,131,0.77
"Fairbanks North Star,Alaska,US",122,126,3.28
"Matanuska-Susitna,Alaska,US",58,60,3.45
"Juneau, Alaska, US",42,42,0.00
"Ketchikan Gateway, Alaska, US",25,27,8.00
"Chugach, Alaska, US",16,16,0.00
"Bristol Bay plus Lake and Peninsula, Alaska, US",15,15,0.00
"Sitka, Alaska, US",13,13,0.00
"Bethel, Alaska, US",7,8,14.29
"Southeast Fairbanks, Alaska, US",7,7,0.00
"Kodiak Island, Alaska, US",6,6,0.00
"Nome, Alaska, US",6,7,16.67
"Wrangell, Alaska, US",6,6,0.00
"Haines, Alaska, US",5,5,0.00
"Petersburg, Alaska, US",5,5,0.00
"Aleutians West, Alaska, US",4,4,0.00
"North Slope, Alaska, US",4,4,0.00
"Northwest Arctic, Alaska, US",4,4,0.00
"Dillingham, Alaska, US",3,14,366.67
"Prince of Wales-Hyder, Alaska, US",3,3,0.00
"Aleutians East, Alaska, US",2,2,0.00
"Yukon-Koyukuk, Alaska, US",2,2,0.00
"Yakutat, Alaska, US",1,1,0.00
"Bristol Bay, Alaska, US",0,0,0.00
"Copper River, Alaska, US",0,0,0.00
"Denali, Alaska, US",0,0,0.00
"Hoonah-Angoon, Alaska, US",0,0,0.00
"Kusilvak, Alaska, US",0,0,0.00
"Out of AK, Alaska, US",0,0,0.00
"Skagway, Alaska, US",0,0,0.00
"Valdez-Cordova, Alaska, US",0,0,0.00
