Location,10/24/20,10/25/20,delta
"Anchorage, Alaska, US",7089,7298,2.95
"Fairbanks North Star,Alaska,US",1957,2034,3.93
"Matanuska-Susitna,Alaska,US",1010,1085,7.43
"Kenai Peninsula,Alaska,US",838,877,4.65
"Juneau, Alaska, US",483,518,7.25
"Bethel, Alaska, US",371,391,5.39
"North Slope, Alaska, US",242,251,3.72
"Northwest Arctic, Alaska, US",224,233,4.02
"Kusilvak, Alaska, US",165,183,10.91
"Nome, Alaska, US",126,129,2.38
"Chugach, Alaska, US",110,111,0.91
"Yukon-Koyukuk, Alaska, US",107,112,4.67
"Bristol Bay plus Lake and Peninsula, Alaska, US",103,104,0.97
"Aleutians West, Alaska, US",97,97,0.00
"Kodiak Island, Alaska, US",94,96,2.13
"Ketchikan Gateway, Alaska, US",79,80,1.27
"Sitka, Alaska, US",72,75,4.17
"Southeast Fairbanks, Alaska, US",65,70,7.69
"Copper River, Alaska, US",54,54,0.00
"Dillingham, Alaska, US",46,49,6.52
"Yakutat, Alaska, US",35,36,2.86
"Prince of Wales-Hyder, Alaska, US",34,35,2.94
"Denali, Alaska, US",25,25,0.00
"Wrangell, Alaska, US",19,19,0.00
"Aleutians East, Alaska, US",16,16,0.00
"Petersburg, Alaska, US",16,16,0.00
"Haines, Alaska, US",12,12,0.00
"Skagway, Alaska, US",6,8,33.33
"Bristol Bay, Alaska, US",0,0,0.00
"Hoonah-Angoon, Alaska, US",0,0,0.00
"Out of AK, Alaska, US",0,0,0.00
"Valdez-Cordova, Alaska, US",0,0,0.00
