Location,1/22/20,1/23/20,delta
"Aleutians East, Alaska, US",0,0,0.00
"Aleutians West, Alaska, US",0,0,0.00
"Anchorage, Alaska, US",0,0,0.00
"Bethel, Alaska, US",0,0,0.00
"Bristol Bay, Alaska, US",0,0,0.00
"Bristol Bay plus Lake and Peninsula, Alaska, US",0,0,0.00
"Chugach, Alaska, US",0,0,0.00
"Copper River, Alaska, US",0,0,0.00
"Denali, Alaska, US",0,0,0.00
"Dillingham, Alaska, US",0,0,0.00
"Fairbanks North Star,Alaska,US",0,0,0.00
"Haines, Alaska, US",0,0,0.00
"Hoonah-Angoon, Alaska, US",0,0,0.00
"Juneau, Alaska, US",0,0,0.00
"Kenai Peninsula,Alaska,US",0,0,0.00
"Ketchikan Gateway, Alaska, US",0,0,0.00
"Kodiak Island, Alaska, US",0,0,0.00
"Kusilvak, Alaska, US",0,0,0.00
"Matanuska-Susitna,Alaska,US",0,0,0.00
"Nome, Alaska, US",0,0,0.00
"North Slope, Alaska, US",0,0,0.00
"Northwest Arctic, Alaska, US",0,0,0.00
"Out of AK, Alaska, US",0,0,0.00
"Petersburg, Alaska, US",0,0,0.00
"Prince of Wales-Hyder, Alaska, US",0,0,0.00
"Sitka, Alaska, US",0,0,0.00
"Skagway, Alaska, US",0,0,0.00
"Southeast Fairbanks, Alaska, US",0,0,0.00
"Valdez-Cordova, Alaska, US",0,0,0.00
"Wrangell, Alaska, US",0,0,0.00
"Yakutat, Alaska, US",0,0,0.00
"Yukon-Koyukuk, Alaska, US",0,0,0.00
