"Anchorage, Alaska, US",8734,8922,2.15
"Fairbanks North Star,Alaska,US",2352,2394,1.79
"Matanuska-Susitna,Alaska,US",1588,1632,2.77
"Kenai Peninsula,Alaska,US",1138,1159,1.85
"Juneau, Alaska, US",594,614,3.37
"Bethel, Alaska, US",499,524,5.01
"North Slope, Alaska, US",281,286,1.78
"Northwest Arctic, Alaska, US",261,273,4.60
"Kusilvak, Alaska, US",259,278,7.34
"Nome, Alaska, US",141,142,0.71
"Kodiak Island, Alaska, US",124,124,0.00
"Yukon-Koyukuk, Alaska, US",122,124,1.64
"Chugach, Alaska, US",114,115,0.88
"Bristol Bay plus Lake and Peninsula, Alaska, US",113,115,1.77
"Aleutians West, Alaska, US",100,101,1.00
"Ketchikan Gateway, Alaska, US",92,92,0.00
"Southeast Fairbanks, Alaska, US",90,92,2.22
"Sitka, Alaska, US",82,83,1.22
"Copper River, Alaska, US",68,70,2.94
"Dillingham, Alaska, US",62,63,1.61
"Yakutat, Alaska, US",37,37,0.00
"Prince of Wales-Hyder, Alaska, US",35,35,0.00
"Denali, Alaska, US",31,32,3.23
"Petersburg, Alaska, US",20,20,0.00
"Wrangell, Alaska, US",19,19,0.00
"Aleutians East, Alaska, US",17,17,0.00
"Haines, Alaska, US",13,14,7.69
"Skagway, Alaska, US",8,7,-12.50
"Bristol Bay, Alaska, US",0,0,0.00
"Hoonah-Angoon, Alaska, US",0,0,0.00
"Out of AK, Alaska, US",0,0,0.00
"Valdez-Cordova, Alaska, US",0,0,0.00
