Location,3/25/20,3/26/20,delta
"Maricopa, Arizona, US",251,299,19.12
"Pima, Arizona, US",49,75,53.06
"Navajo, Arizona, US",37,43,16.22
"Coconino, Arizona, US",23,28,21.74
"Pinal, Arizona, US",23,35,52.17
"Apache, Arizona, US",7,9,28.57
"Yavapai, Arizona, US",4,5,25.00
"Yuma, Arizona, US",3,4,33.33
"Graham, Arizona, US",2,2,0.00
"Cochise, Arizona, US",1,2,100.00
"Santa Cruz, Arizona, US",1,2,100.00
"Gila, Arizona, US",0,0,0.00
"Greenlee, Arizona, US",0,0,0.00
"La Paz, Arizona, US",0,2,0.00
"Mohave, Arizona, US",0,2,0.00
"Out of AZ, Arizona, US",0,0,0.00
