Location,3/19/20,3/20/20,delta
"Maricopa, Arizona, US",22,34,54.55
"Pinal, Arizona, US",10,10,0.00
"Pima, Arizona, US",7,8,14.29
"Navajo, Arizona, US",3,3,0.00
"Coconino, Arizona, US",2,8,300.00
"Graham, Arizona, US",1,1,0.00
"Apache, Arizona, US",0,0,0.00
"Cochise, Arizona, US",0,1,0.00
"Gila, Arizona, US",0,0,0.00
"Greenlee, Arizona, US",0,0,0.00
"La Paz, Arizona, US",0,0,0.00
"Mohave, Arizona, US",0,0,0.00
"Out of AZ, Arizona, US",0,0,0.00
"Santa Cruz, Arizona, US",0,1,0.00
"Yavapai, Arizona, US",0,1,0.00
"Yuma, Arizona, US",0,1,0.00
