Location,3/27/20,3/28/20,delta
"Maricopa, Arizona, US",399,454,13.78
"Pima, Arizona, US",102,120,17.65
"Navajo, Arizona, US",49,57,16.33
"Coconino, Arizona, US",41,56,36.59
"Pinal, Arizona, US",36,41,13.89
"Apache, Arizona, US",11,13,18.18
"Yavapai, Arizona, US",9,13,44.44
"Graham, Arizona, US",4,2,-50.00
"Mohave, Arizona, US",4,5,25.00
"Yuma, Arizona, US",4,4,0.00
"Cochise, Arizona, US",2,3,50.00
"La Paz, Arizona, US",2,2,0.00
"Santa Cruz, Arizona, US",2,2,0.00
"Gila, Arizona, US",0,1,0.00
"Greenlee, Arizona, US",0,0,0.00
"Out of AZ, Arizona, US",0,0,0.00
