Location,4/8/20,4/9/20,delta
"Pulaski, Arkansas, US",179,210,17.32
"Jefferson, Arkansas, US",78,90,15.38
"Cleburne, Arkansas, US",67,69,2.99
"Crittenden, Arkansas, US",61,74,21.31
"Faulkner, Arkansas, US",55,55,0.00
"Garland, Arkansas, US",51,61,19.61
"Benton, Arkansas, US",45,47,4.44
"Saline, Arkansas, US",33,31,-6.06
"Washington, Arkansas, US",30,36,20.00
"St. Francis, Arkansas, US",29,31,6.90
"Clark, Arkansas, US",27,27,0.00
"White, Arkansas, US",27,27,0.00
"Craighead, Arkansas, US",23,28,21.74
"Lonoke, Arkansas, US",23,26,13.04
"Van Buren, Arkansas, US",22,26,18.18
"Pope, Arkansas, US",20,23,15.00
"Miller, Arkansas, US",16,19,18.75
"Union, Arkansas, US",13,15,15.38
"Johnson, Arkansas, US",11,11,0.00
"Lincoln, Arkansas, US",11,10,-9.09
"Sebastian, Arkansas, US",9,9,0.00
"Cleveland, Arkansas, US",7,8,14.29
"Hot Spring, Arkansas, US",7,8,14.29
"Greene, Arkansas, US",6,6,0.00
"Poinsett, Arkansas, US",6,6,0.00
"Polk, Arkansas, US",6,6,0.00
"Randolph, Arkansas, US",6,7,16.67
"Searcy, Arkansas, US",6,6,0.00
"Sevier, Arkansas, US",6,6,0.00
"Ashley, Arkansas, US",5,8,60.00
"Bradley, Arkansas, US",5,6,20.00
"Cross, Arkansas, US",5,6,20.00
"Desha, Arkansas, US",5,5,0.00
"Drew, Arkansas, US",5,5,0.00
"Grant, Arkansas, US",5,7,40.00
"Howard, Arkansas, US",5,5,0.00
"Independence, Arkansas, US",5,5,0.00
"Stone, Arkansas, US",5,7,40.00
"Chicot, Arkansas, US",2,4,100.00
"Arkansas, Arkansas, US",1,2,100.00
"Baxter, Arkansas, US",1,4,300.00
"Boone, Arkansas, US",1,3,200.00
"Carroll, Arkansas, US",1,2,100.00
"Clay, Arkansas, US",1,1,0.00
"Columbia, Arkansas, US",1,3,200.00
"Conway, Arkansas, US",1,4,300.00
"Crawford, Arkansas, US",1,3,200.00
"Dallas, Arkansas, US",1,1,0.00
"Franklin, Arkansas, US",1,1,0.00
"Hempstead, Arkansas, US",1,3,200.00
"Izard, Arkansas, US",1,1,0.00
"Lafayette, Arkansas, US",1,2,100.00
"Lawrence, Arkansas, US",1,9,800.00
"Lee, Arkansas, US",1,2,100.00
"Logan, Arkansas, US",1,1,0.00
"Mississippi, Arkansas, US",1,6,500.00
"Monroe, Arkansas, US",1,1,0.00
"Nevada, Arkansas, US",1,1,0.00
"Newton, Arkansas, US",1,1,0.00
"Ouachita, Arkansas, US",1,5,400.00
"Perry, Arkansas, US",1,2,100.00
"Phillips, Arkansas, US",1,2,100.00
"Pike, Arkansas, US",1,2,100.00
"Prairie, Arkansas, US",1,2,100.00
"Scott, Arkansas, US",1,1,0.00
"Sharp, Arkansas, US",1,2,100.00
"Woodruff, Arkansas, US",1,1,0.00
"Yell, Arkansas, US",1,1,0.00
"Calhoun, Arkansas, US",0,0,0.00
"Fulton, Arkansas, US",0,0,0.00
"Jackson, Arkansas, US",0,0,0.00
"Little River, Arkansas, US",0,0,0.00
"Madison, Arkansas, US",0,1,0.00
"Marion, Arkansas, US",0,0,0.00
"Montgomery, Arkansas, US",0,0,0.00
"Out of AR, Arkansas, US",0,0,0.00
