Location,3/24/20,3/25/20,delta
"Pulaski, Arkansas, US",64,78,21.88
"Cleburne, Arkansas, US",32,40,25.00
"Jefferson, Arkansas, US",21,22,4.76
"Faulkner, Arkansas, US",14,23,64.29
"Garland, Arkansas, US",10,16,60.00
"Clark, Arkansas, US",6,12,100.00
"Van Buren, Arkansas, US",5,8,60.00
"Washington, Arkansas, US",5,6,20.00
"Bradley, Arkansas, US",4,4,0.00
"Craighead, Arkansas, US",4,4,0.00
"Saline, Arkansas, US",4,4,0.00
"Cleveland, Arkansas, US",3,3,0.00
"Grant, Arkansas, US",3,3,0.00
"Independence, Arkansas, US",3,3,0.00
"Poinsett, Arkansas, US",3,3,0.00
"Desha, Arkansas, US",2,2,0.00
"Lincoln, Arkansas, US",2,2,0.00
"Searcy, Arkansas, US",2,2,0.00
"Benton, Arkansas, US",1,1,0.00
"Boone, Arkansas, US",1,1,0.00
"Columbia, Arkansas, US",1,1,0.00
"Conway, Arkansas, US",1,1,0.00
"Crawford, Arkansas, US",1,1,0.00
"Crittenden, Arkansas, US",1,6,500.00
"Cross, Arkansas, US",1,1,0.00
"Greene, Arkansas, US",1,1,0.00
"Hempstead, Arkansas, US",1,1,0.00
"Lawrence, Arkansas, US",1,0,-100.00
"Pike, Arkansas, US",1,1,0.00
"Polk, Arkansas, US",1,1,0.00
"Pope, Arkansas, US",1,1,0.00
"Sebastian, Arkansas, US",1,2,100.00
"Sevier, Arkansas, US",1,1,0.00
"Stone, Arkansas, US",1,1,0.00
"Union, Arkansas, US",1,1,0.00
"White, Arkansas, US",1,1,0.00
"Woodruff, Arkansas, US",1,1,0.00
"Arkansas, Arkansas, US",0,0,0.00
"Ashley, Arkansas, US",0,0,0.00
"Baxter, Arkansas, US",0,0,0.00
"Calhoun, Arkansas, US",0,0,0.00
"Carroll, Arkansas, US",0,0,0.00
"Chicot, Arkansas, US",0,0,0.00
"Clay, Arkansas, US",0,0,0.00
"Dallas, Arkansas, US",0,0,0.00
"Drew, Arkansas, US",0,0,0.00
"Franklin, Arkansas, US",0,0,0.00
"Fulton, Arkansas, US",0,0,0.00
"Hot Spring, Arkansas, US",0,1,0.00
"Howard, Arkansas, US",0,0,0.00
"Izard, Arkansas, US",0,0,0.00
"Jackson, Arkansas, US",0,0,0.00
"Johnson, Arkansas, US",0,0,0.00
"Lafayette, Arkansas, US",0,0,0.00
"Lee, Arkansas, US",0,0,0.00
"Little River, Arkansas, US",0,0,0.00
"Logan, Arkansas, US",0,0,0.00
"Lonoke, Arkansas, US",0,0,0.00
"Madison, Arkansas, US",0,0,0.00
"Marion, Arkansas, US",0,0,0.00
"Miller, Arkansas, US",0,0,0.00
"Mississippi, Arkansas, US",0,0,0.00
"Monroe, Arkansas, US",0,0,0.00
"Montgomery, Arkansas, US",0,0,0.00
"Nevada, Arkansas, US",0,0,0.00
"Newton, Arkansas, US",0,0,0.00
"Ouachita, Arkansas, US",0,0,0.00
"Out of AR, Arkansas, US",0,0,0.00
"Perry, Arkansas, US",0,0,0.00
"Phillips, Arkansas, US",0,0,0.00
"Prairie, Arkansas, US",0,0,0.00
"Randolph, Arkansas, US",0,0,0.00
"Scott, Arkansas, US",0,0,0.00
"Sharp, Arkansas, US",0,0,0.00
"St. Francis, Arkansas, US",0,0,0.00
"Yell, Arkansas, US",0,0,0.00
