Location,3/22/20,3/23/20,delta
"Los Angeles, California, US",407,536,31.70
"Santa Clara, California, US",263,302,14.83
"San Diego, California, US",155,201,29.68
"San Mateo, California, US",117,142,21.37
"San Francisco, California, US",108,131,21.30
"Orange, California, US",95,125,31.58
"Alameda, California, US",71,118,66.20
"Contra Costa, California, US",61,71,16.39
"Sacramento, California, US",53,88,66.04
"Marin, California, US",38,38,0.00
"San Joaquin, California, US",31,41,32.26
"Ventura, California, US",30,35,16.67
"Riverside, California, US",29,46,58.62
"San Luis Obispo, California, US",27,27,0.00
"Sonoma, California, US",22,29,31.82
"San Bernardino, California, US",17,17,0.00
"Santa Cruz, California, US",15,22,46.67
"Santa Barbara, California, US",13,18,38.46
"Solano, California, US",13,14,7.69
"Placer, California, US",12,12,0.00
"Tulare, California, US",12,16,33.33
"Monterey, California, US",11,14,27.27
"Fresno, California, US",6,6,0.00
"Imperial, California, US",6,6,0.00
"Yolo, California, US",6,6,0.00
"Kern, California, US",5,12,140.00
"San Benito, California, US",5,6,20.00
"Stanislaus, California, US",5,8,60.00
"Madera, California, US",3,3,0.00
"Calaveras, California, US",2,2,0.00
"Humboldt, California, US",2,2,0.00
"Siskiyou, California, US",2,2,0.00
"Yuba, California, US",2,3,50.00
"Amador, California, US",1,1,0.00
"Butte, California, US",1,2,100.00
"Mendocino, California, US",1,1,0.00
"Mono, California, US",1,1,0.00
"Napa, California, US",1,2,100.00
"Nevada, California, US",1,2,100.00
"Shasta, California, US",1,2,100.00
"Alpine, California, US",0,0,0.00
"Colusa, California, US",0,0,0.00
"Del Norte, California, US",0,0,0.00
"El Dorado, California, US",0,2,0.00
"Glenn, California, US",0,0,0.00
"Inyo, California, US",0,0,0.00
"Kings, California, US",0,0,0.00
"Lake, California, US",0,0,0.00
"Lassen, California, US",0,0,0.00
"Mariposa, California, US",0,0,0.00
"Merced, California, US",0,1,0.00
"Modoc, California, US",0,0,0.00
"Out of CA, California, US",0,0,0.00
"Plumas, California, US",0,0,0.00
"Sierra, California, US",0,0,0.00
"Sutter, California, US",0,0,0.00
"Tehama, California, US",0,0,0.00
"Trinity, California, US",0,0,0.00
"Tuolumne, California, US",0,0,0.00
