Location,3/30/20,3/31/20,delta
"Los Angeles, California, US",2474,3019,22.03
"Santa Clara, California, US",848,890,4.95
"San Diego, California, US",515,603,17.09
"Orange, California, US",464,502,8.19
"San Francisco, California, US",374,397,6.15
"San Mateo, California, US",309,309,0.00
"Riverside, California, US",291,371,27.49
"Alameda, California, US",283,313,10.60
"Sacramento, California, US",224,224,0.00
"Contra Costa, California, US",187,212,13.37
"Ventura, California, US",126,149,18.25
"San Joaquin, California, US",123,136,10.57
"San Bernardino, California, US",111,125,12.61
"Marin, California, US",93,99,6.45
"San Luis Obispo, California, US",71,80,12.68
"Santa Barbara, California, US",68,88,29.41
"Kern, California, US",60,83,38.33
"Sonoma, California, US",58,73,25.86
"Placer, California, US",53,57,7.55
"Santa Cruz, California, US",44,45,2.27
"Fresno, California, US",43,53,23.26
"Monterey, California, US",36,40,11.11
"Tulare, California, US",35,43,22.86
"Solano, California, US",34,43,26.47
"Stanislaus, California, US",31,33,6.45
"Imperial, California, US",25,33,32.00
"Humboldt, California, US",18,21,16.67
"Madera, California, US",18,21,16.67
"Nevada, California, US",17,21,23.53
"Yolo, California, US",16,24,50.00
"Napa, California, US",14,14,0.00
"San Benito, California, US",14,17,21.43
"Mono, California, US",13,13,0.00
"El Dorado, California, US",12,15,25.00
"Merced, California, US",9,10,11.11
"Inyo, California, US",8,8,0.00
"Sutter, California, US",6,9,50.00
"Butte, California, US",5,8,60.00
"Mendocino, California, US",4,4,0.00
"Shasta, California, US",4,6,50.00
"Siskiyou, California, US",4,3,-25.00
"Yuba, California, US",4,6,50.00
"Calaveras, California, US",3,3,0.00
"Amador, California, US",2,2,0.00
"Kings, California, US",2,3,50.00
"Colusa, California, US",1,1,0.00
"Glenn, California, US",1,2,100.00
"Alpine, California, US",0,0,0.00
"Del Norte, California, US",0,0,0.00
"Lake, California, US",0,0,0.00
"Lassen, California, US",0,0,0.00
"Mariposa, California, US",0,0,0.00
"Modoc, California, US",0,0,0.00
"Out of CA, California, US",0,0,0.00
"Plumas, California, US",0,0,0.00
"Sierra, California, US",0,0,0.00
"Tehama, California, US",0,0,0.00
"Trinity, California, US",0,0,0.00
"Tuolumne, California, US",0,2,0.00
