"Denver, Colorado, US",586,643,9.73
"Arapahoe, Colorado, US",381,441,15.75
"Jefferson, Colorado, US",356,385,8.15
"El Paso, Colorado, US",314,340,8.28
"Eagle, Colorado, US",295,314,6.44
"Weld, Colorado, US",293,329,12.29
"Adams, Colorado, US",212,260,22.64
"Douglas, Colorado, US",158,171,8.23
"Boulder, Colorado, US",114,132,15.79
"Larimer, Colorado, US",107,124,15.89
"Gunnison, Colorado, US",84,86,2.38
"Garfield, Colorado, US",34,43,26.47
"Summit, Colorado, US",34,26,-23.53
"Pitkin, Colorado, US",33,36,9.09
"La Plata, Colorado, US",23,24,4.35
"Pueblo, Colorado, US",22,26,18.18
"Broomfield, Colorado, US",21,30,42.86
"Routt, Colorado, US",19,23,21.05
"Chaffee, Colorado, US",17,18,5.88
"Mesa, Colorado, US",14,17,21.43
"Montrose, Colorado, US",13,14,7.69
"Teller, Colorado, US",7,7,0.00
"Clear Creek, Colorado, US",6,6,0.00
"Logan, Colorado, US",6,7,16.67
"Elbert, Colorado, US",5,5,0.00
"Morgan, Colorado, US",5,7,40.00
"Rio Grande, Colorado, US",5,5,0.00
"Alamosa, Colorado, US",4,4,0.00
"Grand, Colorado, US",4,4,0.00
"Kit Carson, Colorado, US",4,4,0.00
"Moffat, Colorado, US",4,4,0.00
"San Miguel, Colorado, US",4,7,75.00
"Baca, Colorado, US",3,9,200.00
"Costilla, Colorado, US",3,3,0.00
"Otero, Colorado, US",3,3,0.00
"Park, Colorado, US",3,3,0.00
"Fremont, Colorado, US",2,2,0.00
"Lake, Colorado, US",2,2,0.00
"Mineral, Colorado, US",2,2,0.00
"Yuma, Colorado, US",2,2,0.00
"Archuleta, Colorado, US",1,1,0.00
"Crowley, Colorado, US",1,1,0.00
"Delta, Colorado, US",1,1,0.00
"Hinsdale, Colorado, US",1,1,0.00
"Huerfano, Colorado, US",1,1,0.00
"Lincoln, Colorado, US",1,1,0.00
"Montezuma, Colorado, US",1,3,200.00
"Phillips, Colorado, US",1,2,100.00
"Saguache, Colorado, US",1,3,200.00
"Washington, Colorado, US",1,1,0.00
"Bent, Colorado, US",0,0,0.00
"Cheyenne, Colorado, US",0,0,0.00
"Conejos, Colorado, US",0,0,0.00
"Custer, Colorado, US",0,1,0.00
"Dolores, Colorado, US",0,0,0.00
"Gilpin, Colorado, US",0,0,0.00
"Jackson, Colorado, US",0,0,0.00
"Kiowa, Colorado, US",0,0,0.00
"Las Animas, Colorado, US",0,0,0.00
"Ouray, Colorado, US",0,0,0.00
"Out of CO, Colorado, US",0,0,0.00
"Prowers, Colorado, US",0,0,0.00
"Rio Blanco, Colorado, US",0,0,0.00
"San Juan, Colorado, US",0,0,0.00
"Sedgwick, Colorado, US",0,0,0.00
