Location,11/12/20,11/13/20,delta
"Denver, Colorado, US",25544,26396,3.34
"Adams, Colorado, US",20346,21175,4.07
"Arapahoe, Colorado, US",18205,18935,4.01
"El Paso, Colorado, US",16236,17127,5.49
"Jefferson, Colorado, US",13145,13667,3.97
"Weld, Colorado, US",8881,9168,3.23
"Boulder, Colorado, US",7685,7974,3.76
"Douglas, Colorado, US",6291,6611,5.09
"Larimer, Colorado, US",6195,6376,2.92
"Pueblo, Colorado, US",3982,4267,7.16
"Mesa, Colorado, US",3045,3341,9.72
"Eagle, Colorado, US",1789,1812,1.29
"Logan, Colorado, US",1626,1679,3.26
"Garfield, Colorado, US",1465,1499,2.32
"Broomfield, Colorado, US",1389,1450,4.39
"Fremont, Colorado, US",1378,1460,5.95
"Morgan, Colorado, US",1129,1182,4.69
"Summit, Colorado, US",1057,1094,3.50
"Montrose, Colorado, US",589,604,2.55
"La Plata, Colorado, US",555,574,3.42
"Chaffee, Colorado, US",475,484,1.89
"Alamosa, Colorado, US",425,440,3.53
"Gunnison, Colorado, US",394,401,1.78
"Teller, Colorado, US",357,377,5.60
"Crowley, Colorado, US",351,527,50.14
"Pitkin, Colorado, US",349,354,1.43
"Elbert, Colorado, US",347,361,4.03
"Routt, Colorado, US",335,358,6.87
"Prowers, Colorado, US",321,335,4.36
"Montezuma, Colorado, US",320,363,13.44
"Delta, Colorado, US",297,316,6.40
"Yuma, Colorado, US",255,262,2.75
"Otero, Colorado, US",249,265,6.43
"Kit Carson, Colorado, US",220,227,3.18
"Grand, Colorado, US",194,200,3.09
"Saguache, Colorado, US",187,189,1.07
"Lake, Colorado, US",175,181,3.43
"Rio Grande, Colorado, US",150,162,8.00
"Park, Colorado, US",144,154,6.94
"Washington, Colorado, US",139,146,5.04
"San Miguel, Colorado, US",128,144,12.50
"Clear Creek, Colorado, US",120,134,11.67
"Moffat, Colorado, US",111,115,3.60
"Conejos, Colorado, US",109,117,7.34
"Las Animas, Colorado, US",103,107,3.88
"Phillips, Colorado, US",101,125,23.76
"Archuleta, Colorado, US",80,90,12.50
"Huerfano, Colorado, US",72,76,5.56
"Ouray, Colorado, US",69,79,14.49
"Sedgwick, Colorado, US",68,72,5.88
"Costilla, Colorado, US",53,56,5.66
"Gilpin, Colorado, US",52,61,17.31
"Rio Blanco, Colorado, US",49,58,18.37
"Custer, Colorado, US",45,47,4.44
"Lincoln, Colorado, US",43,77,79.07
"Baca, Colorado, US",42,42,0.00
"Bent, Colorado, US",29,30,3.45
"Mineral, Colorado, US",22,21,-4.55
"Cheyenne, Colorado, US",19,26,36.84
"Kiowa, Colorado, US",13,13,0.00
"San Juan, Colorado, US",13,13,0.00
"Jackson, Colorado, US",11,11,0.00
"Hinsdale, Colorado, US",5,5,0.00
"Dolores, Colorado, US",3,3,0.00
"Out of CO, Colorado, US",0,0,0.00
