"Denver, Colorado, US",2583,2682,3.83
"Arapahoe, Colorado, US",2160,2252,4.26
"Weld, Colorado, US",1469,1544,5.11
"Adams, Colorado, US",1348,1391,3.19
"Jefferson, Colorado, US",1265,1276,0.87
"El Paso, Colorado, US",867,879,1.38
"Eagle, Colorado, US",533,535,0.38
"Boulder, Colorado, US",500,515,3.00
"Douglas, Colorado, US",439,449,2.28
"Larimer, Colorado, US",312,321,2.88
"Morgan, Colorado, US",259,298,15.06
"Logan, Colorado, US",248,259,4.44
"Gunnison, Colorado, US",158,158,0.00
"Broomfield, Colorado, US",139,141,1.44
"Pueblo, Colorado, US",131,134,2.29
"Summit, Colorado, US",105,106,0.95
"Montrose, Colorado, US",90,92,2.22
"Garfield, Colorado, US",87,88,1.15
"Chaffee, Colorado, US",66,66,0.00
"Pitkin, Colorado, US",61,61,0.00
"La Plata, Colorado, US",59,59,0.00
"Routt, Colorado, US",54,54,0.00
"Mesa, Colorado, US",38,40,5.26
"Delta, Colorado, US",27,33,22.22
"Elbert, Colorado, US",27,27,0.00
"Teller, Colorado, US",27,27,0.00
"Fremont, Colorado, US",22,22,0.00
"Kit Carson, Colorado, US",20,20,0.00
"San Miguel, Colorado, US",19,19,0.00
"Lake, Colorado, US",17,17,0.00
"Montezuma, Colorado, US",15,15,0.00
"Clear Creek, Colorado, US",13,13,0.00
"Alamosa, Colorado, US",10,10,0.00
"Baca, Colorado, US",10,10,0.00
"Archuleta, Colorado, US",8,8,0.00
"Otero, Colorado, US",8,8,0.00
"Park, Colorado, US",7,7,0.00
"Rio Grande, Colorado, US",7,7,0.00
"Moffat, Colorado, US",6,6,0.00
"Washington, Colorado, US",6,6,0.00
"Yuma, Colorado, US",6,6,0.00
"Grand, Colorado, US",5,5,0.00
"Ouray, Colorado, US",5,5,0.00
"Phillips, Colorado, US",5,6,20.00
"Lincoln, Colorado, US",4,3,-25.00
"Costilla, Colorado, US",3,3,0.00
"Hinsdale, Colorado, US",3,3,0.00
"Las Animas, Colorado, US",3,3,0.00
"Saguache, Colorado, US",3,3,0.00
"Crowley, Colorado, US",2,2,0.00
"Custer, Colorado, US",2,2,0.00
"Huerfano, Colorado, US",2,2,0.00
"Mineral, Colorado, US",2,2,0.00
"Gilpin, Colorado, US",1,1,0.00
"Prowers, Colorado, US",1,1,0.00
"Rio Blanco, Colorado, US",1,1,0.00
"San Juan, Colorado, US",1,0,-100.00
"Bent, Colorado, US",0,0,0.00
"Cheyenne, Colorado, US",0,0,0.00
"Conejos, Colorado, US",0,0,0.00
"Dolores, Colorado, US",0,0,0.00
"Jackson, Colorado, US",0,0,0.00
"Kiowa, Colorado, US",0,0,0.00
"Out of CO, Colorado, US",0,0,0.00
"Sedgwick, Colorado, US",0,0,0.00
