Location,1/22/20,1/23/20,delta
"Adams, Colorado, US",0,0,0.00
"Alamosa, Colorado, US",0,0,0.00
"Arapahoe, Colorado, US",0,0,0.00
"Archuleta, Colorado, US",0,0,0.00
"Baca, Colorado, US",0,0,0.00
"Bent, Colorado, US",0,0,0.00
"Boulder, Colorado, US",0,0,0.00
"Broomfield, Colorado, US",0,0,0.00
"Chaffee, Colorado, US",0,0,0.00
"Cheyenne, Colorado, US",0,0,0.00
"Clear Creek, Colorado, US",0,0,0.00
"Conejos, Colorado, US",0,0,0.00
"Costilla, Colorado, US",0,0,0.00
"Crowley, Colorado, US",0,0,0.00
"Custer, Colorado, US",0,0,0.00
"Delta, Colorado, US",0,0,0.00
"Denver, Colorado, US",0,0,0.00
"Dolores, Colorado, US",0,0,0.00
"Douglas, Colorado, US",0,0,0.00
"Eagle, Colorado, US",0,0,0.00
"El Paso, Colorado, US",0,0,0.00
"Elbert, Colorado, US",0,0,0.00
"Fremont, Colorado, US",0,0,0.00
"Garfield, Colorado, US",0,0,0.00
"Gilpin, Colorado, US",0,0,0.00
"Grand, Colorado, US",0,0,0.00
"Gunnison, Colorado, US",0,0,0.00
"Hinsdale, Colorado, US",0,0,0.00
"Huerfano, Colorado, US",0,0,0.00
"Jackson, Colorado, US",0,0,0.00
"Jefferson, Colorado, US",0,0,0.00
"Kiowa, Colorado, US",0,0,0.00
"Kit Carson, Colorado, US",0,0,0.00
"La Plata, Colorado, US",0,0,0.00
"Lake, Colorado, US",0,0,0.00
"Larimer, Colorado, US",0,0,0.00
"Las Animas, Colorado, US",0,0,0.00
"Lincoln, Colorado, US",0,0,0.00
"Logan, Colorado, US",0,0,0.00
"Mesa, Colorado, US",0,0,0.00
"Mineral, Colorado, US",0,0,0.00
"Moffat, Colorado, US",0,0,0.00
"Montezuma, Colorado, US",0,0,0.00
"Montrose, Colorado, US",0,0,0.00
"Morgan, Colorado, US",0,0,0.00
"Otero, Colorado, US",0,0,0.00
"Ouray, Colorado, US",0,0,0.00
"Out of CO, Colorado, US",0,0,0.00
"Park, Colorado, US",0,0,0.00
"Phillips, Colorado, US",0,0,0.00
"Pitkin, Colorado, US",0,0,0.00
"Prowers, Colorado, US",0,0,0.00
"Pueblo, Colorado, US",0,0,0.00
"Rio Blanco, Colorado, US",0,0,0.00
"Rio Grande, Colorado, US",0,0,0.00
"Routt, Colorado, US",0,0,0.00
"Saguache, Colorado, US",0,0,0.00
"San Juan, Colorado, US",0,0,0.00
"San Miguel, Colorado, US",0,0,0.00
"Sedgwick, Colorado, US",0,0,0.00
"Summit, Colorado, US",0,0,0.00
"Teller, Colorado, US",0,0,0.00
"Washington, Colorado, US",0,0,0.00
"Weld, Colorado, US",0,0,0.00
"Yuma, Colorado, US",0,0,0.00
