Location,4/1/20,4/2/20,delta
"Miami-Dade, Florida, US",2202,2886,31.06
"Broward, Florida, US",1232,1481,20.21
"Palm Beach, Florida, US",567,737,29.98
"Orange, Florida, US",392,541,38.01
"Hillsborough, Florida, US",309,404,30.74
"Duval, Florida, US",218,286,31.19
"Lee, Florida, US",212,275,29.72
"Pinellas, Florida, US",170,273,60.59
"Collier, Florida, US",150,178,18.67
"Osceola, Florida, US",115,170,47.83
"Seminole, Florida, US",109,145,33.03
"Escambia, Florida, US",94,101,7.45
"Alachua, Florida, US",90,95,5.56
"St. Johns, Florida, US",83,102,22.89
"Sarasota, Florida, US",82,110,34.15
"Volusia, Florida, US",80,102,27.50
"Polk, Florida, US",76,103,35.53
"Lake, Florida, US",67,82,22.39
"Manatee, Florida, US",58,89,53.45
"Sumter, Florida, US",52,66,26.92
"Clay, Florida, US",46,58,26.09
"Santa Rosa, Florida, US",44,47,6.82
"Pasco, Florida, US",43,66,53.49
"St. Lucie, Florida, US",40,48,20.00
"Okaloosa, Florida, US",39,51,30.77
"Brevard, Florida, US",38,49,28.95
"Indian River, Florida, US",33,41,24.24
"Martin, Florida, US",29,34,17.24
"Leon, Florida, US",28,35,25.00
"Marion, Florida, US",28,33,17.86
"Monroe, Florida, US",27,38,40.74
"Charlotte, Florida, US",24,38,58.33
"Hernando, Florida, US",24,34,41.67
"Flagler, Florida, US",20,25,25.00
"Citrus, Florida, US",19,27,42.11
"Walton, Florida, US",18,19,5.56
"Highlands, Florida, US",17,24,41.18
"Putnam, Florida, US",13,14,7.69
"Nassau, Florida, US",11,16,45.45
"Bay, Florida, US",10,15,50.00
"Baker, Florida, US",9,11,22.22
"DeSoto,Florida,US",7,8,14.29
"Hendry, Florida, US",4,4,0.00
"Suwannee, Florida, US",4,7,75.00
"Bradford, Florida, US",3,5,66.67
"Columbia, Florida, US",3,4,33.33
"Glades, Florida, US",3,3,0.00
"Jackson, Florida, US",2,4,100.00
"Levy, Florida, US",2,2,0.00
"Calhoun, Florida, US",1,1,0.00
"Gadsden, Florida, US",1,2,100.00
"Gulf, Florida, US",1,1,0.00
"Holmes, Florida, US",1,1,0.00
"Union, Florida, US",1,1,0.00
"Wakulla, Florida, US",1,2,100.00
"Washington, Florida, US",1,1,0.00
"Dixie, Florida, US",0,0,0.00
"Franklin, Florida, US",0,0,0.00
"Gilchrist, Florida, US",0,0,0.00
"Hamilton, Florida, US",0,0,0.00
"Hardee, Florida, US",0,1,0.00
"Jefferson, Florida, US",0,0,0.00
"Lafayette, Florida, US",0,0,0.00
"Liberty, Florida, US",0,0,0.00
"Madison, Florida, US",0,2,0.00
"Okeechobee, Florida, US",0,1,0.00
"Out of FL, Florida, US",0,0,0.00
"Taylor, Florida, US",0,0,0.00
