Location,4/6/20,4/7/20,delta
"Fulton, Georgia, US",1027,1124,9.44
"Dougherty, Georgia, US",716,939,31.15
"DeKalb, Georgia, US",579,645,11.40
"Cobb, Georgia, US",515,550,6.80
"Gwinnett, Georgia, US",443,525,18.51
"Clayton, Georgia, US",244,266,9.02
"Bartow, Georgia, US",179,187,4.47
"Henry, Georgia, US",178,194,8.99
"Carroll, Georgia, US",163,177,8.59
"Lee, Georgia, US",147,195,32.65
"Cherokee, Georgia, US",133,144,8.27
"Hall, Georgia, US",131,196,49.62
"Chatham, Georgia, US",104,117,12.50
"Douglas, Georgia, US",102,111,8.82
"Sumter, Georgia, US",87,147,68.97
"Floyd, Georgia, US",84,89,5.95
"Forsyth, Georgia, US",80,94,17.50
"Rockdale, Georgia, US",80,85,6.25
"Coweta, Georgia, US",76,79,3.95
"Early, Georgia, US",76,92,21.05
"Fayette, Georgia, US",74,79,6.76
"Clarke, Georgia, US",69,77,11.59
"Terrell, Georgia, US",65,87,33.85
"Houston, Georgia, US",64,79,23.44
"Newton, Georgia, US",62,65,4.84
"Mitchell, Georgia, US",56,90,60.71
"Richmond, Georgia, US",56,74,32.14
"Paulding, Georgia, US",54,60,11.11
"Colquitt, Georgia, US",53,69,30.19
"Crisp, Georgia, US",43,46,6.98
"Tift, Georgia, US",42,43,2.38
"Spalding, Georgia, US",41,50,21.95
"Bibb, Georgia, US",40,42,5.00
"Columbia, Georgia, US",40,46,15.00
"Lowndes, Georgia, US",40,44,10.00
"Muscogee, Georgia, US",40,53,32.50
"Worth, Georgia, US",39,55,41.03
"Troup, Georgia, US",37,46,24.32
"Glynn, Georgia, US",29,29,0.00
"Thomas, Georgia, US",28,37,32.14
"Barrow, Georgia, US",27,40,48.15
"Gordon, Georgia, US",24,25,4.17
"Oconee, Georgia, US",24,32,33.33
"Randolph, Georgia, US",24,81,237.50
"Walton, Georgia, US",23,24,4.35
"Upson, Georgia, US",22,28,27.27
"Ware, Georgia, US",22,37,68.18
