"Fulton, Georgia, US",34833,34946,0.32
"Gwinnett, Georgia, US",34383,34491,0.31
"Cobb, Georgia, US",25443,25525,0.32
"DeKalb, Georgia, US",23642,23731,0.38
"Out of GA, Georgia, US",16148,16215,0.41
"Hall, Georgia, US",11349,11380,0.27
"Chatham, Georgia, US",9868,9910,0.43
"Clayton, Georgia, US",9268,9299,0.33
"Richmond, Georgia, US",8849,8865,0.18
"Cherokee, Georgia, US",8467,8515,0.57
"Henry, Georgia, US",7343,7369,0.35
"Clarke, Georgia, US",7157,7163,0.08
"Bibb, Georgia, US",7002,7013,0.16
"Muscogee, Georgia, US",6782,6794,0.18
"Whitfield, Georgia, US",6152,6205,0.86
"Forsyth, Georgia, US",5538,5552,0.25
"Lowndes, Georgia, US",5509,5514,0.09
"Columbia, Georgia, US",5290,5299,0.17
"Douglas, Georgia, US",4814,4823,0.19
"Floyd, Georgia, US",4637,4654,0.37
"Carroll, Georgia, US",4548,4587,0.86
"Bartow, Georgia, US",4256,4272,0.38
"Houston, Georgia, US",4219,4230,0.26
"Coweta, Georgia, US",4208,4228,0.48
"Paulding, Georgia, US",4037,4048,0.27
"Glynn, Georgia, US",3945,3975,0.76
"Troup, Georgia, US",3578,3579,0.03
"Bulloch, Georgia, US",3544,3552,0.23
"Dougherty, Georgia, US",3540,3544,0.11
"Newton, Georgia, US",3347,3369,0.66
"Barrow, Georgia, US",2942,2947,0.17
"Gordon, Georgia, US",2865,2872,0.24
"Walton, Georgia, US",2788,2803,0.54
"Jackson, Georgia, US",2774,2796,0.79
"Fayette, Georgia, US",2635,2644,0.34
"Coffee, Georgia, US",2619,2628,0.34
"Colquitt, Georgia, US",2507,2507,0.00
"Baldwin, Georgia, US",2467,2480,0.53
"Laurens, Georgia, US",2441,2444,0.12
"Ware, Georgia, US",2415,2418,0.12
"Rockdale, Georgia, US",2393,2408,0.63
"Union, Georgia, US",2318,957,-58.71
"Tift, Georgia, US",2174,2178,0.18
"Walker, Georgia, US",2111,2116,0.24
"Polk, Georgia, US",2039,2043,0.20
"Spalding, Georgia, US",2028,2032,0.20
"Habersham, Georgia, US",1962,1965,0.15
"Effingham, Georgia, US",1957,1960,0.15
"Chattahoochee, Georgia, US",1864,1877,0.70
"Thomas, Georgia, US",1790,1791,0.06
"Catoosa, Georgia, US",1639,1648,0.55
"Toombs, Georgia, US",1595,1596,0.06
"Camden, Georgia, US",1551,1557,0.39
"Decatur, Georgia, US",1475,1479,0.27
"Wayne, Georgia, US",1450,1450,0.00
"Bryan, Georgia, US",1379,1381,0.15
"Liberty, Georgia, US",1375,1384,0.65
"Emanuel, Georgia, US",1367,1368,0.07
"Upson, Georgia, US",1335,1338,0.22
"Stephens, Georgia, US",1332,1335,0.23
"Appling, Georgia, US",1285,1286,0.08
"Murray, Georgia, US",1231,1240,0.73
"Oconee, Georgia, US",1200,1201,0.08
"Sumter, Georgia, US",1164,1164,0.00
"Pierce, Georgia, US",1146,1147,0.09
"Gilmer, Georgia, US",1132,1134,0.18
"Burke, Georgia, US",1116,1119,0.27
"Lumpkin, Georgia, US",1104,1108,0.36
"Chattooga, Georgia, US",1097,1099,0.18
"White, Georgia, US",1067,1071,0.37
"Franklin, Georgia, US",1051,1056,0.48
"Tattnall, Georgia, US",1029,1030,0.10
"Dodge, Georgia, US",987,987,0.00
"Dawson, Georgia, US",978,979,0.10
"Haralson, Georgia, US",968,999,3.20
"Ben Hill, Georgia, US",955,955,0.00
"Madison, Georgia, US",953,963,1.05
