Location,4/1/20,4/2/20,delta
"Blaine, Idaho, US",228,256,12.28
"Ada, Idaho, US",195,312,60.00
"Canyon, Idaho, US",53,68,28.30
"Kootenai, Idaho, US",30,31,3.33
"Nez Perce, Idaho, US",9,14,55.56
"Twin Falls, Idaho, US",7,31,342.86
"Gem, Idaho, US",5,4,-20.00
"Bannock, Idaho, US",4,4,0.00
"Madison, Idaho, US",4,4,0.00
"Elmore, Idaho, US",3,3,0.00
"Jefferson, Idaho, US",3,3,0.00
"Lincoln, Idaho, US",3,5,66.67
"Bingham, Idaho, US",2,2,0.00
"Bonneville, Idaho, US",2,2,0.00
"Custer, Idaho, US",2,2,0.00
"Idaho, Idaho, US",2,2,0.00
"Jerome, Idaho, US",2,7,250.00
"Teton, Idaho, US",2,3,50.00
"Valley, Idaho, US",2,2,0.00
"Bonner, Idaho, US",1,1,0.00
"Camas, Idaho, US",1,1,0.00
"Cassia, Idaho, US",1,1,0.00
"Fremont, Idaho, US",1,1,0.00
"Latah, Idaho, US",1,1,0.00
"Minidoka, Idaho, US",1,1,0.00
"Owyhee, Idaho, US",1,1,0.00
"Payette, Idaho, US",1,3,200.00
"Adams, Idaho, US",0,1,0.00
"Bear Lake, Idaho, US",0,0,0.00
"Benewah, Idaho, US",0,0,0.00
"Boise, Idaho, US",0,0,0.00
"Boundary, Idaho, US",0,0,0.00
"Butte, Idaho, US",0,0,0.00
"Caribou, Idaho, US",0,0,0.00
"Clark, Idaho, US",0,0,0.00
"Clearwater, Idaho, US",0,0,0.00
"Franklin, Idaho, US",0,0,0.00
"Gooding, Idaho, US",0,1,0.00
"Lemhi, Idaho, US",0,0,0.00
"Lewis, Idaho, US",0,0,0.00
"Oneida, Idaho, US",0,0,0.00
"Out of ID, Idaho, US",0,0,0.00
"Power, Idaho, US",0,0,0.00
"Shoshone, Idaho, US",0,0,0.00
"Washington, Idaho, US",0,0,0.00
