Location,9/8/20,9/9/20,delta
"Ada, Idaho, US",11411,11750,2.97
"Canyon, Idaho, US",7332,7575,3.31
"Kootenai, Idaho, US",2237,2302,2.91
"Bonneville, Idaho, US",1884,2025,7.48
"Twin Falls, Idaho, US",1734,1818,4.84
"Payette, Idaho, US",713,750,5.19
"Bannock, Idaho, US",642,709,10.44
"Jerome, Idaho, US",617,661,7.13
"Blaine, Idaho, US",606,608,0.33
"Cassia, Idaho, US",586,592,1.02
"Minidoka, Idaho, US",564,564,0.00
"Bingham, Idaho, US",458,549,19.87
"Jefferson, Idaho, US",370,382,3.24
"Nez Perce, Idaho, US",317,350,10.41
"Owyhee, Idaho, US",306,316,3.27
"Elmore, Idaho, US",293,303,3.41
"Washington, Idaho, US",293,311,6.14
"Madison, Idaho, US",260,300,15.38
"Latah, Idaho, US",250,265,6.00
"Gooding, Idaho, US",240,245,2.08
"Gem, Idaho, US",229,244,6.55
"Bonner, Idaho, US",221,234,5.88
"Shoshone, Idaho, US",198,206,4.04
"Power, Idaho, US",131,146,11.45
"Teton, Idaho, US",128,135,5.47
"Benewah, Idaho, US",119,123,3.36
"Fremont, Idaho, US",118,129,9.32
"Valley, Idaho, US",85,86,1.18
"Lemhi, Idaho, US",70,71,1.43
"Lincoln, Idaho, US",70,74,5.71
"Boise, Idaho, US",63,62,-1.59
"Franklin, Idaho, US",58,61,5.17
"Boundary, Idaho, US",44,45,2.27
"Idaho, Idaho, US",44,50,13.64
"Custer, Idaho, US",42,44,4.76
"Caribou, Idaho, US",41,46,12.20
"Bear Lake, Idaho, US",31,31,0.00
"Adams, Idaho, US",25,26,4.00
"Clearwater, Idaho, US",22,27,22.73
"Oneida, Idaho, US",22,22,0.00
"Clark, Idaho, US",21,23,9.52
"Butte, Idaho, US",16,24,50.00
"Lewis, Idaho, US",9,11,22.22
"Camas, Idaho, US",4,4,0.00
"Out of ID, Idaho, US",0,0,0.00
