Location,4/14/20,4/15/20,delta
"Ada, Idaho, US",538,538,0.00
"Blaine, Idaho, US",458,458,0.00
"Canyon, Idaho, US",161,167,3.73
"Twin Falls, Idaho, US",79,79,0.00
"Kootenai, Idaho, US",45,45,0.00
"Jerome, Idaho, US",30,30,0.00
"Nez Perce, Idaho, US",20,20,0.00
"Elmore, Idaho, US",16,18,12.50
"Lincoln, Idaho, US",15,15,0.00
"Bonneville, Idaho, US",14,16,14.29
"Cassia, Idaho, US",10,10,0.00
"Gem, Idaho, US",9,9,0.00
"Payette, Idaho, US",9,9,0.00
"Minidoka, Idaho, US",6,6,0.00
"Teton, Idaho, US",6,6,0.00
"Bannock, Idaho, US",5,5,0.00
"Gooding, Idaho, US",5,5,0.00
"Madison, Idaho, US",5,5,0.00
"Bonner, Idaho, US",4,4,0.00
"Jefferson, Idaho, US",4,4,0.00
"Owyhee, Idaho, US",4,4,0.00
"Idaho, Idaho, US",3,3,0.00
"Latah, Idaho, US",3,3,0.00
"Bingham, Idaho, US",2,2,0.00
"Custer, Idaho, US",2,2,0.00
"Fremont, Idaho, US",2,2,0.00
"Power, Idaho, US",2,2,0.00
"Valley, Idaho, US",2,2,0.00
"Adams, Idaho, US",1,1,0.00
"Boundary, Idaho, US",1,0,-100.00
"Camas, Idaho, US",1,1,0.00
"Caribou, Idaho, US",1,1,0.00
"Washington, Idaho, US",1,1,0.00
"Bear Lake, Idaho, US",0,0,0.00
"Benewah, Idaho, US",0,0,0.00
"Boise, Idaho, US",0,0,0.00
"Butte, Idaho, US",0,0,0.00
"Clark, Idaho, US",0,0,0.00
"Clearwater, Idaho, US",0,0,0.00
"Franklin, Idaho, US",0,0,0.00
"Lemhi, Idaho, US",0,0,0.00
"Lewis, Idaho, US",0,0,0.00
"Oneida, Idaho, US",0,0,0.00
"Out of ID, Idaho, US",0,0,0.00
"Shoshone, Idaho, US",0,0,0.00
