Location,6/1/20,6/2/20,delta
"Ada, Idaho, US",812,818,0.74
"Blaine, Idaho, US",512,512,0.00
"Twin Falls, Idaho, US",419,428,2.15
"Canyon, Idaho, US",303,310,2.31
"Jerome, Idaho, US",169,175,3.55
"Nez Perce, Idaho, US",82,82,0.00
"Kootenai, Idaho, US",68,73,7.35
"Cassia, Idaho, US",63,85,34.92
"Minidoka, Idaho, US",50,58,16.00
"Bonneville, Idaho, US",47,51,8.51
"Gooding, Idaho, US",47,49,4.26
"Washington, Idaho, US",38,43,13.16
"Lincoln, Idaho, US",33,33,0.00
"Elmore, Idaho, US",31,31,0.00
"Bannock, Idaho, US",28,34,21.43
"Payette, Idaho, US",23,23,0.00
"Madison, Idaho, US",21,21,0.00
"Gem, Idaho, US",17,17,0.00
"Teton, Idaho, US",11,11,0.00
"Benewah, Idaho, US",8,12,50.00
"Owyhee, Idaho, US",8,8,0.00
"Jefferson, Idaho, US",7,7,0.00
"Latah, Idaho, US",7,7,0.00
"Bingham, Idaho, US",6,8,33.33
"Bonner, Idaho, US",6,6,0.00
"Power, Idaho, US",5,6,20.00
"Adams, Idaho, US",3,3,0.00
"Fremont, Idaho, US",3,3,0.00
"Idaho, Idaho, US",3,3,0.00
"Custer, Idaho, US",2,2,0.00
"Franklin, Idaho, US",2,9,350.00
"Valley, Idaho, US",2,2,0.00
"Camas, Idaho, US",1,1,0.00
"Caribou, Idaho, US",1,1,0.00
"Lemhi, Idaho, US",1,1,0.00
"Bear Lake, Idaho, US",0,0,0.00
"Boise, Idaho, US",0,0,0.00
"Boundary, Idaho, US",0,0,0.00
"Butte, Idaho, US",0,0,0.00
"Clark, Idaho, US",0,0,0.00
"Clearwater, Idaho, US",0,0,0.00
"Lewis, Idaho, US",0,0,0.00
"Oneida, Idaho, US",0,0,0.00
"Out of ID, Idaho, US",0,0,0.00
"Shoshone, Idaho, US",0,0,0.00
