Location,3/20/20,3/21/20,delta
"Blaine, Idaho, US",19,21,10.53
"Ada, Idaho, US",8,11,37.50
"Kootenai, Idaho, US",3,3,0.00
"Bingham, Idaho, US",1,2,100.00
"Canyon, Idaho, US",1,1,0.00
"Fremont, Idaho, US",1,0,-100.00
"Madison, Idaho, US",1,1,0.00
"Teton, Idaho, US",1,2,100.00
"Twin Falls, Idaho, US",1,1,0.00
"Adams, Idaho, US",0,0,0.00
"Bannock, Idaho, US",0,0,0.00
"Bear Lake, Idaho, US",0,0,0.00
"Benewah, Idaho, US",0,0,0.00
"Boise, Idaho, US",0,0,0.00
"Bonner, Idaho, US",0,0,0.00
"Bonneville, Idaho, US",0,0,0.00
"Boundary, Idaho, US",0,0,0.00
"Butte, Idaho, US",0,0,0.00
"Camas, Idaho, US",0,0,0.00
"Caribou, Idaho, US",0,0,0.00
"Cassia, Idaho, US",0,0,0.00
"Clark, Idaho, US",0,0,0.00
"Clearwater, Idaho, US",0,0,0.00
"Custer, Idaho, US",0,0,0.00
"Elmore, Idaho, US",0,0,0.00
"Franklin, Idaho, US",0,0,0.00
"Gem, Idaho, US",0,0,0.00
"Gooding, Idaho, US",0,0,0.00
"Idaho, Idaho, US",0,0,0.00
"Jefferson, Idaho, US",0,0,0.00
"Jerome, Idaho, US",0,0,0.00
"Latah, Idaho, US",0,0,0.00
"Lemhi, Idaho, US",0,0,0.00
"Lewis, Idaho, US",0,0,0.00
"Lincoln, Idaho, US",0,0,0.00
"Minidoka, Idaho, US",0,0,0.00
"Nez Perce, Idaho, US",0,0,0.00
"Oneida, Idaho, US",0,0,0.00
"Out of ID, Idaho, US",0,0,0.00
"Owyhee, Idaho, US",0,0,0.00
"Payette, Idaho, US",0,0,0.00
"Power, Idaho, US",0,0,0.00
"Shoshone, Idaho, US",0,0,0.00
"Valley, Idaho, US",0,0,0.00
"Washington, Idaho, US",0,0,0.00
