Location,4/8/20,4/9/20,delta
"Cook, Illinois, US",10520,11415,8.51
"Lake, Illinois, US",1041,1124,7.97
"Will, Illinois, US",914,1010,10.50
"DuPage, Illinois, US",875,943,7.77
"Kane, Illinois, US",296,318,7.43
"McHenry, Illinois, US",180,198,10.00
"Kankakee, Illinois, US",145,156,7.59
"St. Clair, Illinois, US",127,144,13.39
"Madison, Illinois, US",82,89,8.54
"Kendall, Illinois, US",79,86,8.86
"Champaign, Illinois, US",69,72,4.35
"Rock Island, Illinois, US",67,73,8.96
"McLean, Illinois, US",65,69,6.15
"Winnebago, Illinois, US",63,66,4.76
"Sangamon, Illinois, US",33,39,18.18
"DeKalb, Illinois, US",32,32,0.00
"Randolph, Illinois, US",31,34,9.68
"Christian, Illinois, US",23,23,0.00
"Jackson, Illinois, US",22,26,18.18
"Whiteside, Illinois, US",21,23,9.52
"Monroe, Illinois, US",20,35,75.00
"LaSalle,Illinois,US",17,17,0.00
"Tazewell, Illinois, US",17,17,0.00
"Henry, Illinois, US",16,18,12.50
"Peoria, Illinois, US",16,15,-6.25
"Clinton, Illinois, US",13,31,138.46
"Macon, Illinois, US",13,15,15.38
"Grundy, Illinois, US",12,13,8.33
"Ogle, Illinois, US",12,14,16.67
"Douglas, Illinois, US",10,11,10.00
"Livingston, Illinois, US",10,14,40.00
"Macoupin, Illinois, US",10,12,20.00
"Williamson, Illinois, US",9,10,11.11
"Jo Daviess, Illinois, US",8,9,12.50
"Morgan, Illinois, US",8,10,25.00
"Boone, Illinois, US",7,7,0.00
"Iroquois, Illinois, US",7,7,0.00
"Woodford, Illinois, US",7,7,0.00
"Lee, Illinois, US",6,9,50.00
"Stephenson, Illinois, US",6,7,16.67
"Carroll, Illinois, US",5,5,0.00
"Jersey, Illinois, US",5,5,0.00
"Vermilion, Illinois, US",5,5,0.00
"Bureau, Illinois, US",4,4,0.00
"Crawford, Illinois, US",4,4,0.00
"Fayette, Illinois, US",4,7,75.00
"Marion, Illinois, US",4,10,150.00
"Montgomery, Illinois, US",4,6,50.00
"Piatt, Illinois, US",4,5,25.00
"Bond, Illinois, US",3,4,33.33
"Clark, Illinois, US",3,3,0.00
"Ford, Illinois, US",3,3,0.00
"Jasper, Illinois, US",3,3,0.00
"Jefferson, Illinois, US",3,2,-33.33
"Logan, Illinois, US",3,2,-33.33
"Mason, Illinois, US",3,3,0.00
"Shelby, Illinois, US",3,3,0.00
"Coles, Illinois, US",2,2,0.00
"De Witt, Illinois, US",2,1,-50.00
"Effingham, Illinois, US",2,3,50.00
"Franklin, Illinois, US",2,2,0.00
"Lawrence, Illinois, US",2,2,0.00
"Massac, Illinois, US",2,2,0.00
"Menard, Illinois, US",2,2,0.00
"Mercer, Illinois, US",2,2,0.00
"Moultrie, Illinois, US",2,2,0.00
"Saline, Illinois, US",2,3,50.00
"Washington, Illinois, US",2,2,0.00
"Adams, Illinois, US",1,22,2100.00
"Calhoun, Illinois, US",1,1,0.00
"Cumberland, Illinois, US",1,2,100.00
"Gallatin, Illinois, US",1,1,0.00
"Hancock, Illinois, US",1,1,0.00
"Knox, Illinois, US",1,1,0.00
"Marshall, Illinois, US",1,1,0.00
"Pike, Illinois, US",1,1,0.00
"Richland, Illinois, US",1,1,0.00
"Stark, Illinois, US",1,1,0.00
"Wabash, Illinois, US",1,2,100.00
"Alexander, Illinois, US",0,0,0.00
"Brown, Illinois, US",0,0,0.00
"Cass, Illinois, US",0,0,0.00
"Clay, Illinois, US",0,0,0.00
"Edgar, Illinois, US",0,0,0.00
"Edwards, Illinois, US",0,0,0.00
"Fulton, Illinois, US",0,0,0.00
"Greene, Illinois, US",0,0,0.00
"Hamilton, Illinois, US",0,0,0.00
"Hardin, Illinois, US",0,0,0.00
"Henderson, Illinois, US",0,0,0.00
"Johnson, Illinois, US",0,0,0.00
"McDonough, Illinois, US",0,0,0.00
"Out of IL, Illinois, US",0,0,0.00
"Perry, Illinois, US",0,0,0.00
"Pope, Illinois, US",0,0,0.00
"Pulaski, Illinois, US",0,4,0.00
"Putnam, Illinois, US",0,0,0.00
"Schuyler, Illinois, US",0,1,0.00
"Scott, Illinois, US",0,0,0.00
"Union, Illinois, US",0,0,0.00
"Warren, Illinois, US",0,0,0.00
"Wayne, Illinois, US",0,0,0.00
"White, Illinois, US",0,0,0.00
