Location,11/5/20,11/6/20,delta
"Cook, Illinois, US",204977,210266,2.58
"DuPage, Illinois, US",27584,28834,4.53
"Lake, Illinois, US",24105,25124,4.23
"Will, Illinois, US",22323,23279,4.28
"Kane, Illinois, US",20127,21195,5.31
"Winnebago, Illinois, US",12589,13015,3.38
"St. Clair, Illinois, US",8702,8918,2.48
"Madison, Illinois, US",8252,8763,6.19
"McHenry, Illinois, US",7977,8532,6.96
"Champaign, Illinois, US",7308,7572,3.61
"Peoria, Illinois, US",5428,5598,3.13
"Sangamon, Illinois, US",5234,5511,5.29
"Rock Island, Illinois, US",4935,5212,5.61
"McLean, Illinois, US",4778,5205,8.94
"Kankakee, Illinois, US",4294,4552,6.01
"Macon, Illinois, US",4001,4210,5.22
"Kendall, Illinois, US",3428,3619,5.57
"Tazewell, Illinois, US",3321,3479,4.76
"LaSalle,Illinois,US",3136,3356,7.02
"DeKalb, Illinois, US",3027,3153,4.16
"Adams, Illinois, US",2534,2640,4.18
"Boone, Illinois, US",2349,2442,3.96
"Coles, Illinois, US",2317,2386,2.98
"Williamson, Illinois, US",2226,2295,3.10
"Vermilion, Illinois, US",2128,2208,3.76
"Whiteside, Illinois, US",2051,2112,2.97
"Clinton, Illinois, US",2031,2100,3.40
"Jackson, Illinois, US",1741,1780,2.24
"Ogle, Illinois, US",1646,1718,4.37
"Knox, Illinois, US",1612,1682,4.34
"Randolph, Illinois, US",1469,1499,2.04
"Effingham, Illinois, US",1459,1593,9.18
"Stephenson, Illinois, US",1443,1504,4.23
"Grundy, Illinois, US",1322,1405,6.28
"Marion, Illinois, US",1288,1331,3.34
"Franklin, Illinois, US",1193,1231,3.19
"Monroe, Illinois, US",1141,1180,3.42
"Morgan, Illinois, US",1132,1201,6.10
"Bureau, Illinois, US",1118,1184,5.90
"Jefferson, Illinois, US",1092,1150,5.31
"Christian, Illinois, US",1050,1083,3.14
"Lee, Illinois, US",1018,1056,3.73
"Henry, Illinois, US",957,1230,28.53
"Macoupin, Illinois, US",951,1021,7.36
"Douglas, Illinois, US",920,947,2.93
"McDonough, Illinois, US",895,962,7.49
"Woodford, Illinois, US",873,903,3.44
"Livingston, Illinois, US",867,964,11.19
"Union, Illinois, US",847,858,1.30
"Shelby, Illinois, US",822,868,5.60
"Fayette, Illinois, US",804,906,12.69
"Logan, Illinois, US",759,805,6.06
"Fulton, Illinois, US",744,788,5.91
"Montgomery, Illinois, US",740,752,1.62
"Crawford, Illinois, US",700,730,4.29
"Saline, Illinois, US",693,722,4.18
"Iroquois, Illinois, US",654,780,19.27
"Warren, Illinois, US",627,653,4.15
"Jo Daviess, Illinois, US",624,649,4.01
"Carroll, Illinois, US",620,641,3.39
"Bond, Illinois, US",586,627,7.00
"Wayne, Illinois, US",572,622,8.74
"Perry, Illinois, US",558,585,4.84
"Moultrie, Illinois, US",545,565,3.67
"Pike, Illinois, US",535,584,9.16
"Jersey, Illinois, US",533,707,32.65
"Cass, Illinois, US",484,533,10.12
"Hancock, Illinois, US",425,482,13.41
"Johnson, Illinois, US",425,454,6.82
"Lawrence, Illinois, US",403,418,3.72
"Mercer, Illinois, US",401,419,4.49
"Washington, Illinois, US",379,396,4.49
"Mason, Illinois, US",377,389,3.18
"Clay, Illinois, US",376,399,6.12
"Greene, Illinois, US",371,457,23.18
"Richland, Illinois, US",370,399,7.84
"Clark, Illinois, US",355,466,31.27
"Cumberland, Illinois, US",345,398,15.36
"Piatt, Illinois, US",329,379,15.20
"De Witt, Illinois, US",327,398,21.71
"White, Illinois, US",316,333,5.38
"Jasper, Illinois, US",310,408,31.61
"Wabash, Illinois, US",279,307,10.04
"Pulaski, Illinois, US",259,269,3.86
"Ford, Illinois, US",237,359,51.48
"Menard, Illinois, US",204,209,2.45
"Edgar, Illinois, US",197,464,135.53
"Massac, Illinois, US",192,204,6.25
"Marshall, Illinois, US",187,198,5.88
"Alexander, Illinois, US",160,170,6.25
"Hamilton, Illinois, US",159,174,9.43
"Henderson, Illinois, US",158,162,2.53
"Brown, Illinois, US",149,161,8.05
"Gallatin, Illinois, US",129,132,2.33
"Edwards, Illinois, US",124,129,4.03
"Scott, Illinois, US",123,126,2.44
"Putnam, Illinois, US",121,124,2.48
"Schuyler, Illinois, US",112,119,6.25
"Stark, Illinois, US",108,127,17.59
"Calhoun, Illinois, US",94,114,21.28
"Hardin, Illinois, US",63,66,4.76
"Pope, Illinois, US",49,50,2.04
"Out of IL, Illinois, US",2,1,-50.00
