Location,3/21/21,3/22/21,delta
"Cook, Illinois, US",488249,488793,0.11
"DuPage, Illinois, US",79994,80121,0.16
"Will, Illinois, US",67282,67374,0.14
"Lake, Illinois, US",61355,61407,0.08
"Kane, Illinois, US",52030,52067,0.07
"Winnebago, Illinois, US",28840,28857,0.06
"Madison, Illinois, US",28787,28819,0.11
"St. Clair, Illinois, US",26313,26341,0.11
"McHenry, Illinois, US",25160,25187,0.11
"Champaign, Illinois, US",18662,18682,0.11
"Peoria, Illinois, US",17596,17646,0.28
"Sangamon, Illinois, US",16622,16639,0.10
"McLean, Illinois, US",15136,15148,0.08
"Tazewell, Illinois, US",14028,14046,0.13
"Rock Island, Illinois, US",13432,13438,0.04
"Kankakee, Illinois, US",12833,12837,0.03
"Kendall, Illinois, US",11452,11462,0.09
"LaSalle,Illinois,US",11135,11140,0.04
"Macon, Illinois, US",9754,9762,0.08
"Vermilion, Illinois, US",8800,8805,0.06
"DeKalb, Illinois, US",8511,8518,0.08
"Adams, Illinois, US",8059,8059,0.00
"Williamson, Illinois, US",6990,6991,0.01
"Whiteside, Illinois, US",6113,6115,0.03
"Boone, Illinois, US",6035,6039,0.07
"Clinton, Illinois, US",5646,5647,0.02
"Coles, Illinois, US",5365,5369,0.07
"Grundy, Illinois, US",5345,5346,0.02
"Ogle, Illinois, US",5258,5260,0.04
"Knox, Illinois, US",5069,5072,0.06
"Jackson, Illinois, US",4669,4671,0.04
"Effingham, Illinois, US",4531,4530,-0.02
"Macoupin, Illinois, US",4459,4460,0.02
"Henry, Illinois, US",4419,4423,0.09
"Livingston, Illinois, US",4349,4352,0.07
"Marion, Illinois, US",4326,4326,0.00
"Franklin, Illinois, US",4221,4224,0.07
"Stephenson, Illinois, US",4212,4212,0.00
"Monroe, Illinois, US",4155,4155,0.00
"Jefferson, Illinois, US",4038,4042,0.10
"Randolph, Illinois, US",4009,4009,0.00
"Woodford, Illinois, US",3841,3854,0.34
"Morgan, Illinois, US",3664,3665,0.03
"Montgomery, Illinois, US",3577,3576,-0.03
"Lee, Illinois, US",3562,3569,0.20
"Bureau, Illinois, US",3391,3393,0.06
"Logan, Illinois, US",3380,3387,0.21
"Christian, Illinois, US",3377,3380,0.09
"Fulton, Illinois, US",3104,3109,0.16
"Perry, Illinois, US",3100,3100,0.00
"Fayette, Illinois, US",3078,3078,0.00
"Iroquois, Illinois, US",2815,2818,0.11
"Jersey, Illinois, US",2525,2528,0.12
"Douglas, Illinois, US",2511,2511,0.00
"Saline, Illinois, US",2389,2389,0.00
"McDonough, Illinois, US",2378,2379,0.04
"Lawrence, Illinois, US",2354,2354,0.00
"Union, Illinois, US",2220,2220,0.00
"Shelby, Illinois, US",2195,2195,0.00
"Crawford, Illinois, US",2029,2029,0.00
"Bond, Illinois, US",1924,1924,0.00
"Cass, Illinois, US",1902,1903,0.05
"Pike, Illinois, US",1723,1723,0.00
"Clark, Illinois, US",1707,1710,0.18
"Wayne, Illinois, US",1698,1698,0.00
"Hancock, Illinois, US",1686,1686,0.00
"Warren, Illinois, US",1671,1671,0.00
"Richland, Illinois, US",1653,1654,0.06
"White, Illinois, US",1645,1645,0.00
"Jo Daviess, Illinois, US",1636,1639,0.18
"Ford, Illinois, US",1629,1629,0.00
"Edgar, Illinois, US",1615,1617,0.12
"Carroll, Illinois, US",1606,1607,0.06
"Washington, Illinois, US",1602,1603,0.06
"Moultrie, Illinois, US",1521,1521,0.00
"Clay, Illinois, US",1450,1450,0.00
"Greene, Illinois, US",1395,1397,0.14
"Piatt, Illinois, US",1378,1379,0.07
"Johnson, Illinois, US",1364,1364,0.00
"Wabash, Illinois, US",1315,1315,0.00
"Mason, Illinois, US",1311,1312,0.08
"Massac, Illinois, US",1303,1303,0.00
"De Witt, Illinois, US",1302,1302,0.00
"Mercer, Illinois, US",1301,1302,0.08
"Cumberland, Illinois, US",1243,1245,0.16
"Jasper, Illinois, US",1119,1119,0.00
"Menard, Illinois, US",1090,1092,0.18
"Marshall, Illinois, US",889,891,0.22
"Hamilton, Illinois, US",796,796,0.00
"Schuyler, Illinois, US",685,685,0.00
"Brown, Illinois, US",677,677,0.00
"Pulaski, Illinois, US",674,674,0.00
"Stark, Illinois, US",552,553,0.18
"Edwards, Illinois, US",537,537,0.00
"Henderson, Illinois, US",512,513,0.20
"Calhoun, Illinois, US",497,497,0.00
"Alexander, Illinois, US",453,453,0.00
"Scott, Illinois, US",452,453,0.22
"Gallatin, Illinois, US",448,448,0.00
"Putnam, Illinois, US",430,430,0.00
"Hardin, Illinois, US",357,357,0.00
"Pope, Illinois, US",293,293,0.00
"Out of IL, Illinois, US",5,0,-100.00
