Location,3/26/20,3/27/20,delta
"Marion, Indiana, US",293,484,65.19
"Hamilton, Indiana, US",40,52,30.00
"Johnson, Indiana, US",36,42,16.67
"Lake, Indiana, US",31,47,51.61
"Hendricks, Indiana, US",21,28,33.33
"St. Joseph, Indiana, US",21,27,28.57
"Decatur, Indiana, US",13,26,100.00
"Franklin, Indiana, US",13,21,61.54
"Ripley, Indiana, US",11,14,27.27
"Clark, Indiana, US",10,12,20.00
"Hancock, Indiana, US",9,13,44.44
"Allen, Indiana, US",8,21,162.50
"Boone, Indiana, US",7,7,0.00
"Delaware, Indiana, US",7,8,14.29
"Elkhart, Indiana, US",7,9,28.57
"Floyd, Indiana, US",7,11,57.14
"Morgan, Indiana, US",7,10,42.86
"Tippecanoe, Indiana, US",7,8,14.29
"Bartholomew, Indiana, US",6,6,0.00
"Howard, Indiana, US",6,7,16.67
"Monroe, Indiana, US",6,8,33.33
"Porter, Indiana, US",5,6,20.00
"Jennings, Indiana, US",4,5,25.00
"Madison, Indiana, US",4,7,75.00
"Owen, Indiana, US",4,5,25.00
"Vanderburgh, Indiana, US",4,6,50.00
"Dearborn, Indiana, US",3,4,33.33
"Fayette, Indiana, US",3,3,0.00
"Gibson, Indiana, US",3,3,0.00
"Grant, Indiana, US",3,5,66.67
"Jasper, Indiana, US",3,4,33.33
"Vigo, Indiana, US",3,3,0.00
"Warrick, Indiana, US",3,3,0.00
"Washington, Indiana, US",3,4,33.33
"Harrison, Indiana, US",2,4,100.00
"Jackson, Indiana, US",2,4,100.00
"LaPorte, Indiana, US",2,2,0.00
"Lawrence, Indiana, US",2,5,150.00
"Montgomery, Indiana, US",2,3,50.00
"Putnam, Indiana, US",2,2,0.00
"Shelby, Indiana, US",2,6,200.00
"Tipton, Indiana, US",2,2,0.00
"Adams, Indiana, US",1,1,0.00
"Brown, Indiana, US",1,2,100.00
"DeKalb, Indiana, US",1,1,0.00
"Dubois, Indiana, US",1,1,0.00
"Fountain, Indiana, US",1,1,0.00
"Marshall, Indiana, US",1,4,300.00
"Miami, Indiana, US",1,1,0.00
"Noble, Indiana, US",1,1,0.00
"Ohio, Indiana, US",1,1,0.00
"Orange, Indiana, US",1,1,0.00
"Posey, Indiana, US",1,1,0.00
"Rush, Indiana, US",1,3,200.00
"Scott, Indiana, US",1,1,0.00
"Starke, Indiana, US",1,1,0.00
"Sullivan, Indiana, US",1,1,0.00
"Warren, Indiana, US",1,1,0.00
"Wayne, Indiana, US",1,1,0.00
"Wells, Indiana, US",1,1,0.00
"Benton, Indiana, US",0,0,0.00
"Blackford, Indiana, US",0,0,0.00
"Carroll,Indiana,US",0,0,0.00
"Cass, Indiana, US",0,0,0.00
"Clay, Indiana, US",0,0,0.00
"Clinton, Indiana, US",0,1,0.00
"Crawford, Indiana, US",0,0,0.00
"Daviess, Indiana, US",0,0,0.00
"Fulton, Indiana, US",0,1,0.00
"Greene, Indiana, US",0,0,0.00
"Henry, Indiana, US",0,1,0.00
"Huntington, Indiana, US",0,1,0.00
"Jay, Indiana, US",0,0,0.00
"Jefferson, Indiana, US",0,0,0.00
"Knox, Indiana, US",0,0,0.00
"Kosciusko, Indiana, US",0,1,0.00
"LaGrange, Indiana, US",0,2,0.00
"Martin, Indiana, US",0,0,0.00
"Newton, Indiana, US",0,0,0.00
"Out of IN, Indiana, US",0,0,0.00
"Parke, Indiana, US",0,0,0.00
"Perry, Indiana, US",0,0,0.00
"Pike, Indiana, US",0,0,0.00
"Pulaski, Indiana, US",0,0,0.00
"Randolph, Indiana, US",0,0,0.00
"Spencer, Indiana, US",0,0,0.00
"Steuben, Indiana, US",0,0,0.00
"Switzerland, Indiana, US",0,0,0.00
"Union, Indiana, US",0,0,0.00
"Vermillion, Indiana, US",0,0,0.00
"Wabash, Indiana, US",0,1,0.00
"White, Indiana, US",0,0,0.00
"Whitley, Indiana, US",0,0,0.00
