Location,4/3/20,4/4/20,delta
"Marion, Indiana, US",1429,1570,9.87
"Lake, Indiana, US",244,313,28.28
"Hamilton, Indiana, US",220,265,20.45
"Hendricks, Indiana, US",138,163,18.12
"Johnson, Indiana, US",136,153,12.50
"St. Joseph, Indiana, US",72,89,23.61
"Decatur, Indiana, US",70,79,12.86
"Madison, Indiana, US",67,72,7.46
"Allen, Indiana, US",58,59,1.72
"Clark, Indiana, US",55,61,10.91
"Morgan, Indiana, US",52,60,15.38
"Franklin, Indiana, US",48,50,4.17
"Ripley, Indiana, US",47,51,8.51
"Porter, Indiana, US",45,51,13.33
"Hancock, Indiana, US",41,57,39.02
"Monroe, Indiana, US",40,45,12.50
"Boone, Indiana, US",38,50,31.58
"Floyd, Indiana, US",37,41,10.81
"Vanderburgh, Indiana, US",33,35,6.06
"Jennings, Indiana, US",31,35,12.90
"Delaware, Indiana, US",30,33,10.00
"Elkhart, Indiana, US",29,31,6.90
"Shelby, Indiana, US",26,32,23.08
"Tippecanoe, Indiana, US",26,28,7.69
"Dearborn, Indiana, US",25,30,20.00
"Howard, Indiana, US",25,27,8.00
"Jackson, Indiana, US",25,28,12.00
"Bartholomew, Indiana, US",23,45,95.65
"Harrison, Indiana, US",23,28,21.74
"Lawrence, Indiana, US",22,36,63.64
"LaPorte, Indiana, US",17,19,11.76
"Washington, Indiana, US",14,16,14.29
"Fayette, Indiana, US",13,14,7.69
"Jasper, Indiana, US",13,15,15.38
"Owen, Indiana, US",13,13,0.00
"Putnam, Indiana, US",13,14,7.69
"Grant, Indiana, US",12,15,25.00
"Montgomery, Indiana, US",12,14,16.67
"Warrick, Indiana, US",10,12,20.00
"Greene, Indiana, US",9,9,0.00
"Vigo, Indiana, US",9,10,11.11
"Kosciusko, Indiana, US",8,11,37.50
"Rush, Indiana, US",8,10,25.00
"Henry, Indiana, US",7,8,14.29
"Scott, Indiana, US",6,7,16.67
"Switzerland, Indiana, US",6,7,16.67
"Wayne, Indiana, US",6,6,0.00
"Jefferson, Indiana, US",5,5,0.00
"Miami, Indiana, US",5,8,60.00
"Noble, Indiana, US",5,9,80.00
"Orange, Indiana, US",5,5,0.00
"Posey, Indiana, US",5,5,0.00
"Tipton, Indiana, US",5,6,20.00
"Gibson, Indiana, US",4,4,0.00
"Knox, Indiana, US",4,5,25.00
"LaGrange, Indiana, US",4,4,0.00
"Marshall, Indiana, US",4,4,0.00
"Randolph, Indiana, US",4,5,25.00
"Whitley, Indiana, US",4,5,25.00
"Brown, Indiana, US",3,4,33.33
"Clinton, Indiana, US",3,3,0.00
"Crawford, Indiana, US",3,5,66.67
"DeKalb, Indiana, US",3,3,0.00
"Dubois, Indiana, US",3,4,33.33
"Huntington, Indiana, US",3,5,66.67
"Sullivan, Indiana, US",3,3,0.00
"White, Indiana, US",3,3,0.00
"Carroll,Indiana,US",2,3,50.00
"Cass, Indiana, US",2,4,100.00
"Clay, Indiana, US",2,3,50.00
"Fountain, Indiana, US",2,2,0.00
"Jay, Indiana, US",2,2,0.00
"Starke, Indiana, US",2,2,0.00
"Steuben, Indiana, US",2,4,100.00
"Vermillion, Indiana, US",2,2,0.00
"Warren, Indiana, US",2,2,0.00
"Wells, Indiana, US",2,2,0.00
"Adams, Indiana, US",1,2,100.00
"Blackford, Indiana, US",1,2,100.00
"Fulton, Indiana, US",1,2,100.00
"Newton, Indiana, US",1,1,0.00
"Ohio, Indiana, US",1,1,0.00
"Parke, Indiana, US",1,2,100.00
"Spencer, Indiana, US",1,1,0.00
"Wabash, Indiana, US",1,1,0.00
"Benton, Indiana, US",0,0,0.00
"Daviess, Indiana, US",0,0,0.00
"Martin, Indiana, US",0,1,0.00
"Out of IN, Indiana, US",0,0,0.00
"Perry, Indiana, US",0,0,0.00
"Pike, Indiana, US",0,0,0.00
"Pulaski, Indiana, US",0,0,0.00
"Union, Indiana, US",0,2,0.00
