"Black Hawk, Iowa, US",1140,1195,4.82
"Polk, Iowa, US",985,1176,19.39
"Woodbury, Iowa, US",742,922,24.26
"Linn, Iowa, US",669,673,0.60
"Marshall, Iowa, US",467,500,7.07
"Johnson, Iowa, US",461,475,3.04
"Muscatine, Iowa, US",336,346,2.98
"Dallas, Iowa, US",318,408,28.30
"Louisa, Iowa, US",269,274,1.86
"Tama, Iowa, US",266,270,1.50
"Scott, Iowa, US",226,230,1.77
"Washington, Iowa, US",141,144,2.13
"Jasper, Iowa, US",130,155,19.23
"Dubuque, Iowa, US",102,109,6.86
"Allamakee, Iowa, US",89,90,1.12
"Poweshiek, Iowa, US",56,57,1.79
"Bremer, Iowa, US",51,51,0.00
"Clinton, Iowa, US",48,49,2.08
"Pottawattamie, Iowa, US",33,37,12.12
"Henry, Iowa, US",32,32,0.00
"Benton, Iowa, US",31,31,0.00
"Cedar, Iowa, US",29,30,3.45
"Story, Iowa, US",27,31,14.81
"Warren, Iowa, US",22,25,13.64
"Crawford, Iowa, US",21,24,14.29
"Jones, Iowa, US",21,22,4.76
"Fayette, Iowa, US",20,21,5.00
"Iowa, Iowa, US",19,20,5.26
"Buchanan, Iowa, US",17,18,5.88
"Des Moines, Iowa, US",16,16,0.00
"Harrison, Iowa, US",16,16,0.00
"Winneshiek, Iowa, US",15,17,13.33
"Cerro Gordo, Iowa, US",14,14,0.00
"Clayton, Iowa, US",14,17,21.43
"Lyon, Iowa, US",13,13,0.00
"Boone, Iowa, US",12,16,33.33
"Guthrie, Iowa, US",12,13,8.33
"Plymouth, Iowa, US",12,14,16.67
"Grundy, Iowa, US",11,11,0.00
"Howard, Iowa, US",10,10,0.00
"Mahaska, Iowa, US",10,14,40.00
"Wapello, Iowa, US",10,17,70.00
"Butler, Iowa, US",9,9,0.00
"Osceola, Iowa, US",9,10,11.11
"Shelby, Iowa, US",9,9,0.00
"Sioux, Iowa, US",9,11,22.22
"Delaware, Iowa, US",8,8,0.00
"Hardin, Iowa, US",8,9,12.50
"Lee, Iowa, US",8,9,12.50
"Marion, Iowa, US",8,10,25.00
"O'Brien, Iowa, US",8,9,12.50
"Van Buren, Iowa, US",8,8,0.00
"Hamilton, Iowa, US",7,7,0.00
"Monona, Iowa, US",7,9,28.57
"Dickinson, Iowa, US",6,6,0.00
"Jefferson, Iowa, US",6,6,0.00
"Page, Iowa, US",6,7,16.67
"Chickasaw, Iowa, US",5,5,0.00
"Greene, Iowa, US",5,7,40.00
"Jackson, Iowa, US",5,5,0.00
"Madison, Iowa, US",5,8,60.00
"Webster, Iowa, US",5,5,0.00
"Buena Vista, Iowa, US",4,6,50.00
"Clay, Iowa, US",4,4,0.00
"Humboldt, Iowa, US",4,4,0.00
"Hancock, Iowa, US",3,3,0.00
"Wright, Iowa, US",3,3,0.00
"Appanoose, Iowa, US",2,3,50.00
"Carroll, Iowa, US",2,2,0.00
"Cherokee, Iowa, US",2,2,0.00
"Clarke, Iowa, US",2,2,0.00
"Franklin, Iowa, US",2,3,50.00
"Keokuk, Iowa, US",2,3,50.00
"Kossuth, Iowa, US",2,2,0.00
"Mills, Iowa, US",2,2,0.00
"Mitchell, Iowa, US",2,3,50.00
"Winnebago, Iowa, US",2,2,0.00
"Adair, Iowa, US",1,1,0.00
"Audubon, Iowa, US",1,2,100.00
"Cass, Iowa, US",1,1,0.00
"Davis, Iowa, US",1,1,0.00
"Montgomery, Iowa, US",1,1,0.00
"Pocahontas, Iowa, US",1,3,200.00
"Taylor, Iowa, US",1,1,0.00
"Union, Iowa, US",1,1,0.00
"Worth, Iowa, US",1,1,0.00
"Adams, Iowa, US",0,0,0.00
"Calhoun, Iowa, US",0,1,0.00
"Decatur, Iowa, US",0,1,0.00
"Emmet, Iowa, US",0,0,0.00
"Floyd, Iowa, US",0,1,0.00
"Fremont, Iowa, US",0,0,0.00
"Ida, Iowa, US",0,0,0.00
"Lucas, Iowa, US",0,0,0.00
"Monroe, Iowa, US",0,0,0.00
"Out of IA, Iowa, US",0,0,0.00
"Palo Alto, Iowa, US",0,0,0.00
"Ringgold, Iowa, US",0,0,0.00
"Sac, Iowa, US",0,1,0.00
"Wayne, Iowa, US",0,1,0.00
