Location,11/8/20,11/9/20,delta
"Polk, Iowa, US",23562,24306,3.16
"Linn, Iowa, US",8816,9439,7.07
"Woodbury, Iowa, US",8399,8514,1.37
"Black Hawk, Iowa, US",7627,7846,2.87
"Johnson, Iowa, US",7051,7335,4.03
"Dubuque, Iowa, US",6842,6943,1.48
"Scott, Iowa, US",6585,6812,3.45
"Story, Iowa, US",4818,4941,2.55
"Dallas, Iowa, US",4414,4587,3.92
"Pottawattamie, Iowa, US",4084,4160,1.86
"Sioux, Iowa, US",2908,2963,1.89
"Marshall, Iowa, US",2588,2642,2.09
"Buena Vista, Iowa, US",2522,2542,0.79
"Webster, Iowa, US",2406,2522,4.82
"Plymouth, Iowa, US",2118,2138,0.94
"Clinton, Iowa, US",2038,2128,4.42
"Cerro Gordo, Iowa, US",2035,2149,5.60
"Des Moines, Iowa, US",2001,2016,0.75
"Muscatine, Iowa, US",1890,1952,3.28
"Wapello, Iowa, US",1858,1880,1.18
"Warren, Iowa, US",1708,1783,4.39
"Jasper, Iowa, US",1556,1607,3.28
"Crawford, Iowa, US",1500,1516,1.07
"Carroll, Iowa, US",1471,1517,3.13
"Marion, Iowa, US",1377,1417,2.90
"Jones, Iowa, US",1375,1458,6.04
"Lee, Iowa, US",1344,1373,2.16
"Henry, Iowa, US",1322,1345,1.74
"Tama, Iowa, US",1170,1196,2.22
"Bremer, Iowa, US",1102,1153,4.63
"Delaware, Iowa, US",1034,1054,1.93
"Jackson, Iowa, US",1003,1028,2.49
"Benton, Iowa, US",988,1073,8.60
"O'Brien, Iowa, US",952,982,3.15
"Dickinson, Iowa, US",950,972,2.32
"Boone, Iowa, US",927,941,1.51
"Mahaska, Iowa, US",923,955,3.47
"Wright, Iowa, US",917,932,1.64
"Washington, Iowa, US",864,912,5.56
"Harrison, Iowa, US",823,834,1.34
"Clay, Iowa, US",717,750,4.60
"Buchanan, Iowa, US",701,727,3.71
"Hardin, Iowa, US",687,720,4.80
"Clayton, Iowa, US",682,703,3.08
"Page, Iowa, US",682,690,1.17
"Cedar, Iowa, US",672,712,5.95
"Calhoun, Iowa, US",654,701,7.19
"Poweshiek, Iowa, US",651,696,6.91
"Lyon, Iowa, US",649,687,5.86
"Kossuth, Iowa, US",633,652,3.00
"Winneshiek, Iowa, US",633,640,1.11
"Louisa, Iowa, US",632,641,1.42
"Winnebago, Iowa, US",626,640,2.24
"Mills, Iowa, US",612,640,4.58
"Iowa, Iowa, US",599,633,5.68
"Fayette, Iowa, US",590,635,7.63
"Cass, Iowa, US",583,588,0.86
"Hamilton, Iowa, US",583,616,5.66
"Butler, Iowa, US",582,612,5.15
"Floyd, Iowa, US",582,604,3.78
"Sac, Iowa, US",537,571,6.33
"Hancock, Iowa, US",531,543,2.26
"Shelby, Iowa, US",529,535,1.13
"Cherokee, Iowa, US",527,547,3.80
"Emmet, Iowa, US",515,528,2.52
"Guthrie, Iowa, US",505,534,5.74
"Allamakee, Iowa, US",495,521,5.25
"Grundy, Iowa, US",482,508,5.39
"Chickasaw, Iowa, US",479,497,3.76
"Franklin, Iowa, US",470,491,4.47
"Humboldt, Iowa, US",468,506,8.12
"Madison, Iowa, US",460,482,4.78
"Mitchell, Iowa, US",422,448,6.16
"Appanoose, Iowa, US",415,452,8.92
"Palo Alto, Iowa, US",409,425,3.91
"Clarke, Iowa, US",398,402,1.01
"Union, Iowa, US",374,391,4.55
"Osceola, Iowa, US",356,371,4.21
"Jefferson, Iowa, US",354,366,3.39
"Pocahontas, Iowa, US",354,374,5.65
"Howard, Iowa, US",326,337,3.37
"Taylor, Iowa, US",322,330,2.48
"Monroe, Iowa, US",321,322,0.31
"Keokuk, Iowa, US",314,330,5.10
"Ida, Iowa, US",311,325,4.50
"Monona, Iowa, US",298,300,0.67
"Greene, Iowa, US",285,303,6.32
"Adair, Iowa, US",282,290,2.84
"Montgomery, Iowa, US",268,283,5.60
"Davis, Iowa, US",263,267,1.52
"Fremont, Iowa, US",255,258,1.18
"Lucas, Iowa, US",250,258,3.20
"Van Buren, Iowa, US",238,246,3.36
"Wayne, Iowa, US",230,232,0.87
"Audubon, Iowa, US",228,231,1.32
"Decatur, Iowa, US",218,228,4.59
"Worth, Iowa, US",207,211,1.93
"Ringgold, Iowa, US",124,127,2.42
"Adams, Iowa, US",104,105,0.96
"Out of IA, Iowa, US",0,0,0.00
