Location,11/15/20,11/16/20,delta
"Johnson, Kansas, US",20946,21981,4.94
"Sedgwick, Kansas, US",19504,21255,8.98
"Wyandotte, Kansas, US",9690,9964,2.83
"Shawnee, Kansas, US",5335,5792,8.57
"Ford, Kansas, US",4128,4225,2.35
"Finney, Kansas, US",3874,3972,2.53
"Douglas, Kansas, US",3724,3909,4.97
"Reno, Kansas, US",3441,3682,7.00
"Leavenworth, Kansas, US",3095,3208,3.65
"Riley, Kansas, US",2807,2987,6.41
"Seward, Kansas, US",2467,2467,0.00
"Butler, Kansas, US",2325,2535,9.03
"Crawford, Kansas, US",1882,1944,3.29
"Lyon, Kansas, US",1823,1977,8.45
"Ellis, Kansas, US",1820,1908,4.84
"Saline, Kansas, US",1603,1729,7.86
"Harvey, Kansas, US",1274,1373,7.77
"Barton, Kansas, US",1205,1285,6.64
"Cowley, Kansas, US",989,1104,11.63
"Norton, Kansas, US",944,977,3.50
"Cherokee, Kansas, US",928,931,0.32
"McPherson, Kansas, US",874,993,13.62
"Montgomery, Kansas, US",862,879,1.97
"Franklin, Kansas, US",824,887,7.65
"Miami, Kansas, US",747,786,5.22
"Atchison, Kansas, US",708,712,0.56
"Nemaha, Kansas, US",704,767,8.95
"Geary, Kansas, US",703,726,3.27
"Labette, Kansas, US",615,672,9.27
"Grant, Kansas, US",611,616,0.82
"Dickinson, Kansas, US",570,596,4.56
"Sumner, Kansas, US",536,600,11.94
"Pottawatomie, Kansas, US",534,574,7.49
"Thomas, Kansas, US",500,526,5.20
"Pawnee, Kansas, US",495,528,6.67
"Jackson, Kansas, US",487,515,5.75
"Neosho, Kansas, US",484,521,7.64
"Ellsworth, Kansas, US",478,502,5.02
"Jefferson, Kansas, US",476,525,10.29
"Brown, Kansas, US",450,506,12.44
"Cloud, Kansas, US",392,439,11.99
"Bourbon, Kansas, US",382,395,3.40
"Pratt, Kansas, US",366,390,6.56
"Sherman, Kansas, US",345,356,3.19
"Russell, Kansas, US",337,379,12.46
"Doniphan, Kansas, US",322,344,6.83
"Stevens, Kansas, US",317,338,6.62
"Marion, Kansas, US",316,334,5.70
"Phillips, Kansas, US",309,323,4.53
"Anderson, Kansas, US",308,323,4.87
"Osage, Kansas, US",306,361,17.97
"Gray, Kansas, US",301,313,3.99
"Clay, Kansas, US",282,311,10.28
"Sheridan, Kansas, US",268,274,2.24
"Marshall, Kansas, US",258,290,12.40
"Scott, Kansas, US",258,270,4.65
"Gove, Kansas, US",247,251,1.62
"Rice, Kansas, US",246,284,15.45
"Coffey, Kansas, US",243,251,3.29
"Allen, Kansas, US",240,256,6.67
"Kingman, Kansas, US",230,254,10.43
"Harper, Kansas, US",225,253,12.44
"Meade, Kansas, US",223,229,2.69
"Rooks, Kansas, US",221,261,18.10
"Kearny, Kansas, US",220,259,17.73
"Haskell, Kansas, US",210,223,6.19
"Washington, Kansas, US",206,231,12.14
"Wabaunsee, Kansas, US",205,252,22.93
"Wilson, Kansas, US",203,214,5.42
"Linn, Kansas, US",200,217,8.50
"Ness, Kansas, US",189,204,7.94
"Logan, Kansas, US",181,193,6.63
"Decatur, Kansas, US",180,188,4.44
"Cheyenne, Kansas, US",176,183,3.98
"Greenwood, Kansas, US",161,161,0.00
"Republic, Kansas, US",159,181,13.84
"Ottawa, Kansas, US",158,169,6.96
"Rawlins, Kansas, US",154,158,2.60
"Trego, Kansas, US",152,170,11.84
"Stafford, Kansas, US",149,156,4.70
"Barber, Kansas, US",147,158,7.48
"Rush, Kansas, US",140,156,11.43
"Chase, Kansas, US",124,139,12.10
"Morris, Kansas, US",123,136,10.57
"Stanton, Kansas, US",119,121,1.68
"Wallace, Kansas, US",118,124,5.08
"Edwards, Kansas, US",115,129,12.17
"Mitchell, Kansas, US",113,136,20.35
"Hodgeman, Kansas, US",105,112,6.67
"Morton, Kansas, US",105,105,0.00
"Kiowa, Kansas, US",100,100,0.00
"Graham, Kansas, US",99,113,14.14
"Wichita, Kansas, US",90,96,6.67
"Clark, Kansas, US",88,91,3.41
"Hamilton, Kansas, US",85,101,18.82
"Smith, Kansas, US",72,86,19.44
"Greeley, Kansas, US",67,69,2.99
"Lane, Kansas, US",49,52,6.12
"Osborne, Kansas, US",47,48,2.13
"Woodson, Kansas, US",47,48,2.13
"Chautauqua, Kansas, US",41,45,9.76
"Jewell, Kansas, US",38,43,13.16
"Lincoln, Kansas, US",33,39,18.18
"Comanche, Kansas, US",29,31,6.90
"Elk, Kansas, US",29,33,13.79
"Out of KS, Kansas, US",0,0,0.00
