Location,1/4/21,1/5/21,delta
"Sedgwick, Kansas, US",41361,41361,0.00
"Johnson, Kansas, US",40379,40380,0.00
"Wyandotte, Kansas, US",16029,16029,0.00
"Shawnee, Kansas, US",12176,12176,0.00
"Reno, Kansas, US",7111,7111,0.00
"Douglas, Kansas, US",6713,6787,1.10
"Butler, Kansas, US",5598,5598,0.00
"Finney, Kansas, US",5544,5573,0.52
"Ford, Kansas, US",5206,5206,0.00
"Leavenworth, Kansas, US",5183,5183,0.00
"Riley, Kansas, US",5033,5033,0.00
"Saline, Kansas, US",4636,4636,0.00
"Crawford, Kansas, US",3537,3537,0.00
"Seward, Kansas, US",3533,3577,1.25
"Lyon, Kansas, US",3435,3435,0.00
"Ellis, Kansas, US",3240,3240,0.00
"Harvey, Kansas, US",2765,2765,0.00
"Cowley, Kansas, US",2716,2716,0.00
"McPherson, Kansas, US",2423,2423,0.00
"Montgomery, Kansas, US",2376,2376,0.00
"Barton, Kansas, US",2256,2256,0.00
"Labette, Kansas, US",2034,2034,0.00
"Miami, Kansas, US",1941,1941,0.00
"Franklin, Kansas, US",1883,1883,0.00
"Geary, Kansas, US",1872,1872,0.00
"Cherokee, Kansas, US",1812,1812,0.00
"Sumner, Kansas, US",1446,1446,0.00
"Nemaha, Kansas, US",1355,1355,0.00
"Neosho, Kansas, US",1288,1288,0.00
"Dickinson, Kansas, US",1287,1287,0.00
"Atchison, Kansas, US",1285,1285,0.00
"Jefferson, Kansas, US",1225,1225,0.00
"Pottawatomie, Kansas, US",1178,1178,0.00
"Norton, Kansas, US",1167,1167,0.00
"Ellsworth, Kansas, US",1074,1074,0.00
"Brown, Kansas, US",1058,1058,0.00
"Jackson, Kansas, US",1051,1051,0.00
"Pawnee, Kansas, US",1017,1017,0.00
"Bourbon, Kansas, US",1003,1003,0.00
"Grant, Kansas, US",912,872,-4.39
"Thomas, Kansas, US",907,907,0.00
"Cloud, Kansas, US",871,867,-0.46
"Osage, Kansas, US",864,864,0.00
"Marshall, Kansas, US",855,785,-8.19
"Rice, Kansas, US",842,842,0.00
"Doniphan, Kansas, US",746,746,0.00
"Russell, Kansas, US",743,743,0.00
"Marion, Kansas, US",728,712,-2.20
"Wilson, Kansas, US",707,707,0.00
"Allen, Kansas, US",703,703,0.00
"Pratt, Kansas, US",694,694,0.00
"Clay, Kansas, US",666,629,-5.56
"Anderson, Kansas, US",614,614,0.00
"Republic, Kansas, US",596,596,0.00
"Phillips, Kansas, US",588,588,0.00
"Kingman, Kansas, US",569,569,0.00
"Linn, Kansas, US",550,550,0.00
"Rooks, Kansas, US",550,550,0.00
"Sherman, Kansas, US",550,550,0.00
"Coffey, Kansas, US",529,529,0.00
"Gray, Kansas, US",523,499,-4.59
"Scott, Kansas, US",514,514,0.00
"Kearny, Kansas, US",507,507,0.00
"Stevens, Kansas, US",494,494,0.00
"Greenwood, Kansas, US",471,434,-7.86
"Mitchell, Kansas, US",466,466,0.00
"Wabaunsee, Kansas, US",456,456,0.00
"Harper, Kansas, US",448,444,-0.89
"Washington, Kansas, US",442,442,0.00
"Morris, Kansas, US",439,439,0.00
"Ottawa, Kansas, US",430,430,0.00
"Meade, Kansas, US",403,403,0.00
"Sheridan, Kansas, US",388,388,0.00
"Haskell, Kansas, US",365,365,0.00
"Rush, Kansas, US",343,343,0.00
"Gove, Kansas, US",335,335,0.00
"Trego, Kansas, US",315,315,0.00
"Ness, Kansas, US",309,309,0.00
"Barber, Kansas, US",297,297,0.00
"Stafford, Kansas, US",295,295,0.00
"Cheyenne, Kansas, US",289,289,0.00
"Logan, Kansas, US",276,276,0.00
"Rawlins, Kansas, US",257,257,0.00
"Edwards, Kansas, US",255,229,-10.20
"Chase, Kansas, US",238,214,-10.08
"Decatur, Kansas, US",233,233,0.00
"Smith, Kansas, US",221,221,0.00
"Lincoln, Kansas, US",217,217,0.00
"Morton, Kansas, US",212,212,0.00
"Graham, Kansas, US",206,206,0.00
"Osborne, Kansas, US",200,200,0.00
"Clark, Kansas, US",198,198,0.00
"Chautauqua, Kansas, US",193,193,0.00
"Hamilton, Kansas, US",189,189,0.00
"Wichita, Kansas, US",187,187,0.00
"Kiowa, Kansas, US",180,180,0.00
"Jewell, Kansas, US",166,157,-5.42
"Wallace, Kansas, US",165,165,0.00
"Hodgeman, Kansas, US",162,162,0.00
"Stanton, Kansas, US",161,161,0.00
"Comanche, Kansas, US",152,146,-3.95
"Lane, Kansas, US",128,109,-14.84
"Woodson, Kansas, US",124,124,0.00
"Elk, Kansas, US",115,115,0.00
"Greeley, Kansas, US",95,95,0.00
"Out of KS, Kansas, US",0,0,0.00
