Location,5/1/20,5/2/20,delta
"Jefferson, Kentucky, US",1352,1352,0.00
"Warren, Kentucky, US",344,344,0.00
"Kenton, Kentucky, US",286,286,0.00
"Fayette, Kentucky, US",254,254,0.00
"Hopkins, Kentucky, US",201,201,0.00
"Daviess, Kentucky, US",194,194,0.00
"Boone, Kentucky, US",144,144,0.00
"Butler, Kentucky, US",141,141,0.00
"Graves, Kentucky, US",137,137,0.00
"Muhlenberg, Kentucky, US",125,125,0.00
"Campbell, Kentucky, US",92,92,0.00
"Christian, Kentucky, US",88,88,0.00
"Adair, Kentucky, US",81,81,0.00
"Grayson, Kentucky, US",69,69,0.00
"Henderson, Kentucky, US",62,62,0.00
"Jackson, Kentucky, US",59,59,0.00
"McCracken, Kentucky, US",58,58,0.00
"Bullitt, Kentucky, US",55,55,0.00
"Ohio, Kentucky, US",49,49,0.00
"Hardin, Kentucky, US",44,44,0.00
"Pulaski, Kentucky, US",43,43,0.00
"Jessamine, Kentucky, US",41,40,-2.44
"Calloway, Kentucky, US",34,34,0.00
"Marshall, Kentucky, US",34,34,0.00
"Oldham, Kentucky, US",32,32,0.00
"Boyd, Kentucky, US",31,31,0.00
"Shelby, Kentucky, US",30,30,0.00
"Madison, Kentucky, US",29,29,0.00
"Simpson, Kentucky, US",28,28,0.00
"Edmonson, Kentucky, US",26,26,0.00
"Scott, Kentucky, US",24,24,0.00
"Nelson, Kentucky, US",23,23,0.00
"Webster, Kentucky, US",22,22,0.00
"Clark, Kentucky, US",21,21,0.00
"Grant, Kentucky, US",21,21,0.00
"Woodford, Kentucky, US",18,18,0.00
"Barren, Kentucky, US",17,17,0.00
"Boyle, Kentucky, US",17,17,0.00
"Harrison, Kentucky, US",17,17,0.00
"Laurel, Kentucky, US",17,17,0.00
"Marion, Kentucky, US",17,17,0.00
"Franklin, Kentucky, US",16,16,0.00
"Russell, Kentucky, US",16,16,0.00
"McLean, Kentucky, US",15,15,0.00
"Allen, Kentucky, US",14,14,0.00
"Floyd, Kentucky, US",14,14,0.00
"Caldwell, Kentucky, US",13,12,-7.69
"Lyon, Kentucky, US",13,13,0.00
"Perry, Kentucky, US",13,13,0.00
"Pike, Kentucky, US",13,13,0.00
"Spencer, Kentucky, US",13,13,0.00
"Meade, Kentucky, US",12,12,0.00
"Montgomery, Kentucky, US",12,12,0.00
"Todd, Kentucky, US",12,12,0.00
"Greenup, Kentucky, US",11,11,0.00
"Logan, Kentucky, US",11,11,0.00
"McCreary, Kentucky, US",11,11,0.00
"Mercer, Kentucky, US",11,11,0.00
"Rockcastle, Kentucky, US",11,10,-9.09
"Whitley, Kentucky, US",11,11,0.00
"Ballard, Kentucky, US",10,10,0.00
"Bracken, Kentucky, US",9,9,0.00
"Breckinridge, Kentucky, US",9,9,0.00
"Trigg, Kentucky, US",9,9,0.00
"Wayne, Kentucky, US",9,7,-22.22
"Anderson, Kentucky, US",8,8,0.00
"Bourbon, Kentucky, US",8,8,0.00
"Taylor, Kentucky, US",8,8,0.00
"Union, Kentucky, US",8,8,0.00
"Hancock, Kentucky, US",6,6,0.00
"Henry, Kentucky, US",6,6,0.00
"Knox, Kentucky, US",6,6,0.00
"Mason, Kentucky, US",6,6,0.00
"Pendleton, Kentucky, US",6,5,-16.67
"Carter, Kentucky, US",5,5,0.00
"Cumberland, Kentucky, US",5,5,0.00
"Larue, Kentucky, US",5,5,0.00
"Lincoln, Kentucky, US",5,5,0.00
"Livingston, Kentucky, US",5,5,0.00
"Monroe, Kentucky, US",5,5,0.00
"Washington, Kentucky, US",5,5,0.00
"Bath, Kentucky, US",4,4,0.00
"Crittenden, Kentucky, US",4,4,0.00
"Hart, Kentucky, US",4,4,0.00
"Knott, Kentucky, US",4,4,0.00
"Leslie, Kentucky, US",4,4,0.00
"Clinton, Kentucky, US",3,3,0.00
"Johnson, Kentucky, US",3,3,0.00
"Lewis, Kentucky, US",3,3,0.00
"Martin, Kentucky, US",3,3,0.00
"Menifee, Kentucky, US",3,3,0.00
"Trimble, Kentucky, US",3,3,0.00
"Breathitt, Kentucky, US",2,2,0.00
"Carlisle, Kentucky, US",2,2,0.00
"Carroll, Kentucky, US",2,2,0.00
"Fleming, Kentucky, US",2,2,0.00
"Fulton, Kentucky, US",2,2,0.00
"Garrard, Kentucky, US",2,2,0.00
"Letcher, Kentucky, US",2,2,0.00
"Owsley, Kentucky, US",2,2,0.00
"Rowan, Kentucky, US",2,2,0.00
"Casey, Kentucky, US",1,1,0.00
"Clay, Kentucky, US",1,1,0.00
"Gallatin, Kentucky, US",1,1,0.00
"Green, Kentucky, US",1,1,0.00
"Hickman, Kentucky, US",1,1,0.00
"Lawrence, Kentucky, US",1,1,0.00
"Metcalfe, Kentucky, US",1,1,0.00
"Morgan, Kentucky, US",1,1,0.00
"Nicholas, Kentucky, US",1,1,0.00
"Owen, Kentucky, US",1,1,0.00
"Powell, Kentucky, US",1,1,0.00
"Bell, Kentucky, US",0,0,0.00
"Elliott, Kentucky, US",0,0,0.00
"Estill, Kentucky, US",0,0,0.00
"Harlan, Kentucky, US",0,0,0.00
"Lee, Kentucky, US",0,0,0.00
"Magoffin, Kentucky, US",0,0,0.00
"Out of KY, Kentucky, US",0,0,0.00
"Robertson, Kentucky, US",0,0,0.00
"Wolfe, Kentucky, US",0,0,0.00
