Location,3/30/20,3/31/20,delta
"Jefferson, Kentucky, US",116,206,77.59
"Fayette, Kentucky, US",82,110,34.15
"Daviess, Kentucky, US",27,34,25.93
"Kenton, Kentucky, US",19,20,5.26
"Hopkins, Kentucky, US",17,17,0.00
"Warren, Kentucky, US",12,13,8.33
"Harrison, Kentucky, US",11,11,0.00
"Jessamine, Kentucky, US",11,13,18.18
"Madison, Kentucky, US",8,10,25.00
"Muhlenberg, Kentucky, US",7,10,42.86
"Pulaski, Kentucky, US",7,8,14.29
"Christian, Kentucky, US",6,7,16.67
"Clark, Kentucky, US",6,8,33.33
"Franklin, Kentucky, US",6,6,0.00
"Scott, Kentucky, US",6,6,0.00
"Boone, Kentucky, US",5,8,60.00
"Hardin, Kentucky, US",5,6,20.00
"McCracken, Kentucky, US",5,8,60.00
"Campbell, Kentucky, US",4,8,100.00
"Simpson, Kentucky, US",4,9,125.00
"Calloway, Kentucky, US",3,3,0.00
"Henderson, Kentucky, US",3,5,66.67
"Nelson, Kentucky, US",3,3,0.00
"Oldham, Kentucky, US",3,6,100.00
"Woodford, Kentucky, US",3,5,66.67
"Anderson, Kentucky, US",2,2,0.00
"Bourbon, Kentucky, US",2,2,0.00
"Breathitt, Kentucky, US",2,2,0.00
"Breckinridge, Kentucky, US",2,2,0.00
"Bullitt, Kentucky, US",2,6,200.00
"Grayson, Kentucky, US",2,2,0.00
"Laurel, Kentucky, US",2,2,0.00
"Logan, Kentucky, US",2,3,50.00
"Martin, Kentucky, US",2,1,-50.00
"Menifee, Kentucky, US",2,2,0.00
"Mercer, Kentucky, US",2,2,0.00
"Montgomery, Kentucky, US",2,2,0.00
"Spencer, Kentucky, US",2,2,0.00
"Webster, Kentucky, US",2,2,0.00
"Allen, Kentucky, US",1,2,100.00
"Barren, Kentucky, US",1,1,0.00
"Boyle, Kentucky, US",1,4,300.00
"Bracken, Kentucky, US",1,1,0.00
"Butler, Kentucky, US",1,1,0.00
"Carroll, Kentucky, US",1,2,100.00
"Floyd, Kentucky, US",1,0,-100.00
"Grant, Kentucky, US",1,1,0.00
"Hancock, Kentucky, US",1,1,0.00
"Larue, Kentucky, US",1,1,0.00
"Lyon, Kentucky, US",1,1,0.00
"Mason, Kentucky, US",1,1,0.00
"McCreary, Kentucky, US",1,1,0.00
"McLean, Kentucky, US",1,1,0.00
"Nicholas, Kentucky, US",1,1,0.00
"Shelby, Kentucky, US",1,2,100.00
"Union, Kentucky, US",1,2,100.00
"Washington, Kentucky, US",1,1,0.00
"Wayne, Kentucky, US",1,3,200.00
"Adair, Kentucky, US",0,0,0.00
"Ballard, Kentucky, US",0,0,0.00
"Bath, Kentucky, US",0,0,0.00
"Bell, Kentucky, US",0,0,0.00
"Boyd, Kentucky, US",0,4,0.00
"Caldwell, Kentucky, US",0,0,0.00
"Carlisle, Kentucky, US",0,0,0.00
"Carter, Kentucky, US",0,0,0.00
"Casey, Kentucky, US",0,0,0.00
"Clay, Kentucky, US",0,0,0.00
"Clinton, Kentucky, US",0,0,0.00
"Crittenden, Kentucky, US",0,0,0.00
"Cumberland, Kentucky, US",0,0,0.00
"Edmonson, Kentucky, US",0,2,0.00
"Elliott, Kentucky, US",0,0,0.00
"Estill, Kentucky, US",0,0,0.00
"Fleming, Kentucky, US",0,0,0.00
"Fulton, Kentucky, US",0,0,0.00
"Gallatin, Kentucky, US",0,0,0.00
"Garrard, Kentucky, US",0,0,0.00
"Graves, Kentucky, US",0,0,0.00
"Green, Kentucky, US",0,0,0.00
"Greenup, Kentucky, US",0,0,0.00
"Harlan, Kentucky, US",0,0,0.00
"Hart, Kentucky, US",0,0,0.00
"Henry, Kentucky, US",0,0,0.00
"Hickman, Kentucky, US",0,0,0.00
"Jackson, Kentucky, US",0,0,0.00
"Johnson, Kentucky, US",0,0,0.00
"Knott, Kentucky, US",0,0,0.00
"Knox, Kentucky, US",0,0,0.00
"Lawrence, Kentucky, US",0,1,0.00
"Lee, Kentucky, US",0,0,0.00
"Leslie, Kentucky, US",0,0,0.00
"Letcher, Kentucky, US",0,0,0.00
"Lewis, Kentucky, US",0,1,0.00
"Lincoln, Kentucky, US",0,0,0.00
"Livingston, Kentucky, US",0,0,0.00
"Magoffin, Kentucky, US",0,0,0.00
"Marion, Kentucky, US",0,1,0.00
"Marshall, Kentucky, US",0,1,0.00
"Meade, Kentucky, US",0,0,0.00
"Metcalfe, Kentucky, US",0,0,0.00
"Monroe, Kentucky, US",0,0,0.00
"Morgan, Kentucky, US",0,0,0.00
"Ohio, Kentucky, US",0,0,0.00
"Out of KY, Kentucky, US",0,0,0.00
"Owen, Kentucky, US",0,0,0.00
"Owsley, Kentucky, US",0,0,0.00
"Pendleton, Kentucky, US",0,1,0.00
"Perry, Kentucky, US",0,0,0.00
"Pike, Kentucky, US",0,0,0.00
"Powell, Kentucky, US",0,1,0.00
"Robertson, Kentucky, US",0,0,0.00
"Rockcastle, Kentucky, US",0,1,0.00
"Rowan, Kentucky, US",0,0,0.00
"Russell, Kentucky, US",0,0,0.00
"Taylor, Kentucky, US",0,2,0.00
"Todd, Kentucky, US",0,0,0.00
"Trigg, Kentucky, US",0,0,0.00
"Trimble, Kentucky, US",0,0,0.00
"Whitley, Kentucky, US",0,0,0.00
"Wolfe, Kentucky, US",0,0,0.00
