Location,3/22/20,3/23/20,delta
"Orleans, Louisiana, US",451,567,25.72
"Jefferson, Louisiana, US",166,252,51.81
"St. Tammany, Louisiana, US",22,47,113.64
"East Baton Rouge, Louisiana, US",18,43,138.89
"Caddo, Louisiana, US",15,34,126.67
"Ascension, Louisiana, US",12,26,116.67
"St. Bernard, Louisiana, US",12,15,25.00
"Lafourche, Louisiana, US",11,15,36.36
"Terrebonne, Louisiana, US",11,14,27.27
"St. John the Baptist, Louisiana, US",9,16,77.78
"St. Charles, Louisiana, US",7,15,114.29
"Lafayette, Louisiana, US",6,9,50.00
"Bossier, Louisiana, US",5,12,140.00
"Calcasieu, Louisiana, US",4,4,0.00
"Plaquemines, Louisiana, US",4,8,100.00
"St. Landry, Louisiana, US",3,3,0.00
"Tangipahoa, Louisiana, US",3,3,0.00
"West Baton Rouge, Louisiana, US",3,5,66.67
"De Soto, Louisiana, US",2,5,150.00
"Evangeline, Louisiana, US",2,2,0.00
"Iberia, Louisiana, US",2,3,50.00
"Iberville, Louisiana, US",2,10,400.00
"Livingston, Louisiana, US",2,5,150.00
"Ouachita, Louisiana, US",2,9,350.00
"Rapides, Louisiana, US",2,8,300.00
"Washington, Louisiana, US",2,2,0.00
"Assumption, Louisiana, US",1,1,0.00
"Avoyelles, Louisiana, US",1,1,0.00
"Beauregard, Louisiana, US",1,1,0.00
"Bienville, Louisiana, US",1,1,0.00
"Catahoula, Louisiana, US",1,1,0.00
"Claiborne, Louisiana, US",1,2,100.00
"St. James, Louisiana, US",1,8,700.00
"St. Mary, Louisiana, US",1,1,0.00
"Webster, Louisiana, US",1,3,200.00
"Acadia, Louisiana, US",0,1,0.00
"Allen, Louisiana, US",0,2,0.00
"Caldwell, Louisiana, US",0,0,0.00
"Cameron, Louisiana, US",0,0,0.00
"Concordia, Louisiana, US",0,0,0.00
"East Carroll, Louisiana, US",0,0,0.00
"East Feliciana, Louisiana, US",0,0,0.00
"Franklin, Louisiana, US",0,0,0.00
"Grant, Louisiana, US",0,1,0.00
"Jackson, Louisiana, US",0,0,0.00
"Jefferson Davis, Louisiana, US",0,0,0.00
"LaSalle,Louisiana,US",0,0,0.00
"Lincoln, Louisiana, US",0,2,0.00
"Madison, Louisiana, US",0,0,0.00
"Morehouse, Louisiana, US",0,0,0.00
"Natchitoches, Louisiana, US",0,2,0.00
"Out of LA, Louisiana, US",0,0,0.00
"Pointe Coupee, Louisiana, US",0,0,0.00
"Red River, Louisiana, US",0,0,0.00
"Richland, Louisiana, US",0,2,0.00
"Sabine, Louisiana, US",0,0,0.00
"St. Helena, Louisiana, US",0,0,0.00
"St. Martin, Louisiana, US",0,0,0.00
"Tensas, Louisiana, US",0,0,0.00
"Union, Louisiana, US",0,0,0.00
"Vermilion, Louisiana, US",0,0,0.00
"Vernon, Louisiana, US",0,0,0.00
"West Carroll, Louisiana, US",0,0,0.00
"West Feliciana, Louisiana, US",0,0,0.00
"Winn, Louisiana, US",0,0,0.00
