Location,4/1/20,4/2/20,delta
"Orleans, Louisiana, US",2270,3148,38.68
"Jefferson, Louisiana, US",1433,2178,51.99
"Caddo, Louisiana, US",298,336,12.75
"St. Tammany, Louisiana, US",270,399,47.78
"East Baton Rouge, Louisiana, US",244,325,33.20
"Ascension, Louisiana, US",189,201,6.35
"Lafayette, Louisiana, US",159,247,55.35
"St. John the Baptist, Louisiana, US",118,274,132.20
"Lafourche, Louisiana, US",105,158,50.48
"St. Bernard, Louisiana, US",94,181,92.55
"Calcasieu, Louisiana, US",90,108,20.00
"St. James, Louisiana, US",86,110,27.91
"St. Charles, Louisiana, US",82,180,119.51
"Ouachita, Louisiana, US",80,94,17.50
"Bossier, Louisiana, US",75,87,16.00
"Rapides, Louisiana, US",69,77,11.59
"Terrebonne, Louisiana, US",55,97,76.36
"Iberia, Louisiana, US",49,67,36.73
"Acadia, Louisiana, US",47,61,29.79
"Plaquemines, Louisiana, US",47,68,44.68
"St. Landry, Louisiana, US",45,56,24.44
"St. Martin, Louisiana, US",41,58,41.46
"De Soto, Louisiana, US",39,42,7.69
"Washington, Louisiana, US",39,50,28.21
"Iberville, Louisiana, US",36,69,91.67
"Tangipahoa, Louisiana, US",33,42,27.27
"Avoyelles, Louisiana, US",31,34,9.68
"St. Mary, Louisiana, US",26,42,61.54
"Assumption, Louisiana, US",25,31,24.00
"Livingston, Louisiana, US",25,33,32.00
"Allen, Louisiana, US",19,26,36.84
"Webster, Louisiana, US",17,19,11.76
"West Baton Rouge, Louisiana, US",14,19,35.71
"Lincoln, Louisiana, US",13,13,0.00
"Evangeline, Louisiana, US",11,16,45.45
"Union, Louisiana, US",11,13,18.18
"Claiborne, Louisiana, US",10,11,10.00
"East Feliciana, Louisiana, US",10,14,40.00
"Vermilion, Louisiana, US",10,16,60.00
"Jefferson Davis, Louisiana, US",9,13,44.44
"Beauregard, Louisiana, US",8,10,25.00
"West Feliciana, Louisiana, US",8,10,25.00
"Pointe Coupee, Louisiana, US",7,12,71.43
"Bienville, Louisiana, US",6,8,33.33
"Vernon, Louisiana, US",6,7,16.67
"Concordia, Louisiana, US",5,8,60.00
"Franklin, Louisiana, US",5,5,0.00
"Jackson, Louisiana, US",4,4,0.00
"Catahoula, Louisiana, US",3,5,66.67
"Grant, Louisiana, US",3,5,66.67
"Richland, Louisiana, US",3,4,33.33
"Sabine, Louisiana, US",3,4,33.33
"LaSalle,Louisiana,US",2,2,0.00
"Morehouse, Louisiana, US",2,4,100.00
"Natchitoches, Louisiana, US",2,4,100.00
"East Carroll, Louisiana, US",1,1,0.00
"Madison, Louisiana, US",1,1,0.00
"Red River, Louisiana, US",1,1,0.00
"St. Helena, Louisiana, US",1,1,0.00
"Winn, Louisiana, US",1,2,100.00
"Caldwell, Louisiana, US",0,0,0.00
"Cameron, Louisiana, US",0,0,0.00
"Out of LA, Louisiana, US",0,0,0.00
"Tensas, Louisiana, US",0,0,0.00
"West Carroll, Louisiana, US",0,0,0.00
