Location,3/12/20,3/13/20,delta
"Orleans, Louisiana, US",14,26,85.71
"Jefferson, Louisiana, US",2,0,-100.00
"Caddo, Louisiana, US",1,1,0.00
"Iberia, Louisiana, US",1,0,-100.00
"St. Tammany, Louisiana, US",1,2,100.00
"Acadia, Louisiana, US",0,0,0.00
"Allen, Louisiana, US",0,0,0.00
"Ascension, Louisiana, US",0,0,0.00
"Assumption, Louisiana, US",0,0,0.00
"Avoyelles, Louisiana, US",0,0,0.00
"Beauregard, Louisiana, US",0,0,0.00
"Bienville, Louisiana, US",0,0,0.00
"Bossier, Louisiana, US",0,0,0.00
"Calcasieu, Louisiana, US",0,0,0.00
"Caldwell, Louisiana, US",0,0,0.00
"Cameron, Louisiana, US",0,0,0.00
"Catahoula, Louisiana, US",0,0,0.00
"Claiborne, Louisiana, US",0,0,0.00
"Concordia, Louisiana, US",0,0,0.00
"De Soto, Louisiana, US",0,0,0.00
"East Baton Rouge, Louisiana, US",0,0,0.00
"East Carroll, Louisiana, US",0,0,0.00
"East Feliciana, Louisiana, US",0,0,0.00
"Evangeline, Louisiana, US",0,0,0.00
"Franklin, Louisiana, US",0,0,0.00
"Grant, Louisiana, US",0,0,0.00
"Iberville, Louisiana, US",0,0,0.00
"Jackson, Louisiana, US",0,0,0.00
"Jefferson Davis, Louisiana, US",0,0,0.00
"LaSalle,Louisiana,US",0,0,0.00
"Lafayette, Louisiana, US",0,0,0.00
"Lafourche, Louisiana, US",0,0,0.00
"Lincoln, Louisiana, US",0,0,0.00
"Livingston, Louisiana, US",0,0,0.00
"Madison, Louisiana, US",0,0,0.00
"Morehouse, Louisiana, US",0,0,0.00
"Natchitoches, Louisiana, US",0,0,0.00
"Ouachita, Louisiana, US",0,0,0.00
"Out of LA, Louisiana, US",0,0,0.00
"Plaquemines, Louisiana, US",0,0,0.00
"Pointe Coupee, Louisiana, US",0,0,0.00
"Rapides, Louisiana, US",0,0,0.00
"Red River, Louisiana, US",0,0,0.00
"Richland, Louisiana, US",0,0,0.00
"Sabine, Louisiana, US",0,0,0.00
"St. Bernard, Louisiana, US",0,0,0.00
"St. Charles, Louisiana, US",0,0,0.00
"St. Helena, Louisiana, US",0,0,0.00
"St. James, Louisiana, US",0,0,0.00
"St. John the Baptist, Louisiana, US",0,0,0.00
"St. Landry, Louisiana, US",0,0,0.00
"St. Martin, Louisiana, US",0,0,0.00
"St. Mary, Louisiana, US",0,0,0.00
"Tangipahoa, Louisiana, US",0,0,0.00
"Tensas, Louisiana, US",0,0,0.00
"Terrebonne, Louisiana, US",0,0,0.00
"Union, Louisiana, US",0,0,0.00
"Vermilion, Louisiana, US",0,0,0.00
"Vernon, Louisiana, US",0,0,0.00
"Washington, Louisiana, US",0,0,0.00
"Webster, Louisiana, US",0,0,0.00
"West Baton Rouge, Louisiana, US",0,0,0.00
"West Carroll, Louisiana, US",0,0,0.00
"West Feliciana, Louisiana, US",0,0,0.00
"Winn, Louisiana, US",0,0,0.00
