Location,4/1/20,4/2/20,delta
"Cumberland, Maine, US",169,204,20.71
"York, Maine, US",59,74,25.42
"Kennebec, Maine, US",12,19,58.33
"Penobscot, Maine, US",12,16,33.33
"Androscoggin, Maine, US",11,12,9.09
"Oxford, Maine, US",9,9,0.00
"Lincoln, Maine, US",8,8,0.00
"Sagadahoc, Maine, US",7,10,42.86
"Knox, Maine, US",5,7,40.00
"Franklin, Maine, US",2,3,50.00
"Waldo, Maine, US",2,2,0.00
"Somerset, Maine, US",1,2,100.00
"Aroostook, Maine, US",0,0,0.00
"Hancock, Maine, US",0,2,0.00
"Out of ME, Maine, US",0,0,0.00
"Piscataquis, Maine, US",0,0,0.00
"Washington, Maine, US",0,0,0.00
