Location,5/17/20,5/18/20,delta
"Cumberland, Maine, US",837,852,1.79
"York, Maine, US",295,302,2.37
"Androscoggin, Maine, US",131,139,6.11
"Kennebec, Maine, US",121,121,0.00
"Penobscot, Maine, US",93,93,0.00
"Waldo, Maine, US",50,50,0.00
"Franklin, Maine, US",33,33,0.00
"Sagadahoc, Maine, US",27,27,0.00
"Knox, Maine, US",20,20,0.00
"Somerset, Maine, US",20,20,0.00
"Lincoln, Maine, US",17,17,0.00
"Oxford, Maine, US",17,17,0.00
"Hancock, Maine, US",11,11,0.00
"Aroostook, Maine, US",7,7,0.00
"Washington, Maine, US",5,2,-60.00
"Piscataquis, Maine, US",1,1,0.00
"Out of ME, Maine, US",0,0,0.00
