Location,1/22/20,1/23/20,delta
"Androscoggin, Maine, US",0,0,0.00
"Aroostook, Maine, US",0,0,0.00
"Cumberland, Maine, US",0,0,0.00
"Franklin, Maine, US",0,0,0.00
"Hancock, Maine, US",0,0,0.00
"Kennebec, Maine, US",0,0,0.00
"Knox, Maine, US",0,0,0.00
"Lincoln, Maine, US",0,0,0.00
"Out of ME, Maine, US",0,0,0.00
"Oxford, Maine, US",0,0,0.00
"Penobscot, Maine, US",0,0,0.00
"Piscataquis, Maine, US",0,0,0.00
"Sagadahoc, Maine, US",0,0,0.00
"Somerset, Maine, US",0,0,0.00
"Waldo, Maine, US",0,0,0.00
"Washington, Maine, US",0,0,0.00
"York, Maine, US",0,0,0.00
