Location,3/25/20,3/26/20,delta
"Montgomery, Maryland, US",127,164,29.13
"Prince George's, Maryland, US",76,101,32.89
"Baltimore City, Maryland, US",53,72,35.85
"Baltimore, Maryland, US",51,81,58.82
"Howard, Maryland, US",35,49,40.00
"Anne Arundel, Maryland, US",31,41,32.26
"Charles, Maryland, US",8,10,25.00
"Frederick, Maryland, US",7,14,100.00
"Carroll, Maryland, US",5,7,40.00
"Harford, Maryland, US",5,9,80.00
"Cecil, Maryland, US",4,4,0.00
"Washington, Maryland, US",4,4,0.00
"Wicomico, Maryland, US",4,5,25.00
"Calvert, Maryland, US",3,7,133.33
"Garrett, Maryland, US",3,3,0.00
"St. Mary's, Maryland, US",2,4,100.00
"Worcester, Maryland, US",2,2,0.00
"Caroline, Maryland, US",1,1,0.00
"Kent, Maryland, US",1,1,0.00
"Queen Anne's, Maryland, US",1,2,100.00
"Somerset, Maryland, US",1,1,0.00
"Talbot, Maryland, US",1,1,0.00
"Allegany, Maryland, US",0,0,0.00
"Dorchester, Maryland, US",0,0,0.00
"Out of MD, Maryland, US",0,0,0.00
