Location,1/22/20,1/23/20,delta
"Allegany, Maryland, US",0,0,0.00
"Anne Arundel, Maryland, US",0,0,0.00
"Baltimore, Maryland, US",0,0,0.00
"Baltimore City, Maryland, US",0,0,0.00
"Calvert, Maryland, US",0,0,0.00
"Caroline, Maryland, US",0,0,0.00
"Carroll, Maryland, US",0,0,0.00
"Cecil, Maryland, US",0,0,0.00
"Charles, Maryland, US",0,0,0.00
"Dorchester, Maryland, US",0,0,0.00
"Frederick, Maryland, US",0,0,0.00
"Garrett, Maryland, US",0,0,0.00
"Harford, Maryland, US",0,0,0.00
"Howard, Maryland, US",0,0,0.00
"Kent, Maryland, US",0,0,0.00
"Montgomery, Maryland, US",0,0,0.00
"Out of MD, Maryland, US",0,0,0.00
"Prince George's, Maryland, US",0,0,0.00
"Queen Anne's, Maryland, US",0,0,0.00
"Somerset, Maryland, US",0,0,0.00
"St. Mary's, Maryland, US",0,0,0.00
"Talbot, Maryland, US",0,0,0.00
"Washington, Maryland, US",0,0,0.00
"Wicomico, Maryland, US",0,0,0.00
"Worcester, Maryland, US",0,0,0.00
