"Montgomery, Maryland, US",255,301,18.04
"Prince George's, Maryland, US",196,247,26.02
"Baltimore, Maryland, US",141,162,14.89
"Baltimore City, Maryland, US",112,129,15.18
"Anne Arundel, Maryland, US",88,99,12.50
"Howard, Maryland, US",73,81,10.96
"Frederick, Maryland, US",22,24,9.09
"Charles, Maryland, US",21,28,33.33
"Harford, Maryland, US",21,23,9.52
"Cecil, Maryland, US",13,13,0.00
"Carroll, Maryland, US",10,82,720.00
"Calvert, Maryland, US",8,10,25.00
"St. Mary's, Maryland, US",8,9,12.50
"Washington, Maryland, US",6,6,0.00
"Wicomico, Maryland, US",6,6,0.00
"Queen Anne's, Maryland, US",4,4,0.00
"Garrett, Maryland, US",3,3,0.00
"Kent, Maryland, US",2,3,50.00
"Talbot, Maryland, US",2,3,50.00
"Worcester, Maryland, US",2,2,0.00
"Caroline, Maryland, US",1,3,200.00
"Somerset, Maryland, US",1,1,0.00
"Allegany, Maryland, US",0,0,0.00
"Dorchester, Maryland, US",0,0,0.00
"Out of MD, Maryland, US",0,0,0.00
