"Middlesex, Massachusetts, US",25564,25495,-0.27
"Suffolk, Massachusetts, US",22543,22593,0.22
"Essex, Massachusetts, US",18279,18186,-0.51
"Worcester, Massachusetts, US",13570,13522,-0.35
"Norfolk, Massachusetts, US",9638,9597,-0.43
"Bristol, Massachusetts, US",9318,9252,-0.71
"Plymouth, Massachusetts, US",9188,9153,-0.38
"Hampden, Massachusetts, US",7734,7698,-0.47
"Barnstable, Massachusetts, US",1653,1645,-0.48
"Hampshire, Massachusetts, US",1184,1180,-0.34
"Berkshire, Massachusetts, US",668,669,0.15
"Franklin, Massachusetts, US",394,392,-0.51
"Dukes and Nantucket,Massachusetts,US",98,99,1.02
"Dukes, Massachusetts, US",0,0,0.00
"Nantucket, Massachusetts, US",0,0,0.00
"Out of MA, Massachusetts, US",0,0,0.00
