Location,3/23/20,3/24/20,delta
"Wayne, Michigan, US",639,878,37.40
"Oakland, Michigan, US",398,514,29.15
"Macomb, Michigan, US",176,226,28.41
"Washtenaw, Michigan, US",49,58,18.37
"Kent, Michigan, US",28,31,10.71
"Berrien, Michigan, US",26,33,26.92
"Genesee, Michigan, US",25,36,44.00
"Ingham, Michigan, US",15,18,20.00
"Livingston, Michigan, US",13,17,30.77
"Ottawa, Michigan, US",13,17,30.77
"Midland, Michigan, US",9,9,0.00
"St. Clair, Michigan, US",8,10,25.00
"Monroe, Michigan, US",7,12,71.43
"Bay, Michigan, US",4,4,0.00
"Jackson, Michigan, US",4,9,125.00
"Kalamazoo, Michigan, US",4,4,0.00
"Out of MI, Michigan, US",4,6,50.00
"Calhoun, Michigan, US",3,4,33.33
"Otsego, Michigan, US",3,5,66.67
"Cass, Michigan, US",2,2,0.00
"Charlevoix, Michigan, US",2,3,50.00
"Clinton, Michigan, US",2,5,150.00
"Eaton, Michigan, US",2,3,50.00
"Saginaw, Michigan, US",2,8,300.00
"Allegan, Michigan, US",1,1,0.00
"Antrim, Michigan, US",1,1,0.00
"Barry, Michigan, US",1,1,0.00
"Chippewa, Michigan, US",1,1,0.00
"Clare, Michigan, US",1,1,0.00
"Emmet, Michigan, US",1,2,100.00
"Gladwin, Michigan, US",1,2,100.00
"Grand Traverse, Michigan, US",1,3,200.00
"Leelanau, Michigan, US",1,1,0.00
"Montcalm, Michigan, US",1,1,0.00
"Muskegon, Michigan, US",1,3,200.00
"Newaygo, Michigan, US",1,2,100.00
"Ogemaw, Michigan, US",1,1,0.00
"Roscommon, Michigan, US",1,1,0.00
"Tuscola, Michigan, US",1,1,0.00
"Wexford, Michigan, US",1,1,0.00
"Alcona, Michigan, US",0,0,0.00
"Alger, Michigan, US",0,0,0.00
"Alpena, Michigan, US",0,0,0.00
"Arenac, Michigan, US",0,0,0.00
"Baraga, Michigan, US",0,0,0.00
"Benzie, Michigan, US",0,0,0.00
"Branch, Michigan, US",0,0,0.00
"Cheboygan, Michigan, US",0,0,0.00
"Crawford, Michigan, US",0,0,0.00
"Delta, Michigan, US",0,0,0.00
"Dickinson, Michigan, US",0,0,0.00
"Federal Correctional Institution (FCI), Michigan, US",0,0,0.00
"Gogebic, Michigan, US",0,0,0.00
"Gratiot, Michigan, US",0,0,0.00
"Hillsdale, Michigan, US",0,1,0.00
"Houghton, Michigan, US",0,0,0.00
"Huron, Michigan, US",0,0,0.00
"Ionia, Michigan, US",0,0,0.00
"Iosco, Michigan, US",0,0,0.00
"Iron, Michigan, US",0,0,0.00
"Isabella, Michigan, US",0,2,0.00
"Kalkaska, Michigan, US",0,1,0.00
"Keweenaw, Michigan, US",0,0,0.00
"Lake, Michigan, US",0,0,0.00
"Lapeer, Michigan, US",0,1,0.00
"Lenawee, Michigan, US",0,0,0.00
"Luce, Michigan, US",0,0,0.00
"Mackinac, Michigan, US",0,0,0.00
"Manistee, Michigan, US",0,1,0.00
"Marquette, Michigan, US",0,1,0.00
"Mason, Michigan, US",0,0,0.00
"Mecosta, Michigan, US",0,0,0.00
"Menominee, Michigan, US",0,0,0.00
"Michigan Department of Corrections (MDOC), Michigan, US",0,0,0.00
"Missaukee, Michigan, US",0,0,0.00
"Montmorency, Michigan, US",0,0,0.00
"Oceana, Michigan, US",0,0,0.00
"Ontonagon, Michigan, US",0,0,0.00
"Osceola, Michigan, US",0,0,0.00
"Oscoda, Michigan, US",0,0,0.00
"Presque Isle, Michigan, US",0,0,0.00
"Sanilac, Michigan, US",0,0,0.00
"Schoolcraft, Michigan, US",0,0,0.00
"Shiawassee, Michigan, US",0,0,0.00
"St. Joseph, Michigan, US",0,0,0.00
"Van Buren, Michigan, US",0,0,0.00
