Location,4/6/20,4/7/20,delta
"Wayne, Michigan, US",8332,9115,9.40
"Oakland, Michigan, US",3638,4014,10.34
"Macomb, Michigan, US",2162,2419,11.89
"Washtenaw, Michigan, US",591,618,4.57
"Genesee, Michigan, US",582,654,12.37
"Ingham, Michigan, US",185,198,7.03
"Kent, Michigan, US",183,195,6.56
"Livingston, Michigan, US",170,187,10.00
"Saginaw, Michigan, US",139,153,10.07
"St. Clair, Michigan, US",125,147,17.60
"Berrien, Michigan, US",121,130,7.44
"Monroe, Michigan, US",117,129,10.26
"Jackson, Michigan, US",114,125,9.65
"Out of MI, Michigan, US",91,118,29.67
"Kalamazoo, Michigan, US",65,72,10.77
"Clinton, Michigan, US",60,77,28.33
"Eaton, Michigan, US",58,64,10.34
"Ottawa, Michigan, US",56,68,21.43
"Lapeer, Michigan, US",53,60,13.21
"Hillsdale, Michigan, US",47,56,19.15
"Calhoun, Michigan, US",44,48,9.09
"Lenawee, Michigan, US",35,35,0.00
"Bay, Michigan, US",34,35,2.94
"Muskegon, Michigan, US",33,41,24.24
"Midland, Michigan, US",30,33,10.00
"Otsego, Michigan, US",28,30,7.14
"Shiawassee, Michigan, US",26,26,0.00
"Tuscola, Michigan, US",22,26,18.18
"Van Buren, Michigan, US",22,25,13.64
"Isabella, Michigan, US",21,29,38.10
"Allegan, Michigan, US",16,20,25.00
"Montcalm, Michigan, US",16,17,6.25
"Branch, Michigan, US",15,17,13.33
"Marquette, Michigan, US",15,19,26.67
"Emmet, Michigan, US",14,15,7.14
"Grand Traverse, Michigan, US",14,15,7.14
"Sanilac, Michigan, US",14,17,21.43
"Cass, Michigan, US",11,13,18.18
"St. Joseph, Michigan, US",11,14,27.27
"Barry, Michigan, US",9,9,0.00
"Cheboygan, Michigan, US",9,11,22.22
"Kalkaska, Michigan, US",9,11,22.22
"Charlevoix, Michigan, US",8,8,0.00
"Delta, Michigan, US",8,8,0.00
"Ionia, Michigan, US",8,9,12.50
"Manistee, Michigan, US",7,10,42.86
"Antrim, Michigan, US",6,7,16.67
"Mecosta, Michigan, US",6,9,50.00
"Wexford, Michigan, US",6,8,33.33
"Gratiot, Michigan, US",5,6,20.00
"Huron, Michigan, US",5,5,0.00
"Osceola, Michigan, US",5,5,0.00
"Roscommon, Michigan, US",5,6,20.00
"Gladwin, Michigan, US",4,4,0.00
"Iosco, Michigan, US",4,5,25.00
"Ogemaw, Michigan, US",4,4,0.00
"Arenac, Michigan, US",3,3,0.00
"Clare, Michigan, US",3,2,-33.33
"Gogebic, Michigan, US",3,3,0.00
"Oceana, Michigan, US",3,3,0.00
"Crawford, Michigan, US",2,5,150.00
"Dickinson, Michigan, US",2,2,0.00
"Leelanau, Michigan, US",2,3,50.00
"Mackinac, Michigan, US",2,3,50.00
"Newaygo, Michigan, US",2,3,50.00
"Oscoda, Michigan, US",2,2,0.00
"Chippewa, Michigan, US",1,1,0.00
"Houghton, Michigan, US",1,1,0.00
"Luce, Michigan, US",1,1,0.00
"Mason, Michigan, US",1,2,100.00
"Missaukee, Michigan, US",1,1,0.00
"Ontonagon, Michigan, US",1,0,-100.00
"Presque Isle, Michigan, US",1,1,0.00
"Alcona, Michigan, US",0,0,0.00
"Alger, Michigan, US",0,0,0.00
"Alpena, Michigan, US",0,0,0.00
"Baraga, Michigan, US",0,0,0.00
"Benzie, Michigan, US",0,0,0.00
"Federal Correctional Institution (FCI), Michigan, US",0,0,0.00
"Iron, Michigan, US",0,0,0.00
"Keweenaw, Michigan, US",0,0,0.00
"Lake, Michigan, US",0,0,0.00
"Menominee, Michigan, US",0,0,0.00
"Michigan Department of Corrections (MDOC), Michigan, US",0,0,0.00
"Montmorency, Michigan, US",0,0,0.00
"Schoolcraft, Michigan, US",0,0,0.00
