"Hennepin, Minnesota, US",651,806,23.81
"Ramsey, Minnesota, US",164,178,8.54
"Olmsted, Minnesota, US",153,174,13.73
"Dakota, Minnesota, US",103,110,6.80
"Washington, Minnesota, US",88,92,4.55
"Anoka, Minnesota, US",76,83,9.21
"Winona, Minnesota, US",51,56,9.80
"Clay, Minnesota, US",43,44,2.33
"St. Louis, Minnesota, US",43,45,4.65
"Martin, Minnesota, US",39,39,0.00
"Carlton, Minnesota, US",27,32,18.52
"Freeborn, Minnesota, US",27,28,3.70
"Mower, Minnesota, US",25,25,0.00
"Blue Earth, Minnesota, US",23,23,0.00
"Le Sueur, Minnesota, US",21,22,4.76
"Wright, Minnesota, US",21,23,9.52
"Scott, Minnesota, US",20,23,15.00
"Crow Wing, Minnesota, US",17,17,0.00
"Goodhue, Minnesota, US",17,18,5.88
"Dodge, Minnesota, US",16,17,6.25
"Carver, Minnesota, US",14,14,0.00
"Sherburne, Minnesota, US",11,12,9.09
"Fillmore,Minnesota,US",10,10,0.00
"Steele, Minnesota, US",9,9,0.00
"Brown, Minnesota, US",7,7,0.00
"Chisago, Minnesota, US",7,7,0.00
"Nicollet, Minnesota, US",7,7,0.00
"Stearns, Minnesota, US",7,14,100.00
"Wabasha, Minnesota, US",7,8,14.29
"Wilkin, Minnesota, US",7,7,0.00
"Cottonwood, Minnesota, US",6,6,0.00
"Pine, Minnesota, US",6,9,50.00
"Beltrami, Minnesota, US",5,5,0.00
"Lyon, Minnesota, US",5,6,20.00
"Rice, Minnesota, US",5,6,20.00
"Cass, Minnesota, US",4,4,0.00
"Faribault, Minnesota, US",4,4,0.00
"Isanti, Minnesota, US",4,4,0.00
"Otter Tail, Minnesota, US",4,4,0.00
"Watonwan, Minnesota, US",4,4,0.00
"Clearwater, Minnesota, US",3,3,0.00
"Meeker, Minnesota, US",3,3,0.00
"Renville, Minnesota, US",3,3,0.00
"Waseca, Minnesota, US",3,3,0.00
"Yellow Medicine, Minnesota, US",3,3,0.00
"Itasca, Minnesota, US",2,2,0.00
"Kandiyohi, Minnesota, US",2,2,0.00
"Lincoln, Minnesota, US",2,2,0.00
"McLeod, Minnesota, US",2,2,0.00
"Nobles, Minnesota, US",2,12,500.00
"Rock, Minnesota, US",2,3,50.00
"Todd, Minnesota, US",2,2,0.00
"Traverse, Minnesota, US",2,2,0.00
"Becker, Minnesota, US",1,1,0.00
"Benton, Minnesota, US",1,4,300.00
"Big Stone, Minnesota, US",1,1,0.00
"Douglas, Minnesota, US",1,1,0.00
"Houston, Minnesota, US",1,1,0.00
"Jackson, Minnesota, US",1,1,0.00
"Koochiching, Minnesota, US",1,1,0.00
"Lac qui Parle,Minnesota,US",1,1,0.00
"Mahnomen, Minnesota, US",1,1,0.00
"Murray, Minnesota, US",1,2,100.00
"Norman, Minnesota, US",1,2,100.00
"Pipestone, Minnesota, US",1,1,0.00
"Polk, Minnesota, US",1,2,100.00
"Red Lake, Minnesota, US",1,1,0.00
"Redwood, Minnesota, US",1,1,0.00
"Roseau, Minnesota, US",1,1,0.00
"Sibley, Minnesota, US",1,1,0.00
"Swift, Minnesota, US",1,1,0.00
"Aitkin, Minnesota, US",0,1,0.00
"Chippewa, Minnesota, US",0,0,0.00
"Cook, Minnesota, US",0,0,0.00
"Grant, Minnesota, US",0,0,0.00
"Hubbard, Minnesota, US",0,0,0.00
"Kanabec, Minnesota, US",0,0,0.00
"Kittson, Minnesota, US",0,0,0.00
"Lake, Minnesota, US",0,0,0.00
"Lake of the Woods, Minnesota, US",0,0,0.00
"Marshall, Minnesota, US",0,0,0.00
"Mille Lacs, Minnesota, US",0,1,0.00
"Morrison, Minnesota, US",0,0,0.00
"Out of MN, Minnesota, US",0,0,0.00
"Pennington, Minnesota, US",0,0,0.00
"Pope, Minnesota, US",0,0,0.00
"Stevens, Minnesota, US",0,0,0.00
"Wadena, Minnesota, US",0,0,0.00
