Location,11/13/20,11/14/20,delta
"Hennepin, Minnesota, US",47534,49262,3.64
"Ramsey, Minnesota, US",20009,20698,3.44
"Anoka, Minnesota, US",14815,15539,4.89
"Dakota, Minnesota, US",14491,15081,4.07
"Washington, Minnesota, US",9711,10119,4.20
"Stearns, Minnesota, US",9365,9724,3.83
"Scott, Minnesota, US",5336,5596,4.87
"St. Louis, Minnesota, US",5216,5402,3.57
"Wright, Minnesota, US",4587,4863,6.02
"Olmsted, Minnesota, US",4438,4643,4.62
"Sherburne, Minnesota, US",3657,3810,4.18
"Clay, Minnesota, US",3582,3693,3.10
"Blue Earth, Minnesota, US",2781,2890,3.92
"Nobles, Minnesota, US",2714,2755,1.51
"Carver, Minnesota, US",2712,2889,6.53
"Kandiyohi, Minnesota, US",2476,2609,5.37
"Rice, Minnesota, US",2466,2600,5.43
"Crow Wing, Minnesota, US",2211,2332,5.47
"Chisago, Minnesota, US",2098,2208,5.24
"Winona, Minnesota, US",1943,1986,2.21
"Benton, Minnesota, US",1907,1987,4.20
"Mower, Minnesota, US",1720,1752,1.86
"Otter Tail, Minnesota, US",1674,1795,7.23
"Polk, Minnesota, US",1591,1638,2.95
"Douglas, Minnesota, US",1483,1575,6.20
"Lyon, Minnesota, US",1430,1503,5.10
"Beltrami, Minnesota, US",1425,1471,3.23
"Todd, Minnesota, US",1345,1389,3.27
"Morrison, Minnesota, US",1296,1348,4.01
"Itasca, Minnesota, US",1258,1291,2.62
"Becker, Minnesota, US",1158,1253,8.20
"Isanti, Minnesota, US",1129,1209,7.09
"McLeod, Minnesota, US",1113,1181,6.11
"Steele, Minnesota, US",1074,1138,5.96
"Carlton, Minnesota, US",1068,1108,3.75
"Goodhue, Minnesota, US",1060,1106,4.34
"Nicollet, Minnesota, US",1042,1088,4.41
"Waseca, Minnesota, US",1031,1048,1.65
"Mille Lacs, Minnesota, US",967,1018,5.27
"Freeborn, Minnesota, US",946,995,5.18
"Le Sueur, Minnesota, US",926,959,3.56
"Pine, Minnesota, US",858,891,3.85
"Cass, Minnesota, US",833,888,6.60
"Martin, Minnesota, US",760,775,1.97
"Hubbard, Minnesota, US",718,754,5.01
"Brown, Minnesota, US",693,752,8.51
"Meeker, Minnesota, US",648,703,8.49
"Roseau, Minnesota, US",645,681,5.58
"Watonwan, Minnesota, US",642,653,1.71
"Chippewa, Minnesota, US",620,636,2.58
"Wabasha, Minnesota, US",587,606,3.24
"Dodge, Minnesota, US",525,541,3.05
"Pipestone, Minnesota, US",495,533,7.68
"Wadena, Minnesota, US",479,504,5.22
"Rock, Minnesota, US",471,489,3.82
"Redwood, Minnesota, US",468,520,11.11
"Cottonwood, Minnesota, US",448,494,10.27
"Renville, Minnesota, US",447,490,9.62
"Houston, Minnesota, US",438,456,4.11
"Yellow Medicine, Minnesota, US",430,449,4.42
"Aitkin, Minnesota, US",418,458,9.57
"Sibley, Minnesota, US",409,440,7.58
"Fillmore,Minnesota,US",404,423,4.70
"Murray, Minnesota, US",401,424,5.74
"Kanabec, Minnesota, US",388,400,3.09
"Pennington, Minnesota, US",358,375,4.75
"Swift, Minnesota, US",357,369,3.36
"Faribault, Minnesota, US",341,354,3.81
"Pope, Minnesota, US",316,344,8.86
"Jackson, Minnesota, US",307,314,2.28
"Marshall, Minnesota, US",295,308,4.41
"Stevens, Minnesota, US",292,338,15.75
"Clearwater, Minnesota, US",280,296,5.71
"Lincoln, Minnesota, US",248,256,3.23
"Koochiching, Minnesota, US",243,256,5.35
"Norman, Minnesota, US",236,245,3.81
"Wilkin, Minnesota, US",230,244,6.09
"Big Stone, Minnesota, US",225,233,3.56
"Lac qui Parle,Minnesota,US",217,228,5.07
"Lake, Minnesota, US",216,220,1.85
"Mahnomen, Minnesota, US",168,179,6.55
"Grant, Minnesota, US",156,167,7.05
"Red Lake, Minnesota, US",132,136,3.03
"Kittson, Minnesota, US",121,127,4.96
"Traverse, Minnesota, US",89,95,6.74
"Lake of the Woods, Minnesota, US",67,70,4.48
"Cook, Minnesota, US",39,40,2.56
"Out of MN, Minnesota, US",0,0,0.00
