Location,3/21/20,3/22/20,delta
"DeSoto, Mississippi, US",13,18,38.46
"Harrison, Mississippi, US",8,15,87.50
"Hinds, Mississippi, US",7,20,185.71
"Leflore, Mississippi, US",7,8,14.29
"Pearl River, Mississippi, US",7,10,42.86
"Coahoma, Mississippi, US",5,7,40.00
"Forrest, Mississippi, US",5,11,120.00
"Hancock, Mississippi, US",4,4,0.00
"Holmes, Mississippi, US",3,6,100.00
"Jackson, Mississippi, US",3,5,66.67
"Madison, Mississippi, US",3,9,200.00
"Rankin, Mississippi, US",3,7,133.33
"Tippah, Mississippi, US",3,7,133.33
"Adams, Mississippi, US",2,1,-50.00
"Bolivar, Mississippi, US",2,3,50.00
"Copiah, Mississippi, US",2,4,100.00
"Franklin, Mississippi, US",2,3,50.00
"Monroe, Mississippi, US",2,2,0.00
"Clay, Mississippi, US",1,1,0.00
"George, Mississippi, US",1,1,0.00
"Grenada, Mississippi, US",1,2,100.00
"Humphreys, Mississippi, US",1,1,0.00
"Jones, Mississippi, US",1,1,0.00
"Lafayette, Mississippi, US",1,5,400.00
"Lawrence, Mississippi, US",1,2,100.00
"Lee, Mississippi, US",1,6,500.00
"Marshall, Mississippi, US",1,3,200.00
"Perry, Mississippi, US",1,1,0.00
"Pike, Mississippi, US",1,3,200.00
"Smith, Mississippi, US",1,1,0.00
"Walthall, Mississippi, US",1,2,100.00
"Webster, Mississippi, US",1,1,0.00
"Wilkinson, Mississippi, US",1,3,200.00
"Winston, Mississippi, US",1,2,100.00
"Yazoo, Mississippi, US",1,1,0.00
"Alcorn, Mississippi, US",0,0,0.00
"Amite, Mississippi, US",0,0,0.00
"Attala, Mississippi, US",0,1,0.00
"Benton, Mississippi, US",0,0,0.00
"Calhoun, Mississippi, US",0,0,0.00
"Carroll, Mississippi, US",0,0,0.00
"Chickasaw, Mississippi, US",0,1,0.00
"Choctaw, Mississippi, US",0,0,0.00
"Claiborne, Mississippi, US",0,0,0.00
"Clarke, Mississippi, US",0,0,0.00
"Covington, Mississippi, US",0,0,0.00
"Greene, Mississippi, US",0,0,0.00
"Issaquena, Mississippi, US",0,0,0.00
"Itawamba, Mississippi, US",0,3,0.00
"Jasper, Mississippi, US",0,0,0.00
"Jefferson, Mississippi, US",0,0,0.00
"Jefferson Davis, Mississippi, US",0,0,0.00
"Kemper, Mississippi, US",0,0,0.00
"Lamar, Mississippi, US",0,0,0.00
"Lauderdale, Mississippi, US",0,0,0.00
"Leake, Mississippi, US",0,1,0.00
"Lincoln, Mississippi, US",0,4,0.00
"Lowndes, Mississippi, US",0,4,0.00
"Marion, Mississippi, US",0,0,0.00
"Montgomery, Mississippi, US",0,1,0.00
"Neshoba, Mississippi, US",0,0,0.00
"Newton, Mississippi, US",0,0,0.00
"Noxubee, Mississippi, US",0,0,0.00
"Oktibbeha, Mississippi, US",0,2,0.00
"Out of MS, Mississippi, US",0,0,0.00
"Panola, Mississippi, US",0,2,0.00
"Pontotoc, Mississippi, US",0,1,0.00
"Prentiss, Mississippi, US",0,0,0.00
"Quitman, Mississippi, US",0,0,0.00
"Scott, Mississippi, US",0,1,0.00
"Sharkey, Mississippi, US",0,0,0.00
"Simpson, Mississippi, US",0,1,0.00
"Stone, Mississippi, US",0,0,0.00
"Sunflower, Mississippi, US",0,2,0.00
"Tallahatchie, Mississippi, US",0,0,0.00
"Tate, Mississippi, US",0,1,0.00
"Tishomingo, Mississippi, US",0,0,0.00
"Tunica, Mississippi, US",0,2,0.00
"Union, Mississippi, US",0,1,0.00
"Warren, Mississippi, US",0,0,0.00
"Washington, Mississippi, US",0,3,0.00
"Wayne, Mississippi, US",0,0,0.00
"Yalobusha, Mississippi, US",0,0,0.00
