Location,3/30/20,3/31/20,delta
"DeSoto, Mississippi, US",71,84,18.31
"Hinds, Mississippi, US",66,90,36.36
"Harrison, Mississippi, US",43,45,4.65
"Madison, Mississippi, US",37,42,13.51
"Rankin, Mississippi, US",35,40,14.29
"Jackson, Mississippi, US",34,40,17.65
"Pearl River, Mississippi, US",27,30,11.11
"Tippah, Mississippi, US",23,26,13.04
"Lee, Mississippi, US",21,24,14.29
"Forrest, Mississippi, US",19,21,10.53
"Coahoma, Mississippi, US",18,21,16.67
"Washington, Mississippi, US",16,20,25.00
"Hancock, Mississippi, US",15,16,6.67
"Lauderdale, Mississippi, US",15,35,133.33
"Leflore, Mississippi, US",15,19,26.67
"Oktibbeha, Mississippi, US",15,17,13.33
"Pike, Mississippi, US",14,17,21.43
"Holmes, Mississippi, US",13,15,15.38
"Lafayette, Mississippi, US",13,15,15.38
"Marshall, Mississippi, US",13,14,7.69
"Wilkinson, Mississippi, US",12,14,16.67
"Bolivar, Mississippi, US",11,22,100.00
"Chickasaw, Mississippi, US",10,13,30.00
"Lowndes, Mississippi, US",10,11,10.00
"Sunflower, Mississippi, US",10,11,10.00
"Attala, Mississippi, US",9,10,11.11
"Lincoln, Mississippi, US",9,11,22.22
"Tate, Mississippi, US",9,11,22.22
"Copiah, Mississippi, US",8,9,12.50
"Adams, Mississippi, US",7,10,42.86
"Scott, Mississippi, US",7,10,42.86
"Montgomery, Mississippi, US",6,7,16.67
"Tunica, Mississippi, US",6,12,100.00
"Choctaw, Mississippi, US",5,6,20.00
"Jones, Mississippi, US",5,6,20.00
"Lawrence, Mississippi, US",5,5,0.00
"Leake, Mississippi, US",5,5,0.00
"Monroe, Mississippi, US",5,6,20.00
"Panola, Mississippi, US",5,7,40.00
"Walthall, Mississippi, US",5,5,0.00
"Yazoo, Mississippi, US",5,9,80.00
"Amite, Mississippi, US",4,4,0.00
"Benton, Mississippi, US",4,4,0.00
"Lamar, Mississippi, US",4,5,25.00
"Marion, Mississippi, US",4,5,25.00
"Neshoba, Mississippi, US",4,4,0.00
"Prentiss, Mississippi, US",4,4,0.00
"Quitman, Mississippi, US",4,3,-25.00
"Winston, Mississippi, US",4,7,75.00
"Calhoun, Mississippi, US",3,3,0.00
"Franklin, Mississippi, US",3,3,0.00
"George, Mississippi, US",3,3,0.00
"Grenada, Mississippi, US",3,3,0.00
"Itawamba, Mississippi, US",3,3,0.00
"Pontotoc, Mississippi, US",3,5,66.67
"Union, Mississippi, US",3,3,0.00
"Webster, Mississippi, US",3,5,66.67
"Yalobusha, Mississippi, US",3,6,100.00
"Clay, Mississippi, US",2,4,100.00
"Humphreys, Mississippi, US",2,3,50.00
"Noxubee, Mississippi, US",2,3,50.00
"Perry, Mississippi, US",2,3,50.00
"Simpson, Mississippi, US",2,2,0.00
"Tallahatchie, Mississippi, US",2,2,0.00
"Carroll, Mississippi, US",1,1,0.00
"Claiborne, Mississippi, US",1,1,0.00
"Clarke, Mississippi, US",1,4,300.00
"Covington, Mississippi, US",1,2,100.00
"Jefferson, Mississippi, US",1,1,0.00
"Kemper, Mississippi, US",1,1,0.00
"Newton, Mississippi, US",1,2,100.00
"Sharkey, Mississippi, US",1,1,0.00
"Smith, Mississippi, US",1,1,0.00
"Warren, Mississippi, US",1,1,0.00
"Alcorn, Mississippi, US",0,3,0.00
"Greene, Mississippi, US",0,0,0.00
"Issaquena, Mississippi, US",0,0,0.00
"Jasper, Mississippi, US",0,0,0.00
"Jefferson Davis, Mississippi, US",0,0,0.00
"Out of MS, Mississippi, US",0,0,0.00
"Stone, Mississippi, US",0,0,0.00
"Tishomingo, Mississippi, US",0,1,0.00
"Wayne, Mississippi, US",0,0,0.00
