Location,3/29/20,3/30/20,delta
"DeSoto, Mississippi, US",71,71,0.00
"Hinds, Mississippi, US",66,66,0.00
"Harrison, Mississippi, US",43,43,0.00
"Madison, Mississippi, US",37,37,0.00
"Rankin, Mississippi, US",35,35,0.00
"Jackson, Mississippi, US",34,34,0.00
"Pearl River, Mississippi, US",27,27,0.00
"Tippah, Mississippi, US",23,23,0.00
"Lee, Mississippi, US",21,21,0.00
"Forrest, Mississippi, US",19,19,0.00
"Coahoma, Mississippi, US",18,18,0.00
"Washington, Mississippi, US",16,16,0.00
"Hancock, Mississippi, US",15,15,0.00
"Lauderdale, Mississippi, US",15,15,0.00
"Leflore, Mississippi, US",15,15,0.00
"Oktibbeha, Mississippi, US",15,15,0.00
"Pike, Mississippi, US",14,14,0.00
"Holmes, Mississippi, US",13,13,0.00
"Lafayette, Mississippi, US",13,13,0.00
"Marshall, Mississippi, US",13,13,0.00
"Wilkinson, Mississippi, US",12,12,0.00
"Bolivar, Mississippi, US",11,11,0.00
"Chickasaw, Mississippi, US",10,10,0.00
"Lowndes, Mississippi, US",10,10,0.00
"Sunflower, Mississippi, US",10,10,0.00
"Attala, Mississippi, US",9,9,0.00
"Lincoln, Mississippi, US",9,9,0.00
"Tate, Mississippi, US",9,9,0.00
"Copiah, Mississippi, US",8,8,0.00
"Adams, Mississippi, US",7,7,0.00
"Scott, Mississippi, US",7,7,0.00
"Montgomery, Mississippi, US",6,6,0.00
"Tunica, Mississippi, US",6,6,0.00
"Choctaw, Mississippi, US",5,5,0.00
"Jones, Mississippi, US",5,5,0.00
"Lawrence, Mississippi, US",5,5,0.00
"Leake, Mississippi, US",5,5,0.00
"Monroe, Mississippi, US",5,5,0.00
"Panola, Mississippi, US",5,5,0.00
"Walthall, Mississippi, US",5,5,0.00
"Yazoo, Mississippi, US",5,5,0.00
"Amite, Mississippi, US",4,4,0.00
"Benton, Mississippi, US",4,4,0.00
"Lamar, Mississippi, US",4,4,0.00
"Marion, Mississippi, US",4,4,0.00
"Neshoba, Mississippi, US",4,4,0.00
"Prentiss, Mississippi, US",4,4,0.00
"Quitman, Mississippi, US",4,4,0.00
"Winston, Mississippi, US",4,4,0.00
"Calhoun, Mississippi, US",3,3,0.00
"Franklin, Mississippi, US",3,3,0.00
"George, Mississippi, US",3,3,0.00
"Grenada, Mississippi, US",3,3,0.00
"Itawamba, Mississippi, US",3,3,0.00
"Pontotoc, Mississippi, US",3,3,0.00
"Union, Mississippi, US",3,3,0.00
"Webster, Mississippi, US",3,3,0.00
"Yalobusha, Mississippi, US",3,3,0.00
"Clay, Mississippi, US",2,2,0.00
"Humphreys, Mississippi, US",2,2,0.00
"Noxubee, Mississippi, US",2,2,0.00
"Perry, Mississippi, US",2,2,0.00
"Simpson, Mississippi, US",2,2,0.00
"Tallahatchie, Mississippi, US",2,2,0.00
"Alcorn, Mississippi, US",1,0,-100.00
"Carroll, Mississippi, US",1,1,0.00
"Claiborne, Mississippi, US",1,1,0.00
"Clarke, Mississippi, US",1,1,0.00
"Covington, Mississippi, US",1,1,0.00
"Jefferson, Mississippi, US",1,1,0.00
"Kemper, Mississippi, US",1,1,0.00
"Newton, Mississippi, US",1,1,0.00
"Sharkey, Mississippi, US",1,1,0.00
"Smith, Mississippi, US",1,1,0.00
"Warren, Mississippi, US",1,1,0.00
"Greene, Mississippi, US",0,0,0.00
"Issaquena, Mississippi, US",0,0,0.00
"Jasper, Mississippi, US",0,0,0.00
"Jefferson Davis, Mississippi, US",0,0,0.00
"Out of MS, Mississippi, US",0,0,0.00
"Stone, Mississippi, US",0,0,0.00
"Tishomingo, Mississippi, US",0,0,0.00
"Wayne, Mississippi, US",0,0,0.00
