Location,1/22/20,1/23/20,delta
"Adams, Mississippi, US",0,0,0.00
"Alcorn, Mississippi, US",0,0,0.00
"Amite, Mississippi, US",0,0,0.00
"Attala, Mississippi, US",0,0,0.00
"Benton, Mississippi, US",0,0,0.00
"Bolivar, Mississippi, US",0,0,0.00
"Calhoun, Mississippi, US",0,0,0.00
"Carroll, Mississippi, US",0,0,0.00
"Chickasaw, Mississippi, US",0,0,0.00
"Choctaw, Mississippi, US",0,0,0.00
"Claiborne, Mississippi, US",0,0,0.00
"Clarke, Mississippi, US",0,0,0.00
"Clay, Mississippi, US",0,0,0.00
"Coahoma, Mississippi, US",0,0,0.00
"Copiah, Mississippi, US",0,0,0.00
"Covington, Mississippi, US",0,0,0.00
"DeSoto, Mississippi, US",0,0,0.00
"Forrest, Mississippi, US",0,0,0.00
"Franklin, Mississippi, US",0,0,0.00
"George, Mississippi, US",0,0,0.00
"Greene, Mississippi, US",0,0,0.00
"Grenada, Mississippi, US",0,0,0.00
"Hancock, Mississippi, US",0,0,0.00
"Harrison, Mississippi, US",0,0,0.00
"Hinds, Mississippi, US",0,0,0.00
"Holmes, Mississippi, US",0,0,0.00
"Humphreys, Mississippi, US",0,0,0.00
"Issaquena, Mississippi, US",0,0,0.00
"Itawamba, Mississippi, US",0,0,0.00
"Jackson, Mississippi, US",0,0,0.00
"Jasper, Mississippi, US",0,0,0.00
"Jefferson, Mississippi, US",0,0,0.00
"Jefferson Davis, Mississippi, US",0,0,0.00
"Jones, Mississippi, US",0,0,0.00
"Kemper, Mississippi, US",0,0,0.00
"Lafayette, Mississippi, US",0,0,0.00
"Lamar, Mississippi, US",0,0,0.00
"Lauderdale, Mississippi, US",0,0,0.00
"Lawrence, Mississippi, US",0,0,0.00
"Leake, Mississippi, US",0,0,0.00
"Lee, Mississippi, US",0,0,0.00
"Leflore, Mississippi, US",0,0,0.00
"Lincoln, Mississippi, US",0,0,0.00
"Lowndes, Mississippi, US",0,0,0.00
"Madison, Mississippi, US",0,0,0.00
"Marion, Mississippi, US",0,0,0.00
"Marshall, Mississippi, US",0,0,0.00
"Monroe, Mississippi, US",0,0,0.00
"Montgomery, Mississippi, US",0,0,0.00
"Neshoba, Mississippi, US",0,0,0.00
"Newton, Mississippi, US",0,0,0.00
"Noxubee, Mississippi, US",0,0,0.00
"Oktibbeha, Mississippi, US",0,0,0.00
"Out of MS, Mississippi, US",0,0,0.00
"Panola, Mississippi, US",0,0,0.00
"Pearl River, Mississippi, US",0,0,0.00
"Perry, Mississippi, US",0,0,0.00
"Pike, Mississippi, US",0,0,0.00
"Pontotoc, Mississippi, US",0,0,0.00
"Prentiss, Mississippi, US",0,0,0.00
"Quitman, Mississippi, US",0,0,0.00
"Rankin, Mississippi, US",0,0,0.00
"Scott, Mississippi, US",0,0,0.00
"Sharkey, Mississippi, US",0,0,0.00
"Simpson, Mississippi, US",0,0,0.00
"Smith, Mississippi, US",0,0,0.00
"Stone, Mississippi, US",0,0,0.00
"Sunflower, Mississippi, US",0,0,0.00
"Tallahatchie, Mississippi, US",0,0,0.00
"Tate, Mississippi, US",0,0,0.00
"Tippah, Mississippi, US",0,0,0.00
"Tishomingo, Mississippi, US",0,0,0.00
"Tunica, Mississippi, US",0,0,0.00
"Union, Mississippi, US",0,0,0.00
"Walthall, Mississippi, US",0,0,0.00
"Warren, Mississippi, US",0,0,0.00
"Washington, Mississippi, US",0,0,0.00
"Wayne, Mississippi, US",0,0,0.00
"Webster, Mississippi, US",0,0,0.00
"Wilkinson, Mississippi, US",0,0,0.00
"Winston, Mississippi, US",0,0,0.00
"Yalobusha, Mississippi, US",0,0,0.00
"Yazoo, Mississippi, US",0,0,0.00
