Location,3/26/20,3/27/20,delta
"DeSoto, Mississippi, US",49,63,28.57
"Hinds, Mississippi, US",43,50,16.28
"Harrison, Mississippi, US",31,34,9.68
"Rankin, Mississippi, US",23,29,26.09
"Madison, Mississippi, US",21,25,19.05
"Coahoma, Mississippi, US",17,18,5.88
"Forrest, Mississippi, US",16,16,0.00
"Jackson, Mississippi, US",16,24,50.00
"Pearl River, Mississippi, US",16,18,12.50
"Lee, Mississippi, US",15,15,0.00
"Tippah, Mississippi, US",14,15,7.14
"Leflore, Mississippi, US",13,13,0.00
"Pike, Mississippi, US",12,12,0.00
"Lafayette, Mississippi, US",10,11,10.00
"Oktibbeha, Mississippi, US",10,12,20.00
"Washington, Mississippi, US",9,11,22.22
"Copiah, Mississippi, US",8,8,0.00
"Lowndes, Mississippi, US",8,9,12.50
"Wilkinson, Mississippi, US",8,9,12.50
"Attala, Mississippi, US",7,8,14.29
"Chickasaw, Mississippi, US",7,9,28.57
"Holmes, Mississippi, US",7,10,42.86
"Marshall, Mississippi, US",7,9,28.57
"Bolivar, Mississippi, US",6,9,50.00
"Hancock, Mississippi, US",6,9,50.00
"Lincoln, Mississippi, US",6,6,0.00
"Tate, Mississippi, US",6,8,33.33
"Lawrence, Mississippi, US",5,5,0.00
"Tunica, Mississippi, US",5,6,20.00
"Choctaw, Mississippi, US",4,4,0.00
"Lamar, Mississippi, US",4,4,0.00
"Leake, Mississippi, US",4,4,0.00
"Montgomery, Mississippi, US",4,4,0.00
"Panola, Mississippi, US",4,4,0.00
"Scott, Mississippi, US",4,6,50.00
"Sunflower, Mississippi, US",4,5,25.00
"Walthall, Mississippi, US",4,4,0.00
"Adams, Mississippi, US",3,6,100.00
"Calhoun, Mississippi, US",3,3,0.00
"Itawamba, Mississippi, US",3,3,0.00
"Lauderdale, Mississippi, US",3,10,233.33
"Monroe, Mississippi, US",3,3,0.00
"Pontotoc, Mississippi, US",3,4,33.33
"Winston, Mississippi, US",3,3,0.00
"Yalobusha, Mississippi, US",3,3,0.00
"Yazoo, Mississippi, US",3,4,33.33
"Franklin, Mississippi, US",2,2,0.00
"Grenada, Mississippi, US",2,2,0.00
"Quitman, Mississippi, US",2,3,50.00
"Tallahatchie, Mississippi, US",2,2,0.00
"Union, Mississippi, US",2,3,50.00
"Webster, Mississippi, US",2,3,50.00
"Amite, Mississippi, US",1,0,-100.00
"Benton, Mississippi, US",1,2,100.00
"Clay, Mississippi, US",1,2,100.00
"George, Mississippi, US",1,1,0.00
"Humphreys, Mississippi, US",1,1,0.00
"Jones, Mississippi, US",1,1,0.00
"Marion, Mississippi, US",1,1,0.00
"Newton, Mississippi, US",1,1,0.00
"Noxubee, Mississippi, US",1,1,0.00
"Perry, Mississippi, US",1,2,100.00
"Prentiss, Mississippi, US",1,1,0.00
"Simpson, Mississippi, US",1,1,0.00
"Smith, Mississippi, US",1,1,0.00
"Alcorn, Mississippi, US",0,0,0.00
"Carroll, Mississippi, US",0,0,0.00
"Claiborne, Mississippi, US",0,0,0.00
"Clarke, Mississippi, US",0,0,0.00
"Covington, Mississippi, US",0,0,0.00
"Greene, Mississippi, US",0,0,0.00
"Issaquena, Mississippi, US",0,0,0.00
"Jasper, Mississippi, US",0,0,0.00
"Jefferson, Mississippi, US",0,1,0.00
"Jefferson Davis, Mississippi, US",0,0,0.00
"Kemper, Mississippi, US",0,1,0.00
"Neshoba, Mississippi, US",0,1,0.00
"Out of MS, Mississippi, US",0,0,0.00
"Sharkey, Mississippi, US",0,1,0.00
"Stone, Mississippi, US",0,0,0.00
"Tishomingo, Mississippi, US",0,0,0.00
"Warren, Mississippi, US",0,0,0.00
"Wayne, Mississippi, US",0,0,0.00
