"St. Louis, Missouri, US",89767,89929,0.18
"Kansas City,Missouri,US",36890,41721,13.10
"St. Charles, Missouri, US",33156,40055,20.81
"Jackson, Missouri, US",30343,36504,20.30
"Greene, Missouri, US",23603,27295,15.64
"St. Louis City, Missouri, US",21787,21787,0.00
"Jefferson, Missouri, US",19109,21441,12.20
"Boone, Missouri, US",16003,17273,7.94
"Jasper,Missouri,US",12298,15133,23.05
"Cole, Missouri, US",8615,8969,4.11
"Franklin, Missouri, US",8480,10115,19.28
"Clay, Missouri, US",7973,9607,20.49
"St. Francois, Missouri, US",7620,8705,14.24
"Cape Girardeau, Missouri, US",7532,8818,17.07
"Cass, Missouri, US",7322,8756,19.58
"Buchanan, Missouri, US",6984,9139,30.86
"Christian, Missouri, US",6923,8167,17.97
"Pettis, Missouri, US",4823,5027,4.23
"Taney, Missouri, US",4613,5128,11.16
"Callaway, Missouri, US",4535,4827,6.44
"Lincoln, Missouri, US",4334,5380,24.13
"Newton, Missouri, US",4105,5162,25.75
"Johnson, Missouri, US",3894,4831,24.06
"Scott, Missouri, US",3855,4635,20.23
"Camden, Missouri, US",3740,3965,6.02
"Butler, Missouri, US",3573,4036,12.96
"Platte, Missouri, US",3148,3946,25.35
"Phelps, Missouri, US",3055,3612,18.23
"Webster, Missouri, US",3003,3466,15.42
"Pulaski, Missouri, US",3000,3430,14.33
"Laclede, Missouri, US",2936,3234,10.15
"Howell, Missouri, US",2837,3417,20.44
"Lawrence, Missouri, US",2773,3367,21.42
"Marion, Missouri, US",2659,3129,17.68
"Nodaway, Missouri, US",2600,2600,0.00
"Lafayette, Missouri, US",2597,3024,16.44
"Saline, Missouri, US",2436,2873,17.94
"Dunklin, Missouri, US",2416,2710,12.17
"Stoddard, Missouri, US",2327,2470,6.15
"Miller, Missouri, US",2326,2492,7.14
"Polk, Missouri, US",2210,3129,41.58
"Barry, Missouri, US",2204,2868,30.13
"Washington, Missouri, US",2124,2711,27.64
"Warren, Missouri, US",2109,2944,39.59
"Adair, Missouri, US",2088,2351,12.60
"Audrain, Missouri, US",2082,2725,30.88
"Crawford, Missouri, US",2072,2372,14.48
"Perry, Missouri, US",2057,2134,3.74
"Stone, Missouri, US",2039,2313,13.44
"McDonald, Missouri, US",1935,2277,17.67
"Randolph, Missouri, US",1826,2612,43.04
"New Madrid, Missouri, US",1777,2084,17.28
"Henry, Missouri, US",1754,1982,13.00
"Cooper, Missouri, US",1698,1886,11.07
"Moniteau, Missouri, US",1682,1764,4.88
"Morgan, Missouri, US",1632,1693,3.74
"Ste. Genevieve, Missouri, US",1627,1771,8.85
"Texas, Missouri, US",1546,1805,16.75
"Clinton, Missouri, US",1530,2021,32.09
"Ray, Missouri, US",1526,1879,23.13
"Pike, Missouri, US",1494,1756,17.54
"Benton, Missouri, US",1469,1615,9.94
"Pemiscot, Missouri, US",1413,1535,8.63
"Osage, Missouri, US",1411,1593,12.90
"Vernon, Missouri, US",1405,1910,35.94
"Wright, Missouri, US",1371,1536,12.04
"Madison, Missouri, US",1349,1609,19.27
"Livingston, Missouri, US",1332,1712,28.53
"Andrew, Missouri, US",1287,1839,42.89
"Mississippi, Missouri, US",1277,1387,8.61
"Macon, Missouri, US",1216,1494,22.86
"Bates, Missouri, US",1091,1289,18.15
"Bollinger, Missouri, US",1053,1119,6.27
"Barton, Missouri, US",974,1148,17.86
"DeKalb, Missouri, US",925,1141,23.35
"Gasconade, Missouri, US",888,1519,71.06
"Ripley, Missouri, US",859,1030,19.91
"Carroll, Missouri, US",839,1050,25.15
"Dallas, Missouri, US",831,1247,50.06
"Grundy, Missouri, US",830,1003,20.84
"Dent, Missouri, US",823,904,9.84
"Harrison, Missouri, US",823,925,12.39
"Wayne, Missouri, US",822,1019,23.97
"Douglas, Missouri, US",774,893,15.37
"Ralls, Missouri, US",759,996,31.23
"Sullivan, Missouri, US",748,850,13.64
"Gentry, Missouri, US",735,830,12.93
"Howard, Missouri, US",726,1049,44.49
"Cedar, Missouri, US",707,1086,53.61
"Oregon, Missouri, US",678,843,24.34
"Caldwell, Missouri, US",643,760,18.20
"Lewis, Missouri, US",633,834,31.75
"St. Clair, Missouri, US",608,779,28.13
"Monroe, Missouri, US",599,986,64.61
"Daviess, Missouri, US",588,730,24.15
"Montgomery, Missouri, US",573,989,72.60
"Ozark, Missouri, US",553,669,20.98
"Linn, Missouri, US",547,1185,116.64
"Maries, Missouri, US",541,608,12.38
"Shannon, Missouri, US",483,583,20.70
"Clark, Missouri, US",472,634,34.32
"Hickory, Missouri, US",467,640,37.04
"Iron, Missouri, US",465,898,93.12
"Carter, Missouri, US",428,522,21.96
"Chariton, Missouri, US",425,655,54.12
"Dade, Missouri, US",420,553,31.67
"Holt, Missouri, US",369,420,13.82
"Shelby, Missouri, US",357,503,40.90
"Atchison, Missouri, US",290,429,47.93
"Schuyler, Missouri, US",283,320,13.07
"Scotland, Missouri, US",263,304,15.59
"Reynolds, Missouri, US",261,378,44.83
"Putnam, Missouri, US",225,293,30.22
"Mercer, Missouri, US",181,302,66.85
"Knox, Missouri, US",179,358,100.00
"Worth, Missouri, US",143,163,13.99
"Out of MO, Missouri, US",0,0,0.00
