"St. Louis, Missouri, US",95390,95539,0.16
"Kansas City,Missouri,US",43292,42498,-1.83
"St. Charles, Missouri, US",42274,41633,-1.52
"Jackson, Missouri, US",37815,36820,-2.63
"Greene, Missouri, US",27993,27715,-0.99
"St. Louis City, Missouri, US",23315,23370,0.24
"Jefferson, Missouri, US",22858,22596,-1.15
"Boone, Missouri, US",17766,17640,-0.71
"Jasper,Missouri,US",15468,15272,-1.27
"Franklin, Missouri, US",10596,10433,-1.54
"Clay, Missouri, US",9946,9725,-2.22
"Buchanan, Missouri, US",9319,9156,-1.75
"Cass, Missouri, US",9139,8945,-2.12
"Cole, Missouri, US",9111,9004,-1.17
"Cape Girardeau, Missouri, US",8965,8720,-2.73
"St. Francois, Missouri, US",8874,8685,-2.13
"Christian, Missouri, US",8385,8273,-1.34
"Lincoln, Missouri, US",5724,5625,-1.73
"Newton, Missouri, US",5302,5208,-1.77
"Taney, Missouri, US",5238,5183,-1.05
"Pettis, Missouri, US",5104,5060,-0.86
"Johnson, Missouri, US",4963,4719,-4.92
"Callaway, Missouri, US",4935,4902,-0.67
"Scott, Missouri, US",4726,4666,-1.27
"Butler, Missouri, US",4207,4136,-1.69
"Platte, Missouri, US",4131,4056,-1.82
"Camden, Missouri, US",4067,4036,-0.76
"Phelps, Missouri, US",3844,3759,-2.21
"Marion, Missouri, US",3656,3569,-2.38
"Webster, Missouri, US",3568,3527,-1.15
"Howell, Missouri, US",3522,3428,-2.67
"Pulaski, Missouri, US",3471,3426,-1.30
"Lawrence, Missouri, US",3432,3362,-2.04
"Polk, Missouri, US",3292,3192,-3.04
"Laclede, Missouri, US",3271,3245,-0.79
"Warren, Missouri, US",3101,3053,-1.55
"Lafayette, Missouri, US",3100,3002,-3.16
"Barry, Missouri, US",2904,2866,-1.31
"Saline, Missouri, US",2903,2815,-3.03
"Dunklin, Missouri, US",2801,2763,-1.36
"Audrain, Missouri, US",2775,2691,-3.03
"Washington, Missouri, US",2749,2683,-2.40
"Randolph, Missouri, US",2700,2616,-3.11
"Nodaway, Missouri, US",2680,2680,0.00
"Crawford, Missouri, US",2568,2530,-1.48
"Miller, Missouri, US",2530,2513,-0.67
"Stoddard, Missouri, US",2502,2459,-1.72
"Adair, Missouri, US",2405,2348,-2.37
"Stone, Missouri, US",2398,2385,-0.54
"McDonald, Missouri, US",2363,2313,-2.12
"Perry, Missouri, US",2182,2164,-0.82
"New Madrid, Missouri, US",2121,2091,-1.41
"Clinton, Missouri, US",2046,1929,-5.72
"Henry, Missouri, US",2018,1982,-1.78
"Vernon, Missouri, US",2010,1905,-5.22
"Ray, Missouri, US",1973,1921,-2.64
"Cooper, Missouri, US",1915,1894,-1.10
"Andrew, Missouri, US",1887,1842,-2.38
"Texas, Missouri, US",1836,1812,-1.31
"Ste. Genevieve, Missouri, US",1824,1792,-1.75
"Pike, Missouri, US",1816,1762,-2.97
"Moniteau, Missouri, US",1780,1769,-0.62
"Livingston, Missouri, US",1732,1649,-4.79
"Morgan, Missouri, US",1707,1699,-0.47
"Benton, Missouri, US",1673,1644,-1.73
"Madison, Missouri, US",1643,1608,-2.13
"Osage, Missouri, US",1639,1606,-2.01
"Macon, Missouri, US",1595,1530,-4.08
"Gasconade, Missouri, US",1580,1514,-4.18
"Pemiscot, Missouri, US",1566,1556,-0.64
"Wright, Missouri, US",1564,1540,-1.53
"Mississippi, Missouri, US",1449,1435,-0.97
"Bates, Missouri, US",1334,1296,-2.85
"Dallas, Missouri, US",1258,1234,-1.91
"Linn, Missouri, US",1218,1168,-4.11
"Barton, Missouri, US",1174,1160,-1.19
"DeKalb, Missouri, US",1155,1122,-2.86
"Bollinger, Missouri, US",1131,1101,-2.65
"Cedar, Missouri, US",1096,1061,-3.19
"Ripley, Missouri, US",1084,1056,-2.58
"Carroll, Missouri, US",1070,1024,-4.30
"Howard, Missouri, US",1064,1042,-2.07
"Ralls, Missouri, US",1062,1044,-1.69
"Lewis, Missouri, US",1049,989,-5.72
"Wayne, Missouri, US",1045,1027,-1.72
"Montgomery, Missouri, US",1040,1020,-1.92
"Monroe, Missouri, US",1022,996,-2.54
"Grundy, Missouri, US",1009,982,-2.68
"Dent, Missouri, US",948,942,-0.63
"Harrison, Missouri, US",928,874,-5.82
"Iron, Missouri, US",907,864,-4.74
"Douglas, Missouri, US",904,891,-1.44
"Sullivan, Missouri, US",862,840,-2.55
"Oregon, Missouri, US",851,794,-6.70
"Gentry, Missouri, US",841,822,-2.26
"St. Clair, Missouri, US",793,775,-2.27
"Caldwell, Missouri, US",781,749,-4.10
"Daviess, Missouri, US",739,696,-5.82
"Ozark, Missouri, US",681,642,-5.73
"Chariton, Missouri, US",674,661,-1.93
"Clark, Missouri, US",673,663,-1.49
"Hickory, Missouri, US",647,639,-1.24
"Maries, Missouri, US",638,628,-1.57
"Shannon, Missouri, US",599,582,-2.84
"Shelby, Missouri, US",590,566,-4.07
"Dade, Missouri, US",577,573,-0.69
"Carter, Missouri, US",553,538,-2.71
"Atchison, Missouri, US",450,445,-1.11
"Holt, Missouri, US",435,431,-0.92
"Knox, Missouri, US",385,372,-3.38
"Reynolds, Missouri, US",385,375,-2.60
"Schuyler, Missouri, US",333,332,-0.30
"Scotland, Missouri, US",309,305,-1.29
"Mercer, Missouri, US",305,298,-2.30
"Putnam, Missouri, US",297,297,0.00
"Worth, Missouri, US",164,162,-1.22
"Out of MO, Missouri, US",0,0,0.00
