Location,4/5/20,4/6/20,delta
"St. Louis, Missouri, US",1055,1245,18.01
"St. Louis City, Missouri, US",508,557,9.65
"Kansas City,Missouri,US",172,212,23.26
"St. Charles, Missouri, US",151,188,24.50
"Jackson, Missouri, US",135,155,14.81
"Boone, Missouri, US",75,76,1.33
"Jefferson, Missouri, US",69,81,17.39
"Greene, Missouri, US",64,69,7.81
"Clay, Missouri, US",32,37,15.63
"Johnson, Missouri, US",29,32,10.34
"Cole, Missouri, US",28,31,10.71
"Lafayette, Missouri, US",26,28,7.69
"Franklin, Missouri, US",24,33,37.50
"Cass, Missouri, US",22,26,18.18
"Perry, Missouri, US",22,28,27.27
"Camden, Missouri, US",21,24,14.29
"Callaway, Missouri, US",18,19,5.56
"Cape Girardeau, Missouri, US",16,20,25.00
"Christian, Missouri, US",16,17,6.25
"Lincoln, Missouri, US",16,18,12.50
"St. Francois, Missouri, US",15,17,13.33
"Platte, Missouri, US",14,17,21.43
"Jasper,Missouri,US",11,13,18.18
"Adair, Missouri, US",10,10,0.00
"Pulaski, Missouri, US",10,11,10.00
"Buchanan, Missouri, US",8,11,37.50
"Clinton, Missouri, US",7,8,14.29
"Dunklin, Missouri, US",7,8,14.29
"Randolph, Missouri, US",7,7,0.00
"Scott, Missouri, US",7,10,42.86
"Stoddard, Missouri, US",7,7,0.00
"Warren, Missouri, US",7,9,28.57
"Newton, Missouri, US",6,6,0.00
"Ste. Genevieve, Missouri, US",6,6,0.00
"Wright, Missouri, US",6,7,16.67
"Cedar, Missouri, US",5,4,-20.00
"Taney, Missouri, US",5,7,40.00
"Carter, Missouri, US",4,3,-25.00
"Chariton, Missouri, US",4,4,0.00
"Montgomery, Missouri, US",4,5,25.00
"Bates, Missouri, US",3,3,0.00
"Benton, Missouri, US",3,3,0.00
"Macon, Missouri, US",3,2,-33.33
"Pemiscot, Missouri, US",3,3,0.00
"Ray, Missouri, US",3,4,33.33
"Webster, Missouri, US",3,3,0.00
"Butler, Missouri, US",2,2,0.00
"Cooper, Missouri, US",2,2,0.00
"Crawford, Missouri, US",2,3,50.00
"Gasconade, Missouri, US",2,2,0.00
"Harrison, Missouri, US",2,3,50.00
"Maries, Missouri, US",2,2,0.00
"McDonald, Missouri, US",2,3,50.00
"Moniteau, Missouri, US",2,4,100.00
"Nodaway, Missouri, US",2,2,0.00
"Osage, Missouri, US",2,3,50.00
"Pettis, Missouri, US",2,2,0.00
"Pike, Missouri, US",2,2,0.00
"Reynolds, Missouri, US",2,2,0.00
"Ripley, Missouri, US",2,2,0.00
"Saline, Missouri, US",2,3,50.00
"Stone, Missouri, US",2,3,50.00
"Atchison, Missouri, US",1,1,0.00
"Barry, Missouri, US",1,1,0.00
"Bollinger, Missouri, US",1,1,0.00
"Caldwell, Missouri, US",1,1,0.00
"Clark, Missouri, US",1,1,0.00
"DeKalb, Missouri, US",1,1,0.00
"Gentry, Missouri, US",1,1,0.00
"Henry, Missouri, US",1,2,100.00
"Howell, Missouri, US",1,1,0.00
"Livingston, Missouri, US",1,1,0.00
"Morgan, Missouri, US",1,1,0.00
"New Madrid, Missouri, US",1,2,100.00
"Phelps, Missouri, US",1,1,0.00
"Ralls, Missouri, US",1,1,0.00
"Shelby, Missouri, US",1,1,0.00
"Texas, Missouri, US",1,0,-100.00
"Andrew, Missouri, US",0,0,0.00
"Audrain, Missouri, US",0,0,0.00
"Barton, Missouri, US",0,0,0.00
"Carroll, Missouri, US",0,0,0.00
"Dade, Missouri, US",0,0,0.00
"Dallas, Missouri, US",0,1,0.00
"Daviess, Missouri, US",0,0,0.00
"Dent, Missouri, US",0,0,0.00
"Douglas, Missouri, US",0,0,0.00
"Grundy, Missouri, US",0,0,0.00
"Hickory, Missouri, US",0,0,0.00
"Holt, Missouri, US",0,0,0.00
"Howard, Missouri, US",0,0,0.00
"Iron, Missouri, US",0,0,0.00
"Knox, Missouri, US",0,0,0.00
"Laclede, Missouri, US",0,0,0.00
"Lawrence, Missouri, US",0,0,0.00
"Lewis, Missouri, US",0,0,0.00
"Linn, Missouri, US",0,2,0.00
"Madison, Missouri, US",0,1,0.00
"Marion, Missouri, US",0,0,0.00
"Mercer, Missouri, US",0,0,0.00
"Miller, Missouri, US",0,0,0.00
"Mississippi, Missouri, US",0,0,0.00
"Monroe, Missouri, US",0,0,0.00
"Oregon, Missouri, US",0,0,0.00
"Out of MO, Missouri, US",0,0,0.00
"Ozark, Missouri, US",0,0,0.00
"Polk, Missouri, US",0,0,0.00
"Putnam, Missouri, US",0,0,0.00
"Schuyler, Missouri, US",0,0,0.00
"Scotland, Missouri, US",0,0,0.00
"Shannon, Missouri, US",0,0,0.00
"St. Clair, Missouri, US",0,0,0.00
"Sullivan, Missouri, US",0,0,0.00
"Vernon, Missouri, US",0,0,0.00
"Washington, Missouri, US",0,0,0.00
"Wayne, Missouri, US",0,0,0.00
"Worth, Missouri, US",0,1,0.00
