Location,11/13/20,11/14/20,delta
"Yellowstone, Montana, US",8637,8818,2.10
"Gallatin, Montana, US",5227,5395,3.21
"Flathead, Montana, US",4780,4915,2.82
"Missoula, Montana, US",3346,3316,-0.90
"Cascade, Montana, US",3003,3512,16.95
"Lewis and Clark, Montana, US",1649,1735,5.22
"Big Horn, Montana, US",1578,1597,1.20
"Roosevelt, Montana, US",1100,1120,1.82
"Glacier, Montana, US",1095,1108,1.19
"Hill, Montana, US",1094,1129,3.20
"Silver Bow, Montana, US",1021,1124,10.09
"Rosebud, Montana, US",917,816,-11.01
"Lake, Montana, US",770,783,1.69
"Ravalli, Montana, US",744,774,4.03
"Deer Lodge, Montana, US",580,601,3.62
"Toole, Montana, US",562,566,0.71
"Lincoln, Montana, US",517,539,4.26
"Custer, Montana, US",499,518,3.81
"Valley, Montana, US",465,488,4.95
"Blaine, Montana, US",455,461,1.32
"Carbon, Montana, US",439,466,6.15
"Richland, Montana, US",431,465,7.89
"Dawson, Montana, US",415,429,3.37
"Beaverhead, Montana, US",412,416,0.97
"Park, Montana, US",399,417,4.51
"Fergus, Montana, US",377,396,5.04
"Powell, Montana, US",318,373,17.30
"Stillwater, Montana, US",314,331,5.41
"Madison, Montana, US",297,309,4.04
"Jefferson, Montana, US",280,296,5.71
"Pondera, Montana, US",217,229,5.53
"Phillips, Montana, US",216,222,2.78
"Sheridan, Montana, US",190,200,5.26
"Chouteau, Montana, US",177,200,12.99
"Musselshell, Montana, US",165,176,6.67
"Sweet Grass, Montana, US",163,177,8.59
"Sanders, Montana, US",154,157,1.95
"Fallon, Montana, US",148,156,5.41
"Broadwater, Montana, US",129,135,4.65
"Teton, Montana, US",120,131,9.17
"Meagher, Montana, US",98,101,3.06
"Granite, Montana, US",92,95,3.26
"Carter, Montana, US",86,95,10.47
"Wheatland, Montana, US",80,81,1.25
"McCone, Montana, US",74,77,4.05
"Powder River, Montana, US",74,72,-2.70
"Daniels, Montana, US",66,68,3.03
"Wibaux, Montana, US",51,57,11.76
"Prairie, Montana, US",44,45,2.27
"Garfield, Montana, US",43,44,2.33
"Liberty, Montana, US",39,43,10.26
"Judith Basin, Montana, US",30,34,13.33
"Treasure, Montana, US",25,28,12.00
"Golden Valley, Montana, US",19,20,5.26
"Mineral, Montana, US",18,26,44.44
"Petroleum, Montana, US",5,4,-20.00
"Out of MT, Montana, US",0,0,0.00
