"Hall, Nebraska, US",403,457,13.40
"Douglas, Nebraska, US",266,280,5.26
"Adams, Nebraska, US",85,98,15.29
"Lancaster, Nebraska, US",63,81,28.57
"Sarpy, Nebraska, US",48,53,10.42
"Buffalo, Nebraska, US",47,52,10.64
"Dawson, Nebraska, US",30,124,313.33
"Gage, Nebraska, US",27,28,3.70
"Dakota, Nebraska, US",22,29,31.82
"Washington, Nebraska, US",20,20,0.00
"Custer, Nebraska, US",18,20,11.11
"Lincoln, Nebraska, US",18,18,0.00
"Scotts Bluff, Nebraska, US",18,22,22.22
"Hamilton, Nebraska, US",16,19,18.75
"Dodge, Nebraska, US",12,16,33.33
"Kimball, Nebraska, US",9,9,0.00
"Madison, Nebraska, US",7,9,28.57
"Merrick, Nebraska, US",6,7,16.67
"Platte, Nebraska, US",6,7,16.67
"Saunders, Nebraska, US",6,6,0.00
"York, Nebraska, US",6,7,16.67
"Polk, Nebraska, US",5,5,0.00
"Cheyenne, Nebraska, US",4,4,0.00
"Colfax, Nebraska, US",4,4,0.00
"Saline, Nebraska, US",4,7,75.00
"Cass, Nebraska, US",3,5,66.67
"Clay, Nebraska, US",3,4,33.33
"Franklin, Nebraska, US",3,3,0.00
"Gosper, Nebraska, US",3,5,66.67
"Kearney, Nebraska, US",3,4,33.33
"Cuming, Nebraska, US",2,2,0.00
"Howard, Nebraska, US",2,3,50.00
"Johnson, Nebraska, US",2,2,0.00
"Knox, Nebraska, US",2,2,0.00
"Antelope, Nebraska, US",1,1,0.00
"Box Butte, Nebraska, US",1,1,0.00
"Burt, Nebraska, US",1,1,0.00
"Butler, Nebraska, US",1,1,0.00
"Cherry, Nebraska, US",1,1,0.00
"Morrill, Nebraska, US",1,1,0.00
"Nance, Nebraska, US",1,1,0.00
"Nemaha, Nebraska, US",1,1,0.00
"Otoe, Nebraska, US",1,1,0.00
"Phelps, Nebraska, US",1,1,0.00
"Pierce, Nebraska, US",1,1,0.00
"Red Willow, Nebraska, US",1,1,0.00
"Seward, Nebraska, US",1,2,100.00
"Stanton, Nebraska, US",1,2,100.00
"Wayne, Nebraska, US",1,1,0.00
"Webster, Nebraska, US",1,2,100.00
"Arthur, Nebraska, US",0,0,0.00
"Banner, Nebraska, US",0,0,0.00
"Blaine, Nebraska, US",0,0,0.00
"Boone, Nebraska, US",0,0,0.00
"Boyd, Nebraska, US",0,0,0.00
"Brown, Nebraska, US",0,0,0.00
"Cedar, Nebraska, US",0,0,0.00
"Chase, Nebraska, US",0,0,0.00
"Dawes, Nebraska, US",0,0,0.00
"Deuel, Nebraska, US",0,0,0.00
"Dixon, Nebraska, US",0,0,0.00
"Dundy, Nebraska, US",0,0,0.00
"Fillmore, Nebraska, US",0,0,0.00
"Frontier, Nebraska, US",0,0,0.00
"Furnas, Nebraska, US",0,2,0.00
"Garden, Nebraska, US",0,0,0.00
"Garfield, Nebraska, US",0,0,0.00
"Grant, Nebraska, US",0,0,0.00
"Greeley, Nebraska, US",0,0,0.00
"Harlan, Nebraska, US",0,0,0.00
"Hayes, Nebraska, US",0,0,0.00
"Hitchcock, Nebraska, US",0,0,0.00
"Holt, Nebraska, US",0,0,0.00
"Hooker, Nebraska, US",0,0,0.00
"Jefferson, Nebraska, US",0,0,0.00
"Keith, Nebraska, US",0,0,0.00
"Keya Paha, Nebraska, US",0,0,0.00
"Logan, Nebraska, US",0,0,0.00
"Loup, Nebraska, US",0,0,0.00
"McPherson, Nebraska, US",0,0,0.00
"Nuckolls, Nebraska, US",0,0,0.00
"Out of NE, Nebraska, US",0,0,0.00
"Pawnee, Nebraska, US",0,0,0.00
"Perkins, Nebraska, US",0,0,0.00
"Richardson, Nebraska, US",0,0,0.00
"Rock, Nebraska, US",0,0,0.00
"Sheridan, Nebraska, US",0,0,0.00
"Sherman, Nebraska, US",0,0,0.00
"Sioux, Nebraska, US",0,0,0.00
"Thayer, Nebraska, US",0,0,0.00
"Thomas, Nebraska, US",0,0,0.00
"Thurston, Nebraska, US",0,1,0.00
"Valley, Nebraska, US",0,0,0.00
"Wheeler, Nebraska, US",0,0,0.00
