Location,10/9/20,10/10/20,delta
"Douglas, Nebraska, US",17736,18190,2.56
"Lancaster, Nebraska, US",7082,7333,3.54
"Sarpy, Nebraska, US",4190,4388,4.73
"Dakota, Nebraska, US",2346,2379,1.41
"Hall, Nebraska, US",2142,2205,2.94
"Dodge, Nebraska, US",1331,1379,3.61
"Buffalo, Nebraska, US",1278,1356,6.10
"Platte, Nebraska, US",1211,1234,1.90
"Dawson, Nebraska, US",1117,1134,1.52
"Madison, Nebraska, US",915,958,4.70
"Colfax, Nebraska, US",804,819,1.87
"Saline, Nebraska, US",782,793,1.41
"Adams, Nebraska, US",625,649,3.84
"Saunders, Nebraska, US",544,562,3.31
"Lincoln, Nebraska, US",512,546,6.64
"Scotts Bluff, Nebraska, US",455,467,2.64
"Cass, Nebraska, US",385,404,4.94
"Washington, Nebraska, US",334,350,4.79
"Gage, Nebraska, US",314,334,6.37
"Thurston, Nebraska, US",288,294,2.08
"Seward, Nebraska, US",261,266,1.92
"York, Nebraska, US",245,282,15.10
"Wayne, Nebraska, US",211,247,17.06
"Knox, Nebraska, US",210,221,5.24
"Otoe, Nebraska, US",201,215,6.97
"Cuming, Nebraska, US",200,208,4.00
"Kearney, Nebraska, US",170,196,15.29
"Hamilton, Nebraska, US",167,183,9.58
"Phelps, Nebraska, US",161,168,4.35
"Butler, Nebraska, US",157,170,8.28
"Dawes, Nebraska, US",147,159,8.16
"Nemaha, Nebraska, US",142,147,3.52
"Holt, Nebraska, US",139,155,11.51
"Dixon, Nebraska, US",128,135,5.47
"Custer, Nebraska, US",126,141,11.90
"Box Butte, Nebraska, US",120,123,2.50
"Pierce, Nebraska, US",116,120,3.45
"Howard, Nebraska, US",115,114,-0.87
"Antelope, Nebraska, US",113,123,8.85
"Boone, Nebraska, US",109,114,4.59
"Cedar, Nebraska, US",107,117,9.35
"Polk, Nebraska, US",107,122,14.02
"Merrick, Nebraska, US",99,103,4.04
"Clay, Nebraska, US",95,103,8.42
"Burt, Nebraska, US",92,95,3.26
"Red Willow, Nebraska, US",88,94,6.82
"Morrill, Nebraska, US",79,80,1.27
"Johnson, Nebraska, US",74,81,9.46
"Keith, Nebraska, US",70,72,2.86
"Richardson, Nebraska, US",68,74,8.82
"Sheridan, Nebraska, US",65,67,3.08
"Nance, Nebraska, US",63,64,1.59
"Fillmore, Nebraska, US",61,64,4.92
"Brown, Nebraska, US",58,61,5.17
"Chase, Nebraska, US",58,88,51.72
"Furnas, Nebraska, US",56,57,1.79
"Cherry, Nebraska, US",54,54,0.00
"Franklin, Nebraska, US",50,57,14.00
"Valley, Nebraska, US",50,54,8.00
"Cheyenne, Nebraska, US",49,51,4.08
"Gosper, Nebraska, US",48,50,4.17
"Stanton, Nebraska, US",48,49,2.08
"Rock, Nebraska, US",47,49,4.26
"Greeley, Nebraska, US",37,40,8.11
"Jefferson, Nebraska, US",37,42,13.51
"Boyd, Nebraska, US",36,42,16.67
"Thayer, Nebraska, US",36,38,5.56
"Perkins, Nebraska, US",34,36,5.88
"Harlan, Nebraska, US",31,36,16.13
"Sherman, Nebraska, US",30,31,3.33
"Kimball, Nebraska, US",25,27,8.00
"Pawnee, Nebraska, US",21,22,4.76
"Webster, Nebraska, US",21,27,28.57
"Nuckolls, Nebraska, US",19,27,42.11
"Dundy, Nebraska, US",15,15,0.00
"Hitchcock, Nebraska, US",14,17,21.43
"Frontier, Nebraska, US",13,18,38.46
"Garden, Nebraska, US",13,13,0.00
"Hooker, Nebraska, US",13,15,15.38
"Garfield, Nebraska, US",11,13,18.18
"Logan, Nebraska, US",7,7,0.00
"McPherson, Nebraska, US",7,7,0.00
"Sioux, Nebraska, US",7,8,14.29
"Thomas, Nebraska, US",7,7,0.00
"Keya Paha, Nebraska, US",5,7,40.00
"Deuel, Nebraska, US",4,4,0.00
"Loup, Nebraska, US",3,4,33.33
"Banner, Nebraska, US",2,2,0.00
"Grant, Nebraska, US",2,2,0.00
"Hayes, Nebraska, US",2,2,0.00
"Wheeler, Nebraska, US",2,2,0.00
"Arthur, Nebraska, US",1,2,100.00
"Blaine, Nebraska, US",1,1,0.00
"Out of NE, Nebraska, US",0,0,0.00
