Location,7/6/20,7/7/20,delta
"Douglas, Nebraska, US",7500,7596,1.28
"Lancaster, Nebraska, US",1875,1897,1.17
"Dakota, Nebraska, US",1776,1776,0.00
"Hall, Nebraska, US",1605,1606,0.06
"Sarpy, Nebraska, US",1242,1259,1.37
"Dawson, Nebraska, US",861,863,0.23
"Dodge, Nebraska, US",699,698,-0.14
"Platte, Nebraska, US",671,672,0.15
"Colfax, Nebraska, US",670,671,0.15
"Saline, Nebraska, US",539,540,0.19
"Madison, Nebraska, US",377,376,-0.27
"Adams, Nebraska, US",301,302,0.33
"Scotts Bluff, Nebraska, US",227,229,0.88
"Buffalo, Nebraska, US",194,196,1.03
"Thurston, Nebraska, US",128,166,29.69
"Saunders, Nebraska, US",79,81,2.53
"Cass, Nebraska, US",71,74,4.23
"Hamilton, Nebraska, US",66,67,1.52
"Lincoln, Nebraska, US",61,63,3.28
"Gage, Nebraska, US",58,58,0.00
"Butler, Nebraska, US",52,51,-1.92
"Dixon, Nebraska, US",51,52,1.96
"Morrill, Nebraska, US",50,51,2.00
"Washington, Nebraska, US",50,50,0.00
"York, Nebraska, US",45,47,4.44
"Howard, Nebraska, US",44,44,0.00
"Custer, Nebraska, US",41,40,-2.44
"Seward, Nebraska, US",41,44,7.32
"Merrick, Nebraska, US",39,39,0.00
"Cuming, Nebraska, US",37,37,0.00
"Wayne, Nebraska, US",28,28,0.00
"Clay, Nebraska, US",27,28,3.70
"Phelps, Nebraska, US",27,27,0.00
"Knox, Nebraska, US",25,25,0.00
"Otoe, Nebraska, US",25,25,0.00
"Stanton, Nebraska, US",21,21,0.00
"Cheyenne, Nebraska, US",19,19,0.00
"Cedar, Nebraska, US",17,17,0.00
"Kearney, Nebraska, US",17,17,0.00
"Fillmore, Nebraska, US",15,15,0.00
"Burt, Nebraska, US",14,14,0.00
"Gosper, Nebraska, US",13,13,0.00
"Polk, Nebraska, US",13,13,0.00
"Kimball, Nebraska, US",11,11,0.00
"Furnas, Nebraska, US",10,10,0.00
"Jefferson, Nebraska, US",10,10,0.00
"Antelope, Nebraska, US",9,9,0.00
"Pierce, Nebraska, US",9,9,0.00
"Franklin, Nebraska, US",8,8,0.00
"Red Willow, Nebraska, US",8,8,0.00
"Sheridan, Nebraska, US",8,8,0.00
"Valley, Nebraska, US",8,8,0.00
"Boone, Nebraska, US",7,7,0.00
"Johnson, Nebraska, US",7,7,0.00
"Webster, Nebraska, US",7,7,0.00
"Sioux, Nebraska, US",6,6,0.00
"Dawes, Nebraska, US",5,5,0.00
"Greeley, Nebraska, US",5,5,0.00
"Nemaha, Nebraska, US",5,5,0.00
"Richardson, Nebraska, US",5,5,0.00
"Sherman, Nebraska, US",5,5,0.00
"Garden, Nebraska, US",4,4,0.00
"Keith, Nebraska, US",4,4,0.00
"Nance, Nebraska, US",4,4,0.00
"Box Butte, Nebraska, US",3,3,0.00
"Holt, Nebraska, US",3,3,0.00
"Banner, Nebraska, US",2,2,0.00
"Cherry, Nebraska, US",2,2,0.00
"Hooker, Nebraska, US",2,2,0.00
"Rock, Nebraska, US",2,2,0.00
"Boyd, Nebraska, US",1,1,0.00
"Chase, Nebraska, US",1,1,0.00
"Frontier, Nebraska, US",1,1,0.00
"Garfield, Nebraska, US",1,1,0.00
"Harlan, Nebraska, US",1,1,0.00
"Hitchcock, Nebraska, US",1,1,0.00
"Nuckolls, Nebraska, US",1,1,0.00
"Perkins, Nebraska, US",1,0,-100.00
"Thayer, Nebraska, US",1,1,0.00
"Thomas, Nebraska, US",1,1,0.00
"Arthur, Nebraska, US",0,0,0.00
"Blaine, Nebraska, US",0,0,0.00
"Brown, Nebraska, US",0,0,0.00
"Deuel, Nebraska, US",0,0,0.00
"Dundy, Nebraska, US",0,0,0.00
"Grant, Nebraska, US",0,0,0.00
"Hayes, Nebraska, US",0,0,0.00
"Keya Paha, Nebraska, US",0,0,0.00
"Logan, Nebraska, US",0,0,0.00
"Loup, Nebraska, US",0,0,0.00
"McPherson, Nebraska, US",0,0,0.00
"Out of NE, Nebraska, US",0,0,0.00
"Pawnee, Nebraska, US",0,0,0.00
"Wheeler, Nebraska, US",0,0,0.00
