"Clark, Nevada, US",2559,2738,6.99
"Washoe, Nevada, US",549,572,4.19
"Carson City, Nevada, US",25,27,8.00
"Humboldt, Nevada, US",20,26,30.00
"Nye, Nevada, US",19,21,10.53
"Douglas, Nevada, US",13,14,7.69
"Elko, Nevada, US",11,12,9.09
"Lyon, Nevada, US",11,12,9.09
"White Pine, Nevada, US",3,3,0.00
"Churchill, Nevada, US",1,1,0.00
"Lincoln, Nevada, US",1,0,-100.00
"Esmeralda, Nevada, US",0,0,0.00
"Eureka, Nevada, US",0,0,0.00
"Lander, Nevada, US",0,0,0.00
"Mineral, Nevada, US",0,0,0.00
"Out of NV, Nevada, US",0,0,0.00
"Pershing, Nevada, US",0,0,0.00
"Storey, Nevada, US",0,0,0.00
